Name-Year-Month,Siembra,Fertilizacion,Cultivos,Limpias,Riegos,Plagas Controlables,Plagas No Controlables,Enfermedades Controlables,Enfermedades No Controlables,Total Cosechado,Total Molido
Lopez Mateos-10-11,0,0,0,0,0,0,0,0,0,0,0
Lopez Mateos-10-12,0,0,0,0,0,0,0,0,0,0,0
Lopez Mateos-11-01,0,0,0,0,0,0,0,0,0,0,0
Lopez Mateos-11-02,0,0,0,0,0,0,0,0,0,0,0
Lopez Mateos-11-03,0,0,0,0,0,0,0,0,0,0,0
Lopez Mateos-11-04,0,115.35,0,0,0,0,0,0,0,108484.18,52386.2
Lopez Mateos-11-05,0,3360.35,0,4299.1,0,0,0,0,0,470262.59,226673.3
Lopez Mateos-11-06,0,2045.45,0,4404.46,0,0,0,0,0,320538.05,94528.62
Lopez Mateos-11-07,0,710.7,0,1049.3,0,0,0,0,0,497700.69,237942.72
Lopez Mateos-11-08,0,0,0,0,0,0,0,0,0,0,0
Lopez Mateos-11-09,0,0,0,0,0,0,0,0,0,0,0
Lopez Mateos-11-10,0,0,0,0,0,0,0,0,0,0,0
Lopez Mateos-11-11,0,0,0,0,0,0,0,0,0,0,0
Lopez Mateos-11-12,0,0,0,0,0,0,0,0,0,0,0
Lopez Mateos-12-01,0,0,0,0,0,0,0,0,0,0,0
Lopez Mateos-12-02,0,0,150,250,0,0,0,0,0,221386.34,109500.77
Lopez Mateos-12-03,0,0,0,440.55,0,0,0,0,0,135404.12,67412.76
Lopez Mateos-12-04,0,0,0,0,0,0,0,0,0,112587.78,62439.46
Lopez Mateos-12-05,0,0,0,0,0,0,0,0,0,0,0
Lopez Mateos-12-06,0,482.7,0,0,0,23479.15,20848.6,0,0,119279.59,57656.42
Lopez Mateos-12-07,0,3045.65,0,0,0,70437.45,83792.7,0,0,337605.19,161824.73
Lopez Mateos-12-08,0,759.5,0,1743.1,0,46958.3,55861.8,0,0,223426.91,107928.42
Lopez Mateos-12-09,0,0,0,0,0,0,0,0,0,0,0
Lopez Mateos-12-10,0,0,0,0,0,0,0,0,0,0,0
Lopez Mateos-12-11,0,0,0,0,0,0,0,0,0,0,0
Lopez Mateos-12-12,0,0,0,0,0,0,0,0,0,0,0
Lopez Mateos-13-01,0,0,0,0,0,0,0,0,0,0,0
Lopez Mateos-13-02,341.95,0,337.9,0,0,0,0,0,0,46689.42,23344.71
Lopez Mateos-13-03,1304.14,0,2753.9,0,0,0,0,0,0,435012.94,216695.23
Lopez Mateos-13-04,93.4,0,599.75,0,0,0,0,0,0,239018.81,121069.99
Lopez Mateos-13-05,0,0,158.3,3920.09,0,11075.05,29406.35,0,0,488379.27,247336
Lopez Mateos-13-06,0,0,54.8,2329,0,0,0,0,0,317402.45,168512.5
Lopez Mateos-13-07,0,0,0,3172.85,0,0,0,0,0,245823.95,124158.64
Lopez Mateos-13-08,0,0,0,0,0,0,0,0,0,0,0
Lopez Mateos-13-09,0,0,0,0,0,0,0,0,0,0,0
Lopez Mateos-13-10,0,0,0,0,0,0,0,0,0,0,0
Lopez Mateos-13-11,0,0,0,0,0,0,0,0,0,0,0
Lopez Mateos-13-12,0,0,0,0,0,0,0,0,0,0,0
Lopez Mateos-14-01,0,0,0,0,0,0,0,0,0,0,0
Lopez Mateos-14-02,0,0,0,0,0,0,0,0,0,0,0
Lopez Mateos-14-03,0,0,0,0,0,0,0,0,0,0,0
Lopez Mateos-14-04,236.99,0,60,391.45,0,0,0,0,0,243237.96,120481.63
Lopez Mateos-14-05,38.65,0,1056.31,3374.96,0,0,0,0,0,481771.82,237959.69
Lopez Mateos-14-06,0,0,575.2,3697.7,0,0,0,0,0,483443.93,238867.63
Lopez Mateos-14-07,0,0,385.52,2270.77,0,0,0,0,0,458102.98,220674.03
Lopez Mateos-14-08,0,0,210.65,2098.3,0,0,0,0,0,459238.87,213547.21
Lopez Mateos-14-09,0,0,0,0,0,0,0,0,0,0,0
Lopez Mateos-14-10,0,0,0,0,0,0,0,0,0,0,0
Lopez Mateos-14-11,0,0,0,0,0,0,0,0,0,0,0
Lopez Mateos-14-12,0,0,0,0,0,0,0,0,0,0,0
Lopez Mateos-15-01,0,0,0,0,0,0,0,0,0,0,0
Lopez Mateos-15-02,0,0,0,0,0,0,0,0,0,0,0
Lopez Mateos-15-03,858.8,782.07,237.6,1160.75,0,33501.18,74925.09,0,0,478980.8,239257.3
Lopez Mateos-15-04,363.66,393.95,113.15,183.28,0,11167.06,29082.88,0,0,122567.4,61132.7
Lopez Mateos-15-05,0,0,2315.78,4172.34,0,0,0,0,0,623204.04,294160.12
Lopez Mateos-15-06,0,0,1908.85,6536.52,0,0,0,0,0,482085.6,233110.6
Lopez Mateos-15-07,0,0,854.7,3836.91,0,0,0,0,0,351100.48,168124.3
Lopez Mateos-15-08,0,0,857,2377.6,0,0,0,0,0,442158.6,221837.4
Lopez Mateos-15-09,0,0,0,0,0,0,0,0,0,0,0
Lopez Mateos-15-10,0,0,0,0,0,0,0,0,0,0,0
Lopez Mateos-15-11,0,0,0,0,0,0,0,0,0,0,0
Lopez Mateos-15-12,0,0,0,0,0,0,0,0,0,0,0
Lopez Mateos-16-01,0,0,0,0,0,95455.1,0,0,0,0,0
