Name-Year-Month,Siembra,Fertilizacion,Cultivos,Limpias,Riegos,Plagas Controlables,Plagas No Controlables,Enfermedades Controlables,Enfermedades No Controlables,Total Cosechado,Total Molido
Potrero-10-11,0,0,0,0,0,0,0,0,0,0,0
Potrero-10-12,8.75,896.1,113.4,967.9,20.0,2069.78,4500.0,0.0,0.0,87.5,0.0
Potrero-11-01,220.05,2749.05,57.8,1117.3,209.0,3700.14,0.0,0.0,0.0,2200.5,0.0
Potrero-11-02,0,0,0,0,0,0,0,0,0,0,0
Potrero-11-03,0,0,0,0,0,0,0,0,0,0,0
Potrero-11-04,108.77,6.55,96.0,72.4,332.5,4022.07,4500.0,0.0,0.0,416068.46,224281.04
Potrero-11-05,59.7,327.45,1362.0,505.95,1650.2,6703.45,7500.0,0.0,0.0,766728.76,404674.19
Potrero-11-06,61.35,271.7,2082.45,1682.75,2189.75,5376.76,6000.0,0.0,0.0,527262.58,253223.67
Potrero-11-07,62.2,396.0,1415.7,1156.85,1586.5,4253.07,4500.0,0.0,0.0,428830.34,224403.04
Potrero-11-08,112.16,643.0,1920.35,2558.5,3710.0,6203.76,6000.0,0.0,0.0,3052.0,0.0
Potrero-11-09,0.0,3025.15,2398.65,5275.0,1750.0,6898.76,6000.0,0.0,0.0,0,0
Potrero-11-10,20.4,14659.15,650.9,13522.56,585.0,8456.76,6000.0,0.0,0.0,0,0
Potrero-11-11,95.65,6237.45,402.43,5720.21,205.0,4516.2,0.0,0.0,0.0,0,0
Potrero-11-12,430.21,3895.29,563.85,2937.89,244.7,7460.57,0.0,0.0,0.0,0,0
Potrero-12-01,58.35,1620.35,255.15,1574.22,445.0,7887.0,6190.0,0.0,0.0,583.5,0.0
Potrero-12-02,247.3,25.35,0.0,110.6,48.0,6321.6,8604.0,0.0,0.0,2473.0,0.0
Potrero-12-03,77.5,0.0,175.95,0.0,173.55,6321.6,16682.0,0.0,0.0,580119.82,293774.87
Potrero-12-04,14.6,5.0,80.9,38.5,71.0,1580.4,4787.0,0.0,0.0,150792.59,76587.91
Potrero-12-05,0,0,0,0,0,0,0,0,0,0,0
Potrero-12-06,14.75,247.0,561.1,492.85,688.0,3724.94,0.0,0.0,0.0,157210.8,80636.22
Potrero-12-07,4.0,1396.05,1014.6,2108.7,886.58,7807.28,8.0,0.0,0.0,273922.12,137854.06
Potrero-12-08,0.6,2501.85,1881.6,5904.6,2716.05,15913.56,46.0,0.0,0.0,0,0
Potrero-12-09,0.2,1011.1,589.8,1968.1,280.0,8223.28,1148.0,0.0,0.0,0,0
Potrero-12-10,578.65,11063.72,1063.95,8375.87,793.71,2237.1,3736.0,0.0,0.0,47.0,0.0
Potrero-12-11,43.0,7119.1,713.71,6134.41,794.5,3359.4,3736.0,0.0,0.0,430.0,0.0
Potrero-12-12,0.0,4900.15,218.7,3550.83,180.5,6177.15,4670.0,0.0,0.0,0,0
Potrero-13-01,43.04,0.0,101.94,1962.11,41.0,6351.46,4579.8,0.0,0.0,0,0
Potrero-13-02,95.52,0.0,981.32,1777.8,32.43,6434.96,4670.37,0.0,0.0,1801.44,0.0
Potrero-13-03,21.03,0.0,17.15,34.37,81.28,8048.7,5861.95,0.0,0.0,362070.24,185519.15
Potrero-13-04,9.6,98.4,624.06,107.2,501.86,6398.94,19763.8,0.0,0.0,566848.45,293849.64
Potrero-13-05,38.85,212.3,1237.7,679.4,1168.95,6404.6,26650.72,0.0,0.0,593657.07,328778.86
Potrero-13-06,55.35,621.55,911.65,2163.7,3757.99,8081.8,32772.15,0.0,0.0,719686.22,400567.97
Potrero-13-07,0.0,322.8,1335.2,2018.15,2459.55,6757.65,24421.72,0.0,0.0,582336.59,309073.17
Potrero-13-08,0.0,737.03,1298.33,2463.67,2291.65,7032.05,24421.72,0.0,0.0,489427.27,258116.31
Potrero-13-09,165.52,3892.24,1978.98,5810.77,1394.47,7846.6,24421.72,0.0,0.0,1693.42,19.11
Potrero-13-10,11.86,0.0,1774.41,7619.85,432.14,3010.8,2784.85,0.0,0.0,0,0
Potrero-13-11,21.01,0.0,643.32,6070.17,227.3,3899.3,4157.08,0.0,0.0,0,0
Potrero-13-12,28.73,0.0,384.0,4905.23,363.3,6573.72,5352.39,0.0,0.0,0,0
Potrero-14-01,28.93,0.0,10.0,1271.24,1207.57,13469.34,670.05,0.0,0.0,0,0
Potrero-14-02,121.21,0.0,26.44,626.1,131.5,13500.24,716.04,0.0,0.0,0,0
Potrero-14-03,7.26,0.0,22.34,160.89,37.23,16875.3,932.0,0.0,0.0,484206.8,240923.9
Potrero-14-04,7.98,0.0,351.82,144.75,725.51,8217.28,3711.64,0.0,0.0,584433.24,307083.72
Potrero-14-05,32.73,0.0,820.73,525.75,1100.45,6477.51,4705.64,0.0,0.0,592278.84,311248.83
Potrero-14-06,15.13,0.0,816.07,1541.36,1737.54,8619.36,5888.7,0.0,0.0,722395.89,371760.46
Potrero-14-07,32.6,0.0,1037.94,2999.15,4612.17,7948.74,4710.96,0.0,0.0,555687.0,286972.98
Potrero-14-08,96.34,0.0,1108.13,6769.03,2729.68,11104.86,6081.65,0.0,0.0,433292.39,212077.33
Potrero-14-09,0.55,0.0,1712.81,9537.08,1126.75,10058.83,4927.64,0.0,0.0,0,0
Potrero-14-10,2.86,0.0,3231.16,8090.89,1766.2,4269.54,484.6,0.0,0.0,0,0
Potrero-14-11,27.65,0.0,26.27,6661.72,2905.98,8754.56,654.29,0.0,0.0,0,0
Potrero-14-12,50.48,0.0,13.82,3448.24,393.79,12927.01,617.51,0.0,0.0,0,0
Potrero-15-01,218.35,1324.55,112.25,976.67,49.94,12848.52,5875.74,0.0,0.0,1421.3,0.0
Potrero-15-02,86.36,43.07,17.55,149.69,2.04,12927.48,7494.56,0.0,0.0,863.6,0.0
Potrero-15-03,64.84,66.78,105.68,87.86,252.94,16159.35,9518.69,0.0,0.0,428933.49,216144.86
Potrero-15-04,96.89,7.91,333.57,258.65,679.28,13362.95,2467.24,0.0,0.0,494476.7,248389.74
Potrero-15-05,71.06,0.0,1153.84,1420.8,1347.61,16950.2,932.0,0.0,0.0,725788.92,365510.59
Potrero-15-06,46.1,0.0,1123.68,2799.07,1512.84,13681.95,745.6,0.0,0.0,506570.76,254857.86
Potrero-15-07,36.4,0.0,1418.95,4491.85,2375.08,13690.52,745.6,0.0,0.0,518869.24,258443.79
Potrero-15-08,28.32,0.0,1627.25,6358.86,2887.18,18210.74,932.0,0.0,0.0,482313.47,254835.1
Potrero-15-09,93.37,0.0,1072.04,6616.45,1116.11,15495.69,745.6,0.0,0.0,5761.41,0.0
Potrero-15-10,31.43,7916.28,1735.38,8873.45,1625.33,4728.84,339.12,0.0,0.0,0,0
Potrero-15-11,25.28,10191.5,479.52,10765.86,3990.77,10034.49,502.96,0.0,0.0,11.3,0.0
Potrero-15-12,50.12,6778.73,40.63,5770.32,373.72,11736.91,2577.01,0.0,0.0,501.2,0.0
Potrero-16-01,44.28,135.87,2.4,163.6,13.47,20729.15,493.5,0.0,0.0,0,0
Potrero-16-02,32.63,100.12,1.77,120.55,9.92,16583.32,394.8,0.0,0.0,1060.8,0.0
Potrero-16-03,39.62,121.57,2.15,146.38,12.05,16583.32,394.8,0.0,0.0,200188.92,68142.68
Potrero-16-04,76.82,164.37,525.87,233.33,775.56,13859.68,5839.22,0.0,0.0,552046.33,277026.56
Potrero-16-05,46.99,386.18,1096.34,1354.2,1647.14,16244.2,9627.03,0.0,0.0,764099.81,382165.33
Potrero-16-06,36.85,508.62,995.62,2510.87,1919.42,13530.77,7735.21,0.0,0.0,552444.95,286755.29
Potrero-16-07,48.09,1809.51,1559.31,4803.29,5675.0,18509.97,9674.95,0.0,0.0,703209.41,366989.23
Potrero-16-08,5.23,1475.71,1216.78,4466.4,3274.96,16493.81,7739.96,0.0,0.0,489410.64,248655.01
Potrero-16-09,85.36,9438.55,8877.72,11151.11,4477.48,17151.74,7748.04,0.0,0.0,0,0
Potrero-16-10,1.69,16843.14,1511.24,15787.7,1354.91,13448.86,2297.83,0.0,0.0,0,0
Potrero-16-11,10.97,10251.49,368.64,6977.28,299.96,12411.67,385.8,0.0,0.0,0,0
Potrero-16-12,13.42,3843.03,0.77,1595.52,2.83,15662.94,394.8,0.0,0.0,0,0
Potrero-17-01,151.31,1506.25,40.43,1842.33,181.4,7046.75,1448.55,0.0,0.0,0,0
Potrero-17-02,224.8,261.2,134.43,282.98,274.15,5639.32,1175.84,0.0,0.0,0,0
Potrero-17-03,168.08,92.65,223.67,204.04,426.38,5641.24,1192.84,0.0,0.0,452062.43,217630.29
Potrero-17-04,51.19,166.28,482.9,546.94,932.95,17993.63,693.01,0.0,0.0,711999.67,361769.06
Potrero-17-05,59.24,275.3,525.06,840.7,1149.81,16583.32,394.8,0.0,0.0,577868.53,297020.28
Potrero-17-06,131.65,611.78,1166.81,1868.22,2555.14,16583.32,394.8,0.0,0.0,550941.05,298136.53
Potrero-17-07,140.02,3466.93,1829.52,4782.24,4240.9,20729.15,493.5,0.0,0.0,766729.91,341988.04
Potrero-17-08,63.53,1577.45,786.46,3152.11,2127.87,16583.32,394.8,0.0,0.0,539735.48,228474.46
Potrero-17-09,17.89,803.57,574.08,1722.4,1287.85,16583.32,394.8,0.0,0.0,0,0
Potrero-17-10,17.77,576.41,217.58,588.37,931.84,9179.19,1257.54,0.0,0.0,0,0
Potrero-17-11,214.12,33099.39,4230.34,31556.34,8199.64,5486.39,1158.84,0.0,0.0,0,0
Potrero-17-12,0,0,0,0,0,5637.4,1158.84,0.0,0.0,0,0
Potrero-18-01,343.81,1553.36,48.06,1208.59,8.27,15733.56,2728.24,0.0,0.0,0,0
Potrero-18-02,122.77,331.38,20.52,418.97,266.76,15733.56,2728.24,0.0,0.0,0,0
Potrero-18-03,57.69,156.51,64.16,149.95,278.47,15733.56,2728.24,0.0,0.0,160268.99,88284.43
Potrero-18-04,77.32,381.99,952.41,648.65,1795.96,12097.71,2258.75,0.0,0.0,671934.46,345499.7
Potrero-18-05,71.95,767.56,1144.02,1860.68,1705.27,5750.82,1192.84,0.0,0.0,531353.38,274089.3
Potrero-18-06,51.44,698.58,1149.24,3674.62,2658.34,6129.64,1228.84,0.0,0.0,552696.43,295356.23
Potrero-18-07,30.91,2563.73,2330.18,6077.55,4028.71,8304.12,1601.05,0.0,0.0,692151.1,340500.85
