Name-Year-Month,Siembra,Fertilizacion,Cultivos,Limpias,Riegos,Plagas Controlables,Plagas No Controlables,Enfermedades Controlables,Enfermedades No Controlables,Total Cosechado,Total Molido
Motzorongo-10-11,54.8,55.1,2077.1,1814.95,65,15471.3,16781,0,0,0,0
Motzorongo-10-12,35,30.5,3246.3,540.3,65,39957.6,33562,0,0,0,0
Motzorongo-11-01,0,0,0,0,0,0,0,0,0,0,0
Motzorongo-11-02,0,0,0,0,0,0,0,0,0,0,0
Motzorongo-11-03,0,0,0,0,0,0,0,0,0,0,0
Motzorongo-11-04,18.45,30.25,115.25,18.45,0,10716.65,8390.5,0,0,115213.92,57606.96
Motzorongo-11-05,283.43,1110.95,2473.55,3959.5,0,53583.25,41952.5,0,0,565427.14,282713.57
Motzorongo-11-06,0,1189.4,865.6,1932.73,547.9,45513.4,34298.7,0,0,463060.18,231530.09
Motzorongo-11-07,33.7,1411.9,834.4,391.5,986.9,68362.25,47234,0,0,248676.6,124338.3
Motzorongo-11-08,27.3,1083.5,309.6,111.5,452.9,42555.85,30014.6,0,0,0,0
Motzorongo-11-09,25.5,949.3,127.9,95.9,88.5,15803.75,10441.2,0,0,0,0
Motzorongo-11-10,253.2,8051.17,13050.7,10546,1103.8,31628.7,10348.5,0,0,0,0
Motzorongo-11-11,89.9,137.2,66.4,251.4,153.8,50544.9,20123.5,0,0,0,0
Motzorongo-11-12,378.5,337.85,252.7,185.8,159.3,48688.1,16158.8,0,0,0,0
Motzorongo-12-01,0,0,0,0,0,0,0,0,0,0,0
Motzorongo-12-02,0,0,0,0,0,0,0,0,0,0,0
Motzorongo-12-03,0,0,0,0,0,0,0,0,0,0,0
Motzorongo-12-04,0,0,0,0,0,0,0,0,0,0,0
Motzorongo-12-05,0,0,0,0,0,0,0,0,0,0,0
Motzorongo-12-06,0,0,0,0,0,0,0,0,0,0,0
Motzorongo-12-07,0,212,359.55,491.7,76.4,12715.8,4039.7,0,0,114591.44,57295.72
Motzorongo-12-08,0,0,0,0,0,13243.3,4889.7,0,0,0,0
Motzorongo-12-09,0,0,0,0,0,0,0,0,0,0,0
Motzorongo-12-10,41.5,151,838.1,1308.9,0,3225.5,1670,0,0,0,0
Motzorongo-12-11,0,0,0,0,0,0,0,0,0,0,0
Motzorongo-12-12,0,0,0,0,0,0,0,0,0,0,0
Motzorongo-13-01,0,0,0,0,0,0,0,0,0,0,0
Motzorongo-13-02,0,0,0,0,0,0,0,0,0,0,0
Motzorongo-13-03,0,0,0,0,0,0,0,0,0,0,0
Motzorongo-13-04,0,0,0,0,0,0,0,0,0,0,0
Motzorongo-13-05,0,0,0,0,0,0,0,0,0,0,0
Motzorongo-13-06,0,0,0,0,0,0,0,0,0,0,0
Motzorongo-13-07,0,0,0,0,0,0,0,0,0,0,0
Motzorongo-13-08,0,0,0,0,0,0,0,0,0,0,0
Motzorongo-13-09,0,0,0,0,0,0,0,0,0,0,0
Motzorongo-13-10,0,0,0,0,0,0,0,0,0,0,0
Motzorongo-13-11,0,0,0,0,0,0,0,0,0,0,0
Motzorongo-13-12,0,0,0,0,0,0,0,0,0,0,0
Motzorongo-14-01,0,0,0,0,0,0,0,0,0,0,0
Motzorongo-14-02,0,0,0,0,0,0,0,0,0,0,0
Motzorongo-14-03,0,0,0,0,0,0,0,0,0,0,0
Motzorongo-14-04,0,0,0,0,0,0,0,0,0,0,0
Motzorongo-14-05,0,0,0,0,0,0,0,0,0,0,0
Motzorongo-14-06,0,0,0,0,0,0,0,0,0,0,0
Motzorongo-14-07,0,0,0,0,0,0,0,0,0,0,0
Motzorongo-14-08,0,0,0,0,0,0,0,0,0,0,0
Motzorongo-14-09,0,0,0,0,0,0,0,0,0,0,0
Motzorongo-14-10,0,0,0,0,0,0,0,0,0,0,0
