Name-Year-Month,Siembra,Fertilizacion,Cultivos,Limpias,Riegos,Plagas Controlables,Plagas No Controlables,Enfermedades Controlables,Enfermedades No Controlables,Total Cosechado,Total Molido
Progreso-10-11,0,0,0,0,0,0,0,0,0,0,0
Progreso-10-12,0,0,0,0,0,0,0,0,0,0,0
Progreso-11-01,646.0,51.25,1.0,217.45,0.0,637.0,0.0,0.0,0.0,0,0
Progreso-11-02,0,0,0,0,0,0,0,0,0,0,0
Progreso-11-03,0,0,0,0,0,0,0,0,0,0,0
Progreso-11-04,4.0,0.0,18.25,60.19,50.99,310.5,2503.0,0.0,0.0,134462.8,69538.31
Progreso-11-05,2.0,26.01,193.6,479.8,176.22,776.25,6257.5,0.0,0.0,329639.6,163412.8
Progreso-11-06,0.0,16.15,103.95,799.91,304.67,621.0,5006.0,0.0,0.0,238679.3,102213.0
Progreso-11-07,0.0,69.35,72.5,720.61,310.44,621.0,5006.0,0.0,0.0,266923.6,131753.8
Progreso-11-08,0.0,68.0,110.0,977.06,449.85,3142.08,2503.0,0.0,0.0,0,0
Progreso-11-09,0.0,1307.03,93.25,2373.69,146.23,0,0,0,0,0,0
Progreso-11-10,9.5,8143.77,201.5,9746.83,12.25,0,0,0,0,0,0
Progreso-11-11,110.25,542.35,151.7,1306.92,26.0,304.5,0.0,0.0,0.0,0,0
Progreso-11-12,738.85,190.34,1.0,319.25,0.0,1274.0,0.0,0.0,0.0,0,0
Progreso-12-01,722.9,51.25,0.0,639.25,0.0,450.0,23.75,0.0,0.0,0,0
Progreso-12-02,217.75,0.0,0.0,490.65,11.25,360.0,19.0,0.0,0.0,111782.7,55562.35
Progreso-12-03,9.5,0.0,0.0,71.75,150.25,270.0,14.25,0.0,0.0,201680.8,100831.89
Progreso-12-04,10.0,0.0,40.0,62.0,77.25,90.0,4.75,0.0,0.0,69400.6,34254.49
Progreso-12-05,0,0,0,0,0,0,0,0,0,0,0
Progreso-12-06,20.0,0.0,134.0,20.0,25.0,318.5,0.0,0.0,0.0,71375.02,34047.51
Progreso-12-07,0,0,0,0,0,318.5,0.0,0.0,0.0,0,0
