Name-Year-Month,Siembra,Fertilizacion,Cultivos,Limpias,Riegos,Plagas Controlables,Plagas No Controlables,Enfermedades Controlables,Enfermedades No Controlables,Total Cosechado,Total Molido
Constancia-10-11,0,0,0,0,0,0,0,0,0,0,0
Constancia-10-12,0,0,0,0,0,0,0,0,0,0,0
Constancia-11-01,0,0,0,0,0,6300.0,2800.0,0.0,0.0,56997.14,28498.57
Constancia-11-02,0,0,0,0,0,0,0,0,0,0,0
Constancia-11-03,0,0,0,0,0,0,0,0,0,0,0
Constancia-11-04,0.0,281.0,438.0,9.0,0.0,12600.0,5600.0,0.0,0.0,128985.16,64492.58
Constancia-11-05,0.0,1265.0,1094.0,355.0,0.0,25200.0,11200.0,0.0,0.0,278262.74,139131.37
Constancia-11-06,0.0,715.0,900.5,656.3,0.0,18900.0,8400.0,0.0,0.0,200448.24,100224.12
Constancia-11-07,0.0,951.5,1284.5,523.0,0.0,25200.0,11200.0,0.0,0.0,244631.24,122315.62
Constancia-11-08,0.0,2182.0,1712.0,467.0,0.0,18900.0,8400.0,0.0,0.0,170991.42,85495.71
Constancia-11-09,0.0,2443.0,1109.0,2413.0,0.0,18900.0,8400.0,0.0,0.0,170991.42,85495.71
Constancia-11-10,0.0,2396.0,408.0,4632.0,0.0,31500.0,14000.0,0.0,0.0,284985.7,142492.85
Constancia-11-11,0.0,2269.0,36.0,812.0,0.0,25200.0,11200.0,0.0,0.0,227988.56,113994.28
Constancia-11-12,0.0,96.0,0.0,41.0,0.0,25200.0,11200.0,0.0,0.0,227988.56,113994.28
Constancia-12-01,40.0,60.0,0.0,0.0,0.0,0,0,0,0,0,0
Constancia-12-02,0.0,0.0,0.0,0.0,0.0,0,0,0,0,62217.38,31108.69
Constancia-12-03,0.0,0.0,180.0,170.0,0.0,0,0,0,0,283107.98,141553.99
Constancia-12-04,0.0,0.0,0.0,0.0,0.0,0,0,0,0,62415.16,31207.58
Constancia-12-05,0,0,0,0,0,0,0,0,0,0,0
Constancia-12-06,0,0,0,0,0,6300.0,2800.0,0.0,0.0,80397.89,40198.95
Constancia-12-07,0,0,0,0,0,12600.0,5600.0,0.0,0.0,139142.78,69571.39
Constancia-12-08,0,0,0,0,0,25200.0,11200.0,0.0,0.0,211963.9,105981.95
Constancia-12-09,0,0,0,0,0,12600.0,5600.0,0.0,0.0,79821.28,39910.64
Constancia-12-10,45.0,1862.0,1312.0,3990.0,0.0,0,0,0,0,0,0
Constancia-12-11,148.0,95.0,0.0,136.0,0.0,0,0,0,0,0,0
Constancia-12-12,725.0,590.0,150.0,550.0,0.0,0,0,0,0,0,0
Constancia-13-01,0.0,0.0,36.5,654.36,0.0,28000.0,6000.0,0.0,0.0,0,0
Constancia-13-02,0.0,0.0,0.0,0.0,0.0,21000.0,4500.0,0.0,0.0,86451.46,43225.73
Constancia-13-03,0.0,0.0,125.7,37.03,0.0,35000.0,7500.0,0.0,0.0,341635.53,170817.77
Constancia-13-04,0.0,0.0,142.15,317.0,0.0,7000.0,1500.0,0.0,0.0,289070.94,144535.47
Constancia-13-05,0.0,0.0,450.0,300.0,0.0,0,0,0,0,222388.62,111194.31
Constancia-13-06,0.0,0.0,472.0,298.5,0.0,0,0,0,0,182150.15,91075.07
Constancia-13-07,0.0,0.0,2627.0,1839.5,0.0,0,0,0,0,234768.34,117384.17
Constancia-13-08,0.0,0.0,1577.0,1200.0,0.0,0,0,0,0,142948.14,71474.07
Constancia-13-09,0.0,0.0,1360.0,2053.0,0.0,0,0,0,0,93778.26,46889.13
Constancia-13-10,20.0,0.0,383.1,641.0,0.0,14000.0,3000.0,0.0,0.0,0,0
Constancia-13-11,410.0,0.0,869.21,1522.55,100.0,28000.0,6000.0,0.0,0.0,0,0
Constancia-13-12,410.0,0.0,1186.15,2106.5,0.0,35000.0,7500.0,0.0,0.0,0,0
Constancia-14-01,45.0,0.0,30.0,30.0,0.0,16400.0,3200.0,0.0,0.0,0,0
Constancia-14-02,112.0,0.0,30.0,50.0,0.0,16400.0,3200.0,0.0,0.0,0,0
Constancia-14-03,88.0,0.0,215.16,435.6,0.0,20500.0,4000.0,0.0,0.0,280173.4,140086.7
