Name-Year-Month,Siembra,Fertilizacion,Cultivos,Limpias,Riegos,Plagas Controlables,Plagas No Controlables,Enfermedades Controlables,Enfermedades No Controlables,Total Cosechado,Total Molido
Refugio-10-11,63.0,63.0,0.0,63.0,0.0,7111.5,12751.5,0.0,0.0,0,0
Refugio-10-12,37.5,37.5,0.0,37.5,0.0,9482.0,17002.0,0.0,0.0,0,0
Refugio-11-01,0,0,0,0,0,0,0,0,0,0,0
Refugio-11-02,0,0,0,0,0,0,0,0,0,0,0
Refugio-11-03,0,0,0,0,0,0,0,0,0,0,0
Refugio-11-04,6.5,0.0,0.0,0.0,0.0,7111.5,12751.5,0.0,0.0,127540.36,56384.85
Refugio-11-05,56.5,0.0,0.0,18.5,0.0,11852.5,21252.5,0.0,0.0,224214.82,106201.82
Refugio-11-06,13.5,0.0,0.0,0.0,0.0,9482.0,17002.0,0.0,0.0,168405.9,78007.06
Refugio-11-07,4.0,0.0,0.0,25.5,0.0,22612.5,30232.5,0.0,0.0,130074.92,30379.0
Refugio-11-08,0.0,3200.0,4000.0,3000.0,0.0,20242.0,25982.0,0.0,0.0,0,0
Refugio-11-09,0.0,575.0,1246.4,1000.0,0.0,22842.0,25982.0,0.0,0.0,0,0
Refugio-11-10,0,0,0,0,0,5710.5,6495.5,0.0,0.0,0,0
Refugio-11-11,0,0,0,0,0,0,0,0,0,0,0
Refugio-11-12,0,0,0,0,0,0,0,0,0,0,0
Refugio-12-01,0,0,0,0,0,0,0,0,0,0,0
Refugio-12-02,25.75,0.0,25.75,25.75,0.0,85.5,50.0,0.0,0.0,57761.4,28880.7
Refugio-12-03,21.0,0.0,21.0,21.0,9.0,1197.0,700.0,0.0,0.0,172778.9,81007.19
Refugio-12-04,4.0,0.0,4.0,4.0,1.0,513.0,300.0,0.0,0.0,47656.76,16377.38
Refugio-12-05,0,0,0,0,0,0,0,0,0,0,0
Refugio-12-06,0,0,0,0,0,0,0,0,0,0,0
Refugio-12-07,0,0,0,0,0,0,0,0,0,0,0
Refugio-12-08,0,0,0,0,0,0,0,0,0,0,0
Refugio-12-09,0,0,0,0,0,0,0,0,0,0,0
Refugio-12-10,14.5,250.0,380.5,395.5,0.0,3378.5,5765.0,0.0,0.0,0,0
Refugio-12-11,0,0,0,0,0,0,0,0,0,0,0
Refugio-12-12,0,0,0,0,0,0,0,0,0,0,0
Refugio-13-01,0,0,0,0,0,0,0,0,0,0,0
Refugio-13-02,0,0,0,0,0,0,0,0,0,0,0
Refugio-13-03,333.0,0.0,333.0,333.0,5.0,648.0,180.0,0.0,0.0,159805.98,61614.9
Refugio-13-04,18.0,0.0,18.0,18.0,10.0,2484.0,1320.0,0.0,0.0,176917.86,78561.43
Refugio-13-05,2.0,0.0,2.0,2.0,11.0,3933.0,2300.0,0.0,0.0,219547.78,102445.97
Refugio-13-06,11.0,0.0,11.0,11.0,9.0,6840.0,4000.0,0.0,0.0,234036.88,97658.61
Refugio-13-07,2.0,0.0,2.0,2.0,0.0,6540.5,4050.0,0.0,0.0,188616.86,90805.01
Refugio-13-08,0.0,0.0,0.0,0.0,0.0,7187.6,4350.0,0.0,0.0,22863.06,34202.08
Refugio-13-09,0,0,0,0,0,10775.0,6500.0,0.0,0.0,0,0
Refugio-13-10,0,0,0,0,0,0,0,0,0,0,0
Refugio-13-11,0,0,0,0,0,0,0,0,0,0,0
Refugio-13-12,0,0,0,0,0,0,0,0,0,0,0
