Name-Year-Month,Siembra,Fertilizacion,Cultivos,Limpias,Riegos,Plagas Controlables,Plagas No Controlables,Enfermedades Controlables,Enfermedades No Controlables,Total Cosechado,Total Molido
La Gloria-10-11,0,0,0,0,0,0,0,0,0,0,0
La Gloria-10-12,0,0,0,0,0,0,0,0,0,0,0
La Gloria-11-01,89.25,50.0,100.0,1096.25,703.0,26400.89,6506.5,0.0,4483.0,0,0
La Gloria-11-02,0,0,0,0,0,0,0,0,0,0,0
La Gloria-11-03,0,0,0,0,0,0,0,0,0,0,0
La Gloria-11-04,195.5,95.0,350.0,110.5,942.5,83544.88,24480.08,0.0,12740.0,455839.04,227919.52
La Gloria-11-05,438.0,882.5,1477.5,1139.75,3580.25,141707.3,41826.8,0.0,21600.0,794111.06,397055.53
La Gloria-11-06,233.0,1160.5,1350.0,230.5,2564.0,117683.88,42970.83,0.0,18061.75,528002.57,228152.33
La Gloria-11-07,0,0,0,0,0,0,0,0,0,0,0
La Gloria-11-08,0,0,0,0,0,0,0,0,0,0,0
La Gloria-11-09,0,0,0,0,0,0,0,0,0,0,0
La Gloria-11-10,459.5,20323.0,24355.25,28046.0,54906.5,133380.17,47942.5,0.0,23049.0,0,0
La Gloria-11-11,142.75,3157.5,1820.5,3351.25,1090.0,95976.56,26026.0,0.0,17932.0,0,0
La Gloria-11-12,177.75,556.0,1660.5,2410.0,2872.25,79202.67,19519.5,0.0,13449.0,0,0
La Gloria-12-01,129.25,144.25,1175.25,3607.5,3822.0,132727.5,39747.5,0.0,24292.5,0,0
La Gloria-12-02,123.75,60.0,145.5,2152.75,2670.75,105957.0,36214.0,0.0,19434.0,0,0
La Gloria-12-03,103.0,0.0,0.0,124.25,1748.75,79467.75,29700.5,0.0,14575.5,282616.77,139970.96
La Gloria-12-04,0,0,0,0,0,0,0,0,0,0,0
La Gloria-12-05,0,0,0,0,0,0,0,0,0,0,0
La Gloria-12-06,113.5,510.5,395.0,281.0,1210.5,26650.89,12490.0,0.0,4483.0,149932.76,74966.38
La Gloria-12-07,0.0,370.0,724.25,450.5,1575.0,27900.89,13460.0,0.0,4483.0,131874.22,65937.11
La Gloria-12-08,0,0,0,0,0,0,0,0,0,0,0
La Gloria-12-09,162.75,11260.25,10434.25,16962.75,31112.5,51713.39,20533.5,0.0,9341.5,0.0,0.0
La Gloria-12-10,0,0,0,0,0,0,0,0,0,0,0
La Gloria-12-11,0,0,0,0,0,0,0,0,0,0,0
La Gloria-12-12,400.75,201.1,2412.0,3442.0,3085.75,105532.0,28294.0,0.0,19434.0,0,0
La Gloria-13-01,30.0,0.0,2729.0,1509.5,1875.0,72117.0,28400.75,0.0,12374.0,0,0
La Gloria-13-02,44.25,0.0,570.0,941.0,1774.25,25503.0,5395.5,0.0,702.0,0,0
La Gloria-13-03,7.0,0.0,32.0,1055.0,1991.75,34004.0,7639.0,0.0,936.0,394400.92,197200.46
La Gloria-13-04,143.75,0.0,955.0,277.5,2990.0,88508.75,39004.0,0.0,14809.5,590070.02,295035.01
La Gloria-13-05,121.25,0.0,208.0,198.25,1300.0,55058.5,28497.0,0.0,9717.0,300986.72,150493.36
La Gloria-13-06,95.5,0.0,1394.75,2131.25,3867.75,139636.25,75182.5,0.0,24292.5,688151.02,341996.55
La Gloria-13-07,54.0,0.0,1681.25,1087.5,2181.0,86207.75,47335.5,0.0,14575.5,469624.83,235989.61
La Gloria-13-08,0.0,0.0,450.0,212.0,715.0,28889.25,16268.5,0.0,4858.5,161255.24,83723.31
La Gloria-13-09,28.0,0.0,5006.0,7523.25,14507.25,35517.25,17475.5,46.0,4858.5,0.0,0.0
La Gloria-13-10,0,0,0,0,0,0,0,0,0,0,0
La Gloria-13-11,0,0,0,0,0,0,0,0,0,0,0
La Gloria-13-12,19.0,0.0,7128.95,10763.5,16241.5,82389.75,28752.5,0.0,15467.5,0,0
La Gloria-14-01,100.5,0.0,115.0,105.0,2390.0,96.0,0.0,0.0,52.0,0,0
La Gloria-14-02,128.25,0.0,70.0,2550.0,1794.0,96.0,0.0,0.0,52.0,0,0
La Gloria-14-03,262.25,0.0,79.0,1312.25,2445.25,160.0,35.0,0.0,125.0,279814.16,139907.08
La Gloria-14-04,75.25,0.0,1441.0,534.0,2730.75,25535.0,5837.5,0.0,727.0,571604.54,285150.77
La Gloria-14-05,50.25,0.0,1046.0,474.0,1714.5,25503.5,5836.5,0.0,702.0,456064.0,228032.0
La Gloria-14-06,177.75,0.0,3616.0,2042.5,4792.5,42506.25,9772.5,0.0,1170.0,729646.36,364823.18
La Gloria-14-07,0.0,0.0,1115.5,475.5,1188.0,17007.0,3976.0,0.0,468.0,250451.24,125225.62
La Gloria-14-08,0.0,0.0,3560.0,8650.0,12550.0,8503.5,1988.0,0.0,274.0,263953.18,126754.98
La Gloria-14-09,0.0,0.0,3560.0,8650.0,12550.0,8503.5,1988.0,0.0,274.0,263953.18,126754.98
La Gloria-14-10,7.0,0.0,3069.0,6469.25,10840.0,0,0,0,0,0,0
La Gloria-14-11,67.5,0.0,1073.75,3182.0,3741.0,0,0,0,0,0,0
La Gloria-14-12,14.75,0.0,224.0,1513.0,2232.5,24.0,0.0,0.0,13.0,0,0
La Gloria-15-01,187.0,136.0,100.0,863.75,1220.0,86.5,62.0,0.0,0.0,0,0
La Gloria-15-02,153.75,42.75,25.0,1243.0,1443.5,118.0,62.0,0.0,0.0,0,0
La Gloria-15-03,154.25,136.75,0.0,360.25,2483.35,147.5,77.5,0.0,0.0,381944.53,192236.64
La Gloria-15-04,138.25,12.0,645.75,347.5,2357.5,125.5,36.5,0.0,75.0,547109.06,275082.87
La Gloria-15-05,175.25,0.0,2965.0,1715.0,5677.0,160.0,35.0,0.0,125.0,803341.5,403210.85
La Gloria-15-06,101.25,0.0,1364.0,1134.0,2805.0,128.0,28.0,0.0,100.0,615745.6,309070.05
La Gloria-15-07,0.0,0.0,1225.0,1012.0,2530.5,127.5,67.5,0.0,127.5,416121.37,208555.06
La Gloria-15-08,0,0,0,0,0,0,0,0,0,0,0
La Gloria-15-09,0,0,0,0,0,42.5,22.5,0.0,42.5,0.0,0.0
La Gloria-15-10,178.0,14060.0,1505.0,2789.0,1410.0,22.0,31.0,0.0,0.0,0,0
La Gloria-15-11,28.75,1668.75,21.5,3016.75,3425.25,66.0,77.5,0.0,0.0,0,0
La Gloria-15-12,66.0,454.5,25.0,724.0,980.0,55.0,46.5,0.0,0.0,0,0
La Gloria-16-01,276.4,99.0,79.75,381.75,1508.75,93.75,40.0,15.0,28.75,0,0
La Gloria-16-02,355.63,57.0,25.0,421.25,1707.75,75.0,32.0,12.0,23.0,0,0
La Gloria-16-03,167.0,90.0,170.0,72.0,1430.0,75.0,32.0,12.0,23.0,316098.86,158049.43
La Gloria-16-04,178.25,87.75,826.25,317.25,2965.75,111.0,54.5,3.0,5.75,578577.17,289528.71
La Gloria-16-05,229.5,734.0,1307.25,926.5,5217.25,123.0,62.0,0.0,0.0,575624.72,290756.36
La Gloria-16-06,65.5,1386.75,841.0,2011.0,3411.5,92.25,46.5,0.0,0.0,400473.61,197332.18
La Gloria-16-07,54.25,647.75,500.5,534.5,1988.75,61.5,31.0,0.0,0.0,274544.0,143539.25
La Gloria-16-08,0,0,0,0,0,0,0,0,0,0,0
La Gloria-16-09,0,0,0,0,0,0,0,0,0,0,0
La Gloria-16-10,0.5,669.0,0.0,2541.15,5251.76,14.0,8.0,0.0,2.75,0,0
La Gloria-16-11,0.0,127.5,0.0,3177.74,3861.85,56.0,32.0,0.0,11.0,0,0
La Gloria-16-12,66.25,62.45,784.75,852.7,2466.45,56.0,32.0,0.0,11.0,0,0
La Gloria-17-01,229.05,58.0,60.0,160.25,1566.0,50.25,28.0,0.0,23.75,0,0
La Gloria-17-02,264.0,35.0,82.25,112.0,576.5,44.0,24.0,0.0,25.0,0,0
La Gloria-17-03,166.25,53.0,229.5,153.75,635.0,44.0,24.0,0.0,37.0,439496.88,221993.19
La Gloria-17-04,244.5,950.5,1375.25,907.0,4528.25,86.0,38.0,12.0,32.25,691306.4,352759.45
La Gloria-17-05,191.25,2034.0,1738.75,2544.75,7956.25,75.0,32.0,12.0,31.0,544122.46,277399.23
La Gloria-17-06,151.55,2090.0,2081.75,3259.75,7902.0,75.0,32.0,12.0,39.0,561639.83,280615.54
La Gloria-17-07,49.5,1799.5,1803.25,3028.0,6161.75,93.75,40.0,15.0,48.75,661878.75,328061.5
La Gloria-17-08,153.25,2886.5,1154.25,2275.9,5922.9,77.5,32.0,12.0,44.5,241039.97,118754.42
La Gloria-17-09,0.0,5061.95,3508.0,3088.13,19656.85,80.0,32.0,12.0,50.0,0,0
La Gloria-17-10,0.0,879.53,135.5,318.95,18850.84,20.0,8.0,3.0,12.5,0,0
La Gloria-17-11,0.0,0.0,10.0,0.0,7739.0,13.5,11.0,0.0,6.0,0,0
La Gloria-17-12,142.25,41.0,59.25,64.0,9215.88,21.5,16.0,0.0,9.5,0,0
La Gloria-18-01,160.25,11.75,0.0,65.75,4265.75,31.0,25.0,0.0,47.0,0,0
La Gloria-18-02,146.5,128.5,28.0,86.0,3671.5,31.0,25.0,0.0,47.0,0,0
