Name-Year-Month,Siembra,Fertilizacion,Cultivos,Limpias,Riegos,Plagas Controlables,Plagas No Controlables,Enfermedades Controlables,Enfermedades No Controlables,Total Cosechado,Total Molido
La Joya-10-11,0,0,0,0,0,0,0,0,0,0,0
La Joya-10-12,0,0,0,0,0,0,0,0,0,0,0
La Joya-11-01,0,0,0,0,0,0,0,0,0,0,0
La Joya-11-02,0,0,0,0,0,0,0,0,0,0,0
La Joya-11-03,0,0,0,0,0,0,0,0,0,0,0
La Joya-11-04,6,0,6.75,54,0,6121.33,650,0,0,0,0
La Joya-11-05,0,0,0,0,0,0,0,0,0,0,0
La Joya-11-06,12,0,13.5,108,0,12242.66,1300,0,0,84622.65,42311.32
La Joya-11-07,30,0,33.75,270,0,30606.65,3250,0,0,219777.92,109888.96
La Joya-11-08,24,0,27,216,0,24485.32,2600,0,0,175206.91,87603.46
La Joya-11-09,0,0,0,0,0,0,0,0,0,0,0
La Joya-11-10,0,0,0,0,0,0,0,0,0,0,0
La Joya-11-11,0,0,0,0,0,0,0,0,0,0,0
La Joya-11-12,0,0,0,0,0,0,0,0,0,0,0
La Joya-12-01,0,0,0,0,0,0,0,0,0,0,0
La Joya-12-02,0,0,0,0,0,0,0,0,0,0,0
La Joya-12-03,0,0,0,0,0,0,0,0,0,0,0
La Joya-12-04,0,0,0,0,0,0,0,0,0,0,0
La Joya-12-05,0,0,0,0,0,0,0,0,0,0,0
La Joya-12-06,0,0,281,0,0,3000,200,0,0,42569.98,21284.99
La Joya-12-07,0,0,0,0,0,6000,408,0,0,106476.78,53238.39
La Joya-12-08,0,0,0,0,0,0,0,0,0,0,0
La Joya-12-09,0,0,0,0,0,0,0,0,0,0,0
La Joya-12-10,0,0,0,0,0,0,0,0,0,0,0
La Joya-12-11,0,0,0,0,0,0,0,0,0,0,0
La Joya-12-12,0,0,0,0,0,0,0,0,0,0,0
La Joya-13-01,0,0,0,0,0,0,0,0,0,0,0
La Joya-13-02,0,0,0,0,0,0,0,0,0,0,0
La Joya-13-03,0,0,0,0,0,0,0,0,0,0,0
La Joya-13-04,434.52,0,201.55,560.27,0,6344,1900,0,0,105957.06,50778.53
La Joya-13-05,516.07,0,242.62,0,104.49,11388,2900,0,0,259749.37,129760.19
La Joya-13-06,237.32,0,757.43,120,640.49,12688,3800,0,0,252032.59,131066.3
La Joya-13-07,0,0,695.88,0,145.51,9955.25,2850,0,0,201830.92,111365.46
La Joya-13-08,0,0,1094.98,309.73,373.75,13872,3800,0,0,262556.03,159278.02
La Joya-13-09,0,0,150,223.43,36,3468,950,0,0,45528.88,29264.44
