Name-Year-Month,Siembra,Fertilizacion,Cultivos,Limpias,Riegos,Plagas Controlables,Plagas No Controlables,Enfermedades Controlables,Enfermedades No Controlables,Total Cosechado,Total Molido
La Margarita-10-11,0.0,329.58,0.0,764.76,0.0,636.59,16196.31,0.0,0.0,0,0
La Margarita-10-12,0.0,110.74,0.0,351.24,0.0,3190.68,16196.31,0.0,0.0,0,0
La Margarita-11-01,0,0,0,0,0,0,0,0,0,0,0
La Margarita-11-02,0,0,0,0,0,0,0,0,0,0,0
La Margarita-11-03,0,0,0,0,0,0,0,0,0,0,0
La Margarita-11-04,8.12,74.36,273.7,44.83,78.28,5558.34,19716.15,0.0,0.0,175621.28,90888.5
La Margarita-11-05,9.5,85.72,449.4,156.23,267.67,9263.9,32860.25,0.0,0.0,351693.43,180162.2
La Margarita-11-06,0.0,43.55,349.19,99.03,390.42,7411.12,26295.2,0.0,0.0,267609.08,137211.04
La Margarita-11-07,0.0,18.63,343.83,159.51,282.81,9263.9,32875.25,0.0,0.0,343438.48,171635.91
La Margarita-11-08,0,0,0,0,0,0,0,0,0,0,0
La Margarita-11-09,0,0,0,0,0,0,0,0,0,0,0
La Margarita-11-10,0,0,0,0,0,0,0,0,0,0,0
La Margarita-11-11,0,0,0,0,0,0,0,0,0,0,0
La Margarita-11-12,0,0,0,0,0,0,0,0,0,0,0
La Margarita-12-01,353.54,69.67,56.5,143.5,820.37,15345.21,18369.92,78.0,88.0,0,0
La Margarita-12-02,190.43,29.71,92.5,136.1,98.44,15167.79,18913.45,78.0,88.0,243945.06,121517.03
La Margarita-12-03,71.26,0.0,176.5,163.5,44.2,11281.21,14328.11,58.5,66.0,259728.24,129278.34
La Margarita-12-04,22.17,0.0,148.0,13.0,25.0,3768.07,4780.63,19.5,22.0,74050.46,36661.37
La Margarita-12-05,0,0,0,0,0,0,0,0,0,0,0
La Margarita-12-06,0,0,0,0,0,0,0,0,0,0,0
La Margarita-12-07,0,0,0,0,0,0,0,0,0,0,0
La Margarita-12-08,0,0,0,0,0,0,0,0,0,0,0
La Margarita-12-09,0,0,0,0,0,0,0,0,0,0,0
La Margarita-12-10,25.76,752.99,20.15,3071.68,0.0,5690.45,8909.21,78.0,88.0,0,0
La Margarita-12-11,59.78,118.05,12.0,905.54,0.0,9998.63,13920.45,78.0,88.0,0,0
La Margarita-12-12,250.38,108.2,0.0,299.67,0.0,17720.45,20644.35,97.5,110.0,0,0
La Margarita-13-01,0,0,0,0,0,0,0,0,0,0,0
La Margarita-13-02,0,0,0,0,0,0,0,0,0,0,0
La Margarita-13-03,0,0,0,0,0,0,0,0,0,0,0
La Margarita-13-04,212.46,0.0,249.58,67.0,142.0,7536.14,9567.76,39.0,44.0,169213.3,84417.51
La Margarita-13-05,8.49,0.0,571.59,67.5,545.99,15148.28,19158.52,78.0,88.0,326722.98,162964.6
La Margarita-13-06,0.0,0.0,1089.02,165.76,538.05,19221.85,23960.65,97.5,110.0,391295.78,193766.32
La Margarita-13-07,0.0,0.0,778.75,267.9,620.05,15604.78,19184.52,78.0,88.0,318686.9,158522.8
La Margarita-13-08,0.0,0.0,219.28,310.7,207.52,15727.28,19295.02,78.0,88.0,287463.9,142827.97
La Margarita-13-09,0,0,0,0,0,0,0,0,0,0,0
