Name-Year-Month,Siembra,Fertilizacion,Cultivos,Limpias,Riegos,Plagas Controlables,Plagas No Controlables,Enfermedades Controlables,Enfermedades No Controlables,Total Cosechado,Total Molido
Cardenas-10-11,0,0,0,0,0,0,0,0,0,0,0
Cardenas-10-12,0.0,1.5,0.0,2.1,70.0,300.0,0.0,0.0,0.0,0,0
Cardenas-11-01,16.9,19.4,1.1,13.5,1715.1,862.0,0.0,0.0,0.0,0,0
Cardenas-11-02,0,0,0,0,0,0,0,0,0,0,0
Cardenas-11-03,0,0,0,0,0,0,0,0,0,0,0
Cardenas-11-04,36.4,0.0,0.0,12.2,744.5,900.0,0.0,0.0,0.0,89661.2,44099.6
Cardenas-11-05,63.85,73.95,0.0,40.0,1860.0,1500.0,0.0,0.0,0.0,152033.4,75674.2
Cardenas-11-06,58.2,130.0,0.0,0.0,1560.0,900.0,0.0,0.0,0.0,96409.0,46707.5
Cardenas-11-07,15.0,15.0,0.0,0.0,24.0,900.0,0.0,0.0,0.0,118046.4,54850.2
Cardenas-11-08,5.0,1.7,0.0,0.0,2415.0,1200.0,0.0,0.0,0.0,157395.2,73133.6
Cardenas-11-09,6.9,668.1,141.9,619.95,4888.3,1200.0,0.0,0.0,0.0,157395.2,73133.6
Cardenas-11-10,10.55,349.8,0.0,447.2,620.0,900.0,0.0,0.0,0.0,118046.4,54850.2
Cardenas-11-11,14.15,8.55,0.0,50.85,353.7,0,0,0,0,0,0
Cardenas-11-12,118.65,47.6,18.6,137.2,1590.5,1724.0,0.0,0.0,0.0,0,0
Cardenas-12-01,0,0,0,0,0,0,0,0,0,0,0
Cardenas-12-02,29.65,19.2,14.7,13.7,2320.0,4715.5,139.0,0.0,0.0,0,0
Cardenas-12-03,43.55,0.0,36.15,61.9,4284.0,9431.0,278.0,0.0,0.0,124922.0,59827.58
Cardenas-12-04,11.35,0.0,46.1,11.3,1193.8,2494.25,92.35,0.0,0.0,26800.0,13160.0
Cardenas-12-05,0,0,0,0,0,0,0,0,0,0,0
Cardenas-12-06,0.0,60.5,36.0,45.5,757.2,662.7,42.05,0.0,0.0,28608.0,15960.0
Cardenas-12-07,0,0,0,0,0,0,0,0,0,0,0
Cardenas-12-08,0.0,296.45,252.05,333.45,1925.6,4001.7,168.2,0.0,0.0,39170.0,19838.0
Cardenas-12-09,0.0,822.8,361.2,949.9,3385.7,5021.85,228.3,0.0,0.0,0,0
Cardenas-12-10,16.6,111.7,2.8,63.55,864.0,1055.1,69.5,0.0,0.0,0,0
Cardenas-12-11,42.3,1035.05,7.55,80.5,545.3,3165.3,208.5,0.0,0.0,0,0
Cardenas-12-12,0,0,0,0,0,0,0,0,0,0,0
Cardenas-13-01,5.15,0.0,2.5,42.85,453.0,6683.6,120.0,0.0,30.0,0,0
Cardenas-13-02,31.7,0.0,0.7,14.2,236.0,6683.6,480.0,0.0,120.0,4326.0,0.0
Cardenas-13-03,1.95,0.0,1.4,3.95,2537.1,8622.3,600.0,0.0,150.0,132975.0,61159.72
Cardenas-13-04,115.45,0.0,73.4,38.95,3877.35,9289.55,397.05,0.0,30.0,127701.0,62729.14
Cardenas-13-05,35.95,0.0,111.3,132.1,4606.85,10257.9,369.4,0.0,0.0,125426.0,63287.0
Cardenas-13-06,17.0,0.0,85.85,182.3,3173.0,8053.15,277.05,0.0,0.0,88470.0,44989.0
Cardenas-13-07,0,0,0,0,0,0,0,0,0,0,0
Cardenas-13-08,10.95,0.0,162.95,389.6,3873.0,12166.4,369.4,0.0,0.0,121105.16,60283.58
Cardenas-13-09,0.0,0.0,223.05,1732.65,5208.35,17491.8,461.75,0.0,0.0,0,0
Cardenas-13-10,58.55,0.0,18.0,690.25,445.0,6476.75,0.0,0.0,0.0,0,0
Cardenas-13-11,73.95,0.0,1.3,95.55,807.6,6647.15,0.0,0.0,0.0,0,0
Cardenas-13-12,56.4,0.0,1.3,61.25,109.0,8354.5,0.0,0.0,0.0,0,0
Cardenas-14-01,20.0,0.0,7.95,33.0,2161.0,5585.4,0.0,0.0,0.0,0,0
Cardenas-14-02,12.9,0.0,1.0,13.0,1999.8,5585.4,0.0,0.0,0.0,0,0
Cardenas-14-03,7.6,0.0,2.5,3.0,3701.3,6986.8,0.0,0.0,0.0,171583.21,85695.0
Cardenas-14-04,13.3,0.0,28.5,33.4,3199.2,6626.5,360.0,0.0,90.0,139865.0,66688.0
Cardenas-14-05,3.95,0.0,54.25,82.55,2549.7,7028.5,480.0,0.0,120.0,140137.0,68987.0
Cardenas-14-06,7.2,0.0,50.9,440.45,4585.55,9542.15,600.0,0.0,150.0,173751.0,88410.76
Cardenas-14-07,1.15,0.0,51.75,273.1,2079.25,8047.3,480.0,0.0,120.0,122400.0,61200.0
Cardenas-14-08,1.0,0.0,0.0,0.0,0.0,2022.05,120.0,0.0,30.0,23600.0,11800.0
Cardenas-14-09,0.0,0.0,62.0,766.7,1570.95,8443.5,480.0,0.0,120.0,0,0
Cardenas-14-10,4.3,0.0,24.95,1082.35,248.6,2524.8,0.0,0.0,0.0,0,0
Cardenas-14-11,4.35,0.0,279.7,565.2,4190.05,5009.5,0.0,0.0,0.0,0,0
Cardenas-14-12,7.7,0.0,0.0,64.4,537.15,5511.6,0.0,0.0,0.0,0,0
Cardenas-15-01,8.2,50.1,3.3,169.15,514.55,1251.6,0.0,0.0,0.0,0,0
Cardenas-15-02,9.1,1.0,0.0,33.8,724.4,1251.6,0.0,0.0,0.0,0,0
Cardenas-15-03,3.7,11.4,1.0,23.5,1326.2,1564.5,0.0,0.0,0.0,95903.65,47835.0
Cardenas-15-04,7.0,11.15,11.4,31.1,1226.9,4554.35,0.0,0.0,0.0,134025.66,66925.0
Cardenas-15-05,2.4,0.0,102.5,126.0,1733.5,7567.6,0.0,0.0,0.0,166143.69,83040.0
Cardenas-15-06,0,0,0,0,0,0,0,0,0,0,0
Cardenas-15-07,14.3,0.0,7.7,183.35,1182.5,6273.1,0.0,0.0,0.0,105762.02,52865.0
Cardenas-15-08,0.0,0.0,11.0,350.45,1568.45,7920.4,0.0,0.0,0.0,54874.25,27412.51
Cardenas-15-09,0.0,0.0,25.4,440.25,884.9,6516.1,0.0,0.0,0.0,0,0
Cardenas-15-10,7.75,1979.25,13.75,1082.15,484.45,1026.95,0.0,0.0,0.0,0,0
Cardenas-15-11,13.2,1385.75,8.0,407.0,418.9,1561.9,0.0,0.0,0.0,0,0
Cardenas-15-12,6.5,195.15,0.0,874.55,0.0,1251.6,0.0,0.0,0.0,0,0
Cardenas-16-01,15.0,76.1,0.0,338.05,1056.45,658.65,0.0,0.0,475.0,0,0
Cardenas-16-02,3.1,14.1,0.0,8.6,335.55,552.2,0.0,0.0,380.0,0,0
Cardenas-16-03,3.75,0.0,0.0,0.0,178.65,552.2,0.0,0.0,380.0,69240.0,34620.0
Cardenas-16-04,7.5,5.4,5.4,1.5,418.6,1076.75,0.0,0.0,95.0,110828.72,55375.0
Cardenas-16-05,1.7,215.55,104.7,158.6,1598.1,1816.8,0.0,0.0,0.0,153730.66,76800.0
Cardenas-16-06,1.1,100.0,6.0,110.9,565.95,1588.0,0.0,0.0,0.0,110621.0,55285.0
Cardenas-16-07,4.3,168.3,2.2,161.65,948.9,2040.0,0.0,0.0,0.0,136827.6,68310.0
Cardenas-16-08,6.6,175.3,6.2,112.45,264.25,1647.6,0.0,0.0,0.0,74039.05,36987.76
Cardenas-16-09,1.6,696.9,3.0,583.45,1471.0,1652.8,0.0,0.0,0.0,0,0
Cardenas-16-10,9.9,1930.25,5.1,1238.25,654.35,955.35,0.0,0.0,530.0,0,0
Cardenas-16-11,7.95,1108.45,0.0,134.45,334.3,520.6,0.0,0.0,380.0,0,0
Cardenas-16-12,11.75,535.95,0.0,737.75,181.5,520.6,0.0,0.0,380.0,0,0
Cardenas-17-01,8.05,246.7,0.0,63.3,658.3,4000.0,0.0,0.0,1250.0,0,0
Cardenas-17-02,17.65,7.0,0.0,10.0,319.0,3200.0,0.0,0.0,1000.0,0,0
Cardenas-17-03,2.8,0.0,0.0,0.0,20.0,800.0,0.0,0.0,250.0,0,0
Cardenas-17-04,11.4,0.0,0.0,0.0,0.0,552.2,0.0,0.0,380.0,108100.0,54050.0
Cardenas-17-05,6.95,0.0,0.0,0.0,0.0,552.2,0.0,0.0,380.0,108000.0,54000.0
