Name-Year-Month,Siembra,Fertilizacion,Cultivos,Limpias,Riegos,Plagas Controlables,Plagas No Controlables,Enfermedades Controlables,Enfermedades No Controlables,Total Cosechado,Total Molido
Mahuixtlan-10-11,0,0,0,0,0,0,0,0,0,0,0
Mahuixtlan-10-12,0,0,0,0,0,0,0,0,0,0,0
Mahuixtlan-11-01,18.3,29.4,9.5,166.83,56.81,0,0,0,0,0,0
Mahuixtlan-11-02,0,0,0,0,0,0,0,0,0,0,0
Mahuixtlan-11-03,0,0,0,0,0,0,0,0,0,0,0
Mahuixtlan-11-04,0.0,0.0,100.45,0.0,180.9,0,0,0,0,61053.22,30526.61
Mahuixtlan-11-05,33.49,128.25,58.25,21.8,153.14,0,0,0,0,53256.02,26628.01
Mahuixtlan-11-06,0,0,0,0,0,0,0,0,0,0,0
Mahuixtlan-11-07,56.84,79.05,156.36,397.73,409.2,0,0,0,0,152421.5,76210.75
Mahuixtlan-11-08,7.6,167.3,193.28,310.09,79.45,0,0,0,0,0,0
Mahuixtlan-11-09,66.44,601.88,181.92,837.29,213.03,0,0,0,0,0,0
Mahuixtlan-11-10,111.5,2436.11,209.23,1723.35,28.41,0,0,0,0,0,0
Mahuixtlan-11-11,79.05,423.37,114.09,335.77,18.1,0,0,0,0,0,0
Mahuixtlan-11-12,50.58,87.25,54.15,52.44,5.25,0,0,0,0,0,0
Mahuixtlan-12-01,78.0,185.98,28.02,141.82,4.35,0,0,0,0,0,0
Mahuixtlan-12-02,30.1,26.4,8.2,44.67,27.0,0,0,0,0,104194.08,52097.04
Mahuixtlan-12-03,2.5,0.0,100.09,22.55,192.94,0,0,0,0,139427.3,70263.65
Mahuixtlan-12-04,1.8,0.0,23.53,11.95,53.23,0,0,0,0,21550.32,10775.16
Mahuixtlan-12-05,0,0,0,0,0,0,0,0,0,0,0
Mahuixtlan-12-06,11.9,119.64,43.1,134.34,102.85,0,0,0,0,35171.46,17685.95
Mahuixtlan-12-07,28.9,373.29,166.0,456.45,261.38,0,0,0,0,80957.92,48897.41
Mahuixtlan-12-08,28.34,257.68,162.85,838.49,198.5,0,0,0,0,103960.94,66674.78
Mahuixtlan-12-09,123.66,1018.04,159.56,1454.14,44.25,0,0,0,0,81821.34,56032.2
Mahuixtlan-12-10,151.22,933.09,69.8,1026.33,21.7,0,0,0,0,0,0
Mahuixtlan-12-11,119.21,182.85,26.0,150.07,22.31,0,0,0,0,0,0
Mahuixtlan-12-12,60.64,104.82,14.4,124.54,43.93,0,0,0,0,0,0
Mahuixtlan-13-01,48.8,0.0,19.3,50.98,24.8,0,0,0,0,41.2,0.0
Mahuixtlan-13-02,21.4,0.0,12.7,21.1,7.5,0,0,0,0,41195.2,20577.0
Mahuixtlan-13-03,0.0,0.0,99.75,13.0,86.9,0,0,0,0,131819.84,65909.92
Mahuixtlan-13-04,16.0,0.0,276.87,42.0,223.31,0,0,0,0,130347.32,65173.66
Mahuixtlan-13-05,34.33,0.0,356.4,387.25,309.24,0,0,0,0,140775.0,70387.5
Mahuixtlan-13-06,23.6,0.0,258.68,763.16,288.39,0,0,0,0,116049.14,58024.57
Mahuixtlan-13-07,18.95,0.0,223.03,586.19,131.35,0,0,0,0,87184.28,43592.14
