Name-Year-Month,Siembra,Fertilizacion,Cultivos,Limpias,Riegos,Plagas Controlables,Plagas No Controlables,Enfermedades Controlables,Enfermedades No Controlables,Total Cosechado,Total Molido
Panuco-10-11,6.5,75.0,0.0,768.75,0.0,309.5,797.25,0.0,0.0,0,0
Panuco-10-12,47.25,22.0,0.0,2502.25,0.0,435.75,543.0,0.0,0.0,0,0
Panuco-11-01,0,0,0,0,0,0,0,0,0,0,0
Panuco-11-02,0,0,0,0,0,0,0,0,0,0,0
Panuco-11-03,0,0,0,0,0,0,0,0,0,0,0
Panuco-11-04,213.25,54.0,476.5,9.25,765.0,687.75,3996.0,0.0,0.0,230074.66,116979.3
Panuco-11-05,0.0,1023.0,2698.25,402.75,1118.25,1146.25,6660.0,0.0,0.0,476594.63,245537.08
Panuco-11-06,0.0,495.0,1099.0,175.5,802.25,458.5,2664.0,0.0,0.0,182041.26,91801.36
Panuco-11-07,0.0,935.75,1472.0,1416.25,1466.0,687.75,3996.0,0.0,0.0,212238.14,123052.74
Panuco-11-08,0.0,749.25,966.0,832.0,998.25,458.5,2664.0,0.0,0.0,171383.14,88224.47
Panuco-11-09,0,0,0,0,0,0,0,0,0,0,0
Panuco-11-10,0,0,0,0,0,0,0,0,0,0,0
Panuco-11-11,0,0,0,0,0,0,0,0,0,0,0
Panuco-11-12,0,0,0,0,0,0,0,0,0,0,0
Panuco-12-01,0,0,0,0,0,0,0,0,0,0,0
Panuco-12-02,0.0,0.0,2.0,0.0,0.0,2108.75,0.0,0.0,0.0,32779.16,16389.58
Panuco-12-03,235.5,0.0,437.0,325.25,703.0,8435.0,0.0,0.0,0.0,311433.34,155691.58
Panuco-12-04,41.75,0.0,111.5,78.0,171.0,2108.75,0.0,0.0,0.0,95277.88,47332.94
Panuco-12-05,0,0,0,0,0,0,0,0,0,0,0
Panuco-12-06,0,0,0,0,0,0,0,0,0,0,0
Panuco-12-07,0,0,0,0,0,0,0,0,0,0,0
Panuco-12-08,0,0,0,0,0,0,0,0,0,0,0
Panuco-12-09,0,0,0,0,0,0,0,0,0,0,0
Panuco-12-10,0,0,0,0,0,0,0,0,0,0,0
Panuco-12-11,0,0,0,0,0,0,0,0,0,0,0
Panuco-12-12,0,0,0,0,0,0,0,0,0,0,0
Panuco-13-01,0,0,0,0,0,0,0,0,0,0,0
Panuco-13-02,0,0,0,0,0,0,0,0,0,0,0
Panuco-13-03,142.5,27.5,54.5,85.25,0.0,5375.0,0.0,0.0,0.0,134960.15,67122.58
Panuco-13-04,147.5,0.0,513.25,206.75,370.0,9013.75,0.0,0.0,0.0,320293.84,159254.42
Panuco-13-05,15.5,0.0,1481.75,188.0,838.75,8435.0,0.0,0.0,0.0,414102.52,205383.76
Panuco-13-06,12.25,0.0,1859.03,113.25,1891.0,8435.0,0.0,0.0,0.0,412337.74,206535.25
Panuco-13-07,0,0,0,0,0,0,0,0,0,0,0
Panuco-13-08,0.0,0.0,2581.25,2079.75,2417.5,8435.0,0.0,0.0,0.0,388179.04,193628.2
Panuco-13-09,0.0,0.0,1987.0,3428.5,2020.5,10800.25,0.0,0.0,0.0,417158.92,213037.26
Panuco-13-10,31.5,668.75,431.25,1391.25,27.0,2248.0,0.0,0.0,0.0,70910.7,35064.1
Panuco-13-11,0,0,0,0,0,0,0,0,0,0,0
Panuco-13-12,0,0,0,0,0,0,0,0,0,0,0
Panuco-14-01,296.5,0.0,2755.25,3457.5,1832.25,0,0,0,0,0,0
Panuco-14-02,371.25,0.0,0.0,168.0,0.0,0,0,0,0,0,0
Panuco-14-03,470.76,0.0,145.25,165.5,0.0,0,0,0,0,577907.82,287861.74
Panuco-14-04,124.25,46.0,111.5,282.75,0.0,8062.5,0.0,0.0,0.0,349643.7,174187.38
