Name-Year-Month,Siembra,Fertilizacion,Cultivos,Limpias,Riegos,Plagas Controlables,Plagas No Controlables,Enfermedades Controlables,Enfermedades No Controlables,Total Cosechado,Total Molido
Pedernales-10-11,0,0,0,0,0,0,0,0,0,0,0
Pedernales-10-12,0,0,0,0,0,0,0,0,0,0,0
Pedernales-11-01,0,60,45,504.85,2061.1,29205,620,0,0,0,0
Pedernales-11-02,0,0,0,0,0,0,0,0,0,0,0
Pedernales-11-03,0,0,0,0,0,0,0,0,0,0,0
Pedernales-11-04,0,15,0,20,57.5,6545.9,620,0,0,83711.33,41855.67
Pedernales-11-05,0,20,0,20,37.4,6545.9,620,0,0,101677.67,50838.83
Pedernales-11-06,0,0,0,0,0,0,0,0,0,0,0
Pedernales-11-07,0,117.8,20.6,80,96.8,13247.95,930,0,0,92140,46070
Pedernales-11-08,0,201.7,20,30,73.35,8645.75,310,0,0,0,0
Pedernales-11-09,0,785.9,45,40,201.2,11291.75,310,0,0,0,0
Pedernales-11-10,0,1354.1,402.2,160,833.1,43807.5,930,0,0,0,0
Pedernales-11-11,0,1837.3,605,307.7,941.9,43807.5,930,0,0,0,0
Pedernales-11-12,0,1571.2,740,1994,3875.8,58410,1240,0,0,0,0
Pedernales-12-01,0,0,0,0,0,0,0,0,0,0,0
Pedernales-12-02,0,0,0,0,0,0,0,0,0,0,0
Pedernales-12-03,0,0,0,0,0,0,0,0,0,0,0
Pedernales-12-04,0,0,0,0,0,0,0,0,0,0,0
Pedernales-12-05,0,0,0,0,0,0,0,0,0,0,0
Pedernales-12-06,0,97.7,0,0,250.9,57523.55,49841,0,0,37300,18650
Pedernales-12-07,0,147.3,224.6,0,3226.15,205292.06,163500.58,0,0,67680,33840
Pedernales-12-08,0,178.4,138,781.4,1236.3,410584.12,327001.16,0,0,121229.4,60614.7
Pedernales-12-09,0,164.5,117.8,476,132.45,149153.66,33973.59,0,0,0,0
Pedernales-12-10,17.3,2420.85,67,3696,4068.3,17600,0,0,0,0,0
Pedernales-12-11,0,1713.4,437.6,601.7,2057.15,13200,0,0,0,0,0
Pedernales-12-12,0,246.9,99.7,423.1,872.1,13200,0,0,0,0,0
Pedernales-13-01,0,0,0,162.6,1553,0,0,0,0,0,0
Pedernales-13-02,0,0,0,57.2,1849.35,0,0,0,0,0,0
Pedernales-13-03,0,0,5.5,4.9,1219.8,13478.45,0,483.3,0,89893.03,44946.51
Pedernales-13-04,0,0,0,0,148.5,4412.15,0,161.1,0,35575.89,17787.94
Pedernales-13-05,0,0,22.5,234.75,974.5,0,0,0,0,146119.29,73059.65
Pedernales-13-06,0,0,299,207.8,1569.2,0,0,0,0,171728.91,85864.46
Pedernales-13-07,0,0,177.3,47.85,1825.15,0,0,0,0,138363.65,69181.82
Pedernales-13-08,0,0,185.55,0,219.95,0,0,0,0,95958.31,47979.16
Pedernales-13-09,0,0,354.3,1783.1,2616.3,0,0,0,0,0,0
Pedernales-13-10,0,0,18.1,820.2,1375.8,0,0,0,0,0,0
Pedernales-13-11,0,0,0,651.9,438.3,0,0,0,0,0,0
Pedernales-13-12,0,0,1.5,1881.15,2579.6,0,0,0,0,0,0
Pedernales-14-01,5.6,0,5.6,389.4,3058.85,16511.6,0,0,0,0,0
Pedernales-14-02,13.4,0,0,9.5,1835.8,16511.6,0,0,0,0,0
Pedernales-14-03,23.9,0,1.1,3.5,2033.2,20639.5,0,0,0,57391.76,28695.88
Pedernales-14-04,2,0,16.4,17.7,2622.15,17364.35,0,483.3,0,139932.71,69966.35
Pedernales-14-05,0,0,20.9,13.5,916.4,13236.45,0,483.3,0,112180,56090
Pedernales-14-06,0,0,86.1,16.7,1794.9,22060.75,0,805.5,0,185210,92605
Pedernales-14-07,0,0,138.2,11.3,1730.8,17648.6,0,644.4,0,138013.33,69006.66
Pedernales-14-08,0,0,54.8,178.2,2147.15,22060.75,0,805.5,0,83510.82,41755.41
Pedernales-14-09,0,0,114.5,1691.6,1817.5,17648.6,0,644.4,0,0,0
Pedernales-14-10,0,0,19.9,1955.5,2343,16650.6,0,0,0,0,0
Pedernales-14-11,0,0,0.4,1199.2,1300.05,20745.75,0,0,0,0,0
Pedernales-14-12,0,0,94.3,790.9,2921.05,16575.35,0,0,0,0,0
Pedernales-15-01,2.3,41,0,293.2,2108.2,16395.6,0,0,0,0,0
Pedernales-15-02,10.9,12.7,1,14.6,1874.2,16332,0,144.5,0,0,0
Pedernales-15-03,3.6,16.2,1.4,10.2,1590.6,20176.5,0,722.5,0,88680.2,44340.1
Pedernales-15-04,25.2,0,5.8,5.9,550.5,16419,0,144.5,0,140193.32,70096.66
Pedernales-15-05,48.1,0,66.4,19.9,2787.35,20639.5,0,0,0,170013.36,85006.68
Pedernales-15-06,23.2,0,65.9,37.8,1530.2,16511.6,0,0,0,114556.56,57278.28
Pedernales-15-07,17.4,0,67.1,7.1,1747.2,16511.6,0,0,0,128189.04,64094.52
Pedernales-15-08,33.2,0,39.6,32.5,1954.9,20639.5,0,0,0,108943.47,54471.74
Pedernales-15-09,34.6,0,14.6,1854.9,1731.6,16511.6,0,0,0,0,0
