Name-Year-Month,Siembra,Fertilizacion,Cultivos,Limpias,Riegos,Plagas Controlables,Plagas No Controlables,Enfermedades Controlables,Enfermedades No Controlables,Total Cosechado,Total Molido
Ayala-10-11,0,0,0,0,0,0,0,0,0,0,0
Ayala-10-12,91.94,17.76,0.0,533.04,0.0,0,0,0,0,0,0
Ayala-11-01,0.0,176.22,2.5,631.44,2.25,1056.58,0.0,0.0,0.0,0,0
Ayala-11-02,0,0,0,0,0,0,0,0,0,0,0
Ayala-11-03,0,0,0,0,0,0,0,0,0,0,0
Ayala-11-04,0.0,16.6,133.16,10.3,133.22,488.48,0.0,0.0,0.0,179394.11,89955.43
Ayala-11-05,0.0,514.87,1679.59,300.53,533.37,488.48,0.0,0.0,0.0,187117.01,88666.51
Ayala-11-06,0,0,0,0,0,0,0,0,0,0,0
Ayala-11-07,0.0,371.37,2022.82,88.01,437.43,2314.19,0.0,0.0,0.0,317195.0,155119.45
Ayala-11-08,0.0,359.09,923.94,922.39,448.01,1429.47,0.0,0.0,0.0,9165.73,4582.86
Ayala-11-09,0.0,57.75,118.16,13.76,155.7,770.03,0.0,0.0,0.0,0,0
Ayala-11-10,0.0,1359.29,104.49,270.59,0.0,2317.59,0.0,0.0,0.0,0,0
Ayala-11-11,0.0,383.5,200.89,3520.18,0.0,1584.87,0.0,0.0,0.0,0,0
Ayala-11-12,0.0,570.5,103.69,1052.75,5.25,2113.16,0.0,0.0,0.0,0,0
Ayala-12-01,0,0,0,0,0,0,0,0,0,0,0
Ayala-12-02,0,0,0,0,0,0,0,0,0,0,0
Ayala-12-03,0,0,0,0,0,0,0,0,0,0,0
Ayala-12-04,0,0,0,0,0,0,0,0,0,0,0
Ayala-12-05,0,0,0,0,0,0,0,0,0,0,0
Ayala-12-06,0.0,27.35,35.91,0.0,0.0,0,0,0,0,82952.76,38214.89
Ayala-12-07,0.0,692.06,2025.9,1462.21,206.22,0,0,0,0,0,0
Ayala-12-08,0.0,1906.05,3159.98,1884.49,622.25,0,0,0,0,0,0
Ayala-12-09,0.0,631.31,1140.82,2312.32,265.91,0,0,0,0,0,0
Ayala-12-10,0.0,22.71,243.58,902.02,0.0,46.8,0.0,0.0,0.0,0,0
Ayala-12-11,0.0,59.88,17.0,79.88,0.0,497.88,0.0,0.0,0.0,0,0
Ayala-12-12,0.0,63.63,28.99,52.41,0.0,700.02,0.0,0.0,0.0,0,0
Ayala-13-01,0.0,0.0,1.0,625.39,0.0,6087.77,17669.79,0.0,0.0,0,0
Ayala-13-02,0.0,0.0,13.91,618.22,0.0,23165.46,38165.48,0.0,0.0,0,0
Ayala-13-03,0.0,0.0,204.32,1259.05,59.36,38852.93,52124.26,0.0,0.0,292846.19,163556.49
Ayala-13-04,0.0,0.0,53.67,104.34,0.0,8587.98,10744.89,0.0,0.0,1579.43,0.0
Ayala-13-05,0.0,251.17,1189.22,725.84,517.72,57620.96,315.33,102.4,0.0,349045.89,180427.03
Ayala-13-06,0.0,786.56,2516.57,1090.53,1681.53,87838.41,5151.46,505.0,0.0,413627.2,214579.54
Ayala-13-07,0.0,858.81,1833.68,389.03,1148.7,81072.23,8840.33,468.0,0.0,333406.02,165537.32
Ayala-13-08,0.0,605.69,1262.79,189.35,393.02,64439.24,9096.37,351.0,0.0,211734.65,105239.06
Ayala-13-09,0.0,382.85,1145.18,208.95,322.29,66314.35,9330.87,351.0,0.0,157146.6,74204.81
Ayala-13-10,0.0,0.0,649.67,1312.09,52.08,3848.0,3326.4,0.0,0.0,0,0
Ayala-13-11,0.0,0.0,961.97,1525.61,46.9,4662.4,7962.0,0.0,0.0,0,0
Ayala-13-12,0.0,0.0,453.21,990.2,0.0,10212.0,26923.0,0.0,0.0,0,0
Ayala-14-01,192.19,0.0,76.88,988.66,0.0,6690.29,17095.7,0.0,0.0,0,0
Ayala-14-02,757.25,0.0,102.56,135.93,0.0,17395.75,27610.34,0.0,0.0,163530.5,81436.25
Ayala-14-03,706.21,0.0,913.84,335.0,246.52,38740.97,37148.01,0.0,0.0,431035.73,213138.74
Ayala-14-04,36.91,0.0,456.32,100.26,172.62,38940.01,41904.64,0.0,0.0,311166.99,152019.25
Ayala-14-05,0.0,0.0,1056.16,97.24,134.53,35212.22,36936.51,0.0,0.0,247119.63,124899.78
Ayala-14-06,0.0,0.0,2070.33,196.79,790.39,80386.98,65092.84,0.0,0.0,405484.15,205071.56
Ayala-14-07,0.0,0.0,1092.36,297.34,453.1,79779.83,53208.67,0.0,0.0,335626.14,175937.65
Ayala-14-08,0.0,0.0,2106.19,89.88,341.21,113821.99,67356.68,0.0,0.0,430095.29,218366.16
Ayala-14-09,0.0,0.0,3749.52,5680.65,1152.61,96452.38,56550.21,0.0,0.0,239181.77,103159.94
Ayala-14-10,0.0,0.0,1246.8,1841.56,17.01,6067.35,10781.02,0.0,0.0,0,0
Ayala-14-11,79.01,0.0,678.89,699.12,53.92,7890.35,21548.98,0.0,0.0,0,0
Ayala-14-12,28.43,0.0,332.31,3470.78,52.58,6409.72,20628.14,0.0,0.0,0,0
Ayala-15-01,1022.33,56.66,45.21,297.17,0.0,25767.88,12074.34,324.0,60.0,0,0
Ayala-15-02,86.39,75.97,434.06,1128.45,0.0,31091.51,12118.84,324.0,60.0,190301.08,94476.61
Ayala-15-03,130.91,26.1,562.96,502.76,36.71,45829.01,16825.7,405.0,75.0,409337.5,205525.93
Ayala-15-04,105.49,48.68,830.46,288.6,187.95,47602.54,29893.6,96.7,45.0,266528.37,130956.59
Ayala-15-05,314.98,0.0,1667.95,602.66,998.3,74944.23,45888.73,103.5,50.0,453474.35,224793.72
Ayala-15-06,60.67,0.0,1118.15,432.49,152.33,71053.25,38713.36,112.8,50.0,241262.84,119817.06
Ayala-15-07,0.0,0.0,1208.02,909.85,5.8,88328.76,41084.34,283.7,60.0,279663.96,138623.04
Ayala-15-08,0.0,0.0,1450.45,620.51,106.0,123344.57,52487.8,405.0,75.0,308311.61,148812.02
Ayala-15-09,0.0,0.0,1976.03,703.7,39.65,99952.66,42884.05,324.0,60.0,140396.0,69747.16
Ayala-15-10,0.0,727.8,2429.95,3146.53,225.45,9636.1,11327.36,324.0,60.0,0,0
Ayala-15-11,150.14,274.94,1673.5,4369.72,80.4,14139.18,14159.2,405.0,75.0,0,0
Ayala-15-12,683.63,230.15,1647.06,9994.37,74.35,11701.7,11443.76,324.0,60.0,0,0
Ayala-16-01,1154.93,471.25,108.95,626.17,0.0,15848.32,9408.0,0.0,0.0,0,0
Ayala-16-02,207.61,44.56,90.91,303.65,0.0,73224.22,6003.95,0.0,0.0,73095.6,31915.16
Ayala-16-03,132.32,173.47,583.3,128.74,0.0,25422.16,9301.45,0.0,0.0,325237.36,149870.01
Ayala-16-04,178.75,920.34,2144.83,1616.04,339.52,41361.63,17119.68,243.0,45.0,326210.51,164773.64
Ayala-16-05,350.02,1351.27,2489.06,1754.0,705.7,69375.45,33168.14,405.0,75.0,413090.79,207128.68
Ayala-16-06,2.2,693.28,1679.11,2288.59,744.6,70691.4,33931.25,324.0,60.0,350126.73,173342.67
Ayala-16-07,0.0,1536.5,1794.83,1876.93,481.71,108426.83,44362.05,405.0,75.0,421607.42,202835.8
Ayala-16-08,0.0,805.95,1111.81,1090.79,572.83,90589.73,38091.25,324.0,60.0,370171.65,151490.25
Ayala-16-09,0.0,1786.18,903.03,416.09,65.45,91276.82,40019.43,324.0,60.0,223597.34,79170.51
Ayala-16-10,20.24,1131.64,2481.38,3687.56,139.04,5039.11,7882.83,0.0,0.0,0,0
Ayala-16-11,54.75,520.11,695.16,1666.72,56.36,5211.84,7255.4,0.0,0.0,0,0
Ayala-16-12,365.33,247.16,187.18,137.25,0.0,5992.64,7521.4,0.0,0.0,0,0
Ayala-17-01,905.32,222.24,50.22,0.0,0.0,3972.36,5332.0,0.0,0.0,0,0
Ayala-17-02,1405.76,275.2,311.35,237.92,25.7,3588.16,5162.8,0.0,0.0,0,0
Ayala-17-03,517.05,134.68,825.95,304.61,60.8,3588.16,5162.8,0.0,0.0,235240.76,111172.61
Ayala-17-04,267.57,441.01,2482.07,1215.28,235.59,36691.52,14712.4,0.0,0.0,471371.55,232589.45
Ayala-17-05,220.73,380.44,2371.21,3826.78,777.09,45390.6,15167.92,0.0,0.0,407135.14,203018.51
Ayala-17-06,0.0,1628.6,1769.88,3729.71,440.87,54585.16,16281.48,0.0,0.0,346894.01,172956.68
Ayala-17-07,0.0,2648.59,2533.1,1791.4,729.69,87563.3,20414.35,0.0,0.0,485002.52,221299.44
Ayala-17-08,0.0,1312.47,2537.26,3827.82,1268.13,83329.07,16331.48,0.0,0.0,316016.0,148884.16
