Name-Year-Month,Siembra,Fertilizacion,Cultivos,Limpias,Riegos,Plagas Controlables,Plagas No Controlables,Enfermedades Controlables,Enfermedades No Controlables,Total Cosechado,Total Molido
Puga-10-11,0,0,0,0,0,0,0,0,0,0,0
Puga-10-12,85.5,280.25,587,734,228,502,2204,0,0,0,0
Puga-11-01,0,0,0,0,0,0,0,0,0,0,0
Puga-11-02,0,0,0,0,0,0,0,0,0,0,0
Puga-11-03,0,0,0,0,0,0,0,0,0,0,0
Puga-11-04,377.12,540.15,1257.42,377.72,249.5,7650,8162,0,0,369055.11,180698.2
Puga-11-05,145.85,812.91,3190.9,779.25,1128.57,10200,10904,0,0,468050.31,232730.02
Puga-11-06,63.5,163.4,3971.94,278.86,1013.65,10200,11999,0,0,408395.28,203723
Puga-11-07,77.78,117.78,2527.94,263.78,1312.14,7730,11062.83,0,0,296558.78,147913.16
Puga-11-08,0,0,0,0,0,0,0,0,0,0,0
Puga-11-09,25.17,308.92,1523.51,100.75,678.75,2630,4430.09,0,0,30529,14998.99
Puga-11-10,911.06,2195.28,40,6998.47,0,940,6388.18,0,0,0,0
Puga-11-11,389.18,416.93,29.38,1786.54,0,470,3555.09,0,0,0,0
Puga-11-12,0,0,0,0,0,0,0,0,0,0,0
Puga-12-01,0,0,0,0,0,0,0,0,0,0,0
Puga-12-02,0,0,0,0,0,0,0,0,0,0,0
Puga-12-03,0,0,0,0,0,0,0,0,0,0,0
Puga-12-04,0,0,0,0,0,0,0,0,0,0,0
Puga-12-05,0,0,0,0,0,0,0,0,0,0,0
Puga-12-06,0,0,0,0,0,0,0,0,0,0,0
Puga-12-07,0,0,0,0,0,0,0,0,0,0,0
Puga-12-08,0,0,0,0,0,0,0,0,0,0,0
Puga-12-09,0,4024.15,1564.8,2215.65,633.51,1895.83,4336.59,0.75,0,78850.83,39425.42
Puga-12-10,0,0,0,0,0,0,0,0,0,0,0
Puga-12-11,0,0,0,0,0,0,0,0,0,0,0
Puga-12-12,0,0,0,0,0,0,0,0,0,0,0
Puga-13-01,0,0,0,0,0,0,0,0,0,0,0
Puga-13-02,0,0,0,0,0,0,0,0,0,0,0
Puga-13-03,0,0,0,0,0,0,0,0,0,0,0
Puga-13-04,0,0,0,0,0,0,0,0,0,0,0
Puga-13-05,0,0,0,0,0,0,0,0,0,0,0
Puga-13-06,8.5,0,472.33,153.5,1005,0,0,0,0,107113.6,53556.8
Puga-13-07,0,0,0,0,0,0,0,0,0,0,0
Puga-13-08,0,0,0,0,0,0,0,0,0,0,0
Puga-13-09,8.5,0,453.22,408.95,1005,0,0,0,0,30941.93,15470.97
Puga-13-10,0,0,0,0,0,0,0,0,0,0,0
Puga-13-11,0,0,0,0,0,0,0,0,0,0,0
Puga-13-12,0,0,0,0,0,0,0,0,0,0,0
Puga-14-01,92.7,0,434.34,580.95,32.75,42407,62472.64,56,20,0,0
Puga-14-02,152.93,0,230.26,36.25,0,42407,62472.64,56,20,0,0
Puga-14-03,60.68,0,46.01,2.75,56.9,31627.5,45594.75,42,15,353856.37,176928.18
Puga-14-04,44.75,0,125.84,50.18,24,10542.5,15198.25,14,5,101035.76,50517.88
Puga-14-05,0,0,0,0,0,0,0,0,0,0,0
Puga-14-06,13,0,624.92,812.16,973.27,21410.82,50339.24,0,0,213369.23,106684.62
Puga-14-07,0,0,0,0,0,0,0,0,0,0,0
Puga-14-08,22.95,0,2939.14,204.66,1855.51,76358.45,130287.05,0,0,543837.9,271794.68
Puga-14-09,0,0,1713.99,1688.54,1340.42,70870.03,106743.16,0,0,282079.14,141039.57
Puga-14-10,253.53,0,1229.05,11670.09,135.6,26053.25,30759.65,56,20,0,0
Puga-14-11,249.69,0,192,2398.9,192.25,50536.83,69245.75,70,25,0,0
Puga-14-12,34.21,0,68.5,153.81,1,42407,62472.64,56,20,0,0
Puga-15-01,0,0,0,0,0,0,0,0,0,0,0
Puga-15-02,0,0,0,0,0,0,0,0,0,0,0
Puga-15-03,78.7,17.61,25.4,73.92,807.41,0,0,0,0,150074.9,75037.45
Puga-15-04,143.38,12.58,317.53,19.16,209.06,43525,61556,56,120,459519.97,229759.98
Puga-15-05,89.4,0,610.89,134.5,159.9,42170,60807,56,20,367705.83,183852.92
Puga-15-06,61.9,0,1328.74,110.45,533.76,42170,60849,56,20,384768.06,191821.19
Puga-15-07,37.52,0,1085.82,334.24,507.74,42185,60849,56,20,464371.66,232185.83
Puga-15-08,11.36,0,893.45,236.13,2271.83,44740,60849,56,20,403794.49,201475.57
Puga-15-09,0,0,0,0,0,0,0,0,0,0,0
Puga-15-10,0,0,0,0,0,0,0,0,0,0,0
Puga-15-11,0,0,0,0,0,0,0,0,0,0,0
Puga-15-12,0,0,0,0,0,0,0,0,0,0,0
Puga-16-01,0,0,0,0,0,0,0,0,0,0,0
Puga-16-02,0,0,0,0,0,0,0,0,0,0,0
Puga-16-03,0,0,0,0,0,0,0,0,0,0,0
Puga-16-04,173.08,172.24,949.87,69.24,191.02,35692.5,47883.75,42,315,364910.93,181230.02
