Name-Year-Month,Siembra,Fertilizacion,Cultivos,Limpias,Riegos,Plagas Controlables,Plagas No Controlables,Enfermedades Controlables,Enfermedades No Controlables,Total Cosechado,Total Molido
Casasano-10-11,0,0,0,0,0,0,0,0,0,0,0
Casasano-10-12,0.0,0.0,0.0,0.0,7910.0,2660.0,4397.96,0.0,0.0,0,0
Casasano-11-01,4.71,9.05,9.05,4.68,5.16,186.5,805.0,0.0,0.0,0,0
Casasano-11-02,0,0,0,0,0,0,0,0,0,0,0
Casasano-11-03,0,0,0,0,0,0,0,0,0,0,0
Casasano-11-04,170.01,391.85,463.38,456.55,898.14,1995.0,3298.47,0.0,0.0,138099.14,69560.03
Casasano-11-05,96.86,1491.67,1381.52,1360.11,942.41,3325.0,5497.45,0.0,0.0,221199.12,125557.01
Casasano-11-06,48.7,1208.58,1514.05,1215.39,640.43,3326.5,4397.96,0.0,0.0,134346.1,63814.81
Casasano-11-07,13.49,1219.17,1152.23,1358.37,1359.16,3406.0,4397.96,0.0,0.0,147556.2,82624.87
Casasano-11-08,0.0,1053.0,1019.16,1124.15,748.18,3406.0,4397.96,0.0,0.0,0,0
Casasano-11-09,44.71,861.14,758.74,694.98,254.86,3406.0,4397.96,0.0,0.0,0,0
Casasano-11-10,16.48,1908.82,1639.92,1652.53,236.34,4257.5,5497.45,0.0,0.0,0,0
Casasano-11-11,1.71,254.21,285.93,276.01,1.71,746.0,3220.0,0.0,0.0,0,0
Casasano-11-12,0.0,38.4,88.4,85.0,0.0,559.5,2415.0,0.0,0.0,0,0
Casasano-12-01,136.0,105.63,93.9,145.14,1910.5,9500.0,9500.0,0.0,0.0,2535.52,0.0
Casasano-12-02,108.65,175.24,350.89,460.34,1183.65,7600.0,7600.0,0.0,0.0,155189.24,81863.7
Casasano-12-03,311.86,766.73,1029.3,830.72,849.0,7600.0,7600.0,0.0,0.0,158334.62,93903.31
Casasano-12-04,49.05,178.48,190.73,182.28,190.0,1900.0,1900.0,0.0,0.0,45561.4,23052.22
Casasano-12-05,0,0,0,0,0,0,0,0,0,0,0
Casasano-12-06,46.11,524.89,507.46,484.05,301.07,186.5,805.0,0.0,0.0,45368.48,24141.63
Casasano-12-07,0.0,626.91,454.2,579.87,844.52,373.0,1610.0,0.0,0.0,79445.22,46724.09
Casasano-12-08,0.0,1045.47,1021.38,1092.88,836.88,746.0,3220.0,0.0,0.0,141046.34,85299.32
Casasano-12-09,0.0,587.45,577.0,587.0,298.0,373.0,1610.0,0.0,0.0,1872.74,14662.8
Casasano-12-10,16.87,749.17,854.32,703.51,1324.28,7600.0,7600.0,0.0,0.0,0,0
Casasano-12-11,6.58,325.28,274.27,478.62,1233.83,7600.0,7600.0,0.0,0.0,0,0
Casasano-12-12,21.66,686.54,544.71,743.34,1541.94,9500.0,9500.0,0.0,0.0,0,0
Casasano-13-01,21.1,0.0,10.62,14.05,21.1,10000.0,0.0,0.0,0.0,0,0
Casasano-13-02,76.11,0.0,0.0,31.56,76.11,10000.0,0.0,0.0,0.0,1565.84,0.0
Casasano-13-03,238.71,0.0,232.21,244.0,713.16,12500.0,0.0,0.0,0.0,164883.34,86194.69
Casasano-13-04,105.84,638.92,870.31,993.74,967.45,8200.0,5700.0,0.0,0.0,182591.94,95164.15
Casasano-13-05,35.83,955.42,907.6,779.24,605.49,5700.0,5700.0,0.0,0.0,124921.96,65545.08
Casasano-13-06,15.06,1632.51,1692.65,1688.82,1430.33,9500.0,9500.0,0.0,0.0,221871.51,116063.31
