Name-Year-Month,Siembra,Fertilizacion,Cultivos,Limpias,Riegos,Plagas Controlables,Plagas No Controlables,Enfermedades Controlables,Enfermedades No Controlables,Total Cosechado,Total Molido
La Ameca-10-11,0,0,0,0,0,0,0,0,0,0,0
La Ameca-10-12,0,0,0,0,0,0,0,0,0,0,0
La Ameca-11-01,0,157.5,0,200,0,24700,2800,0,0,195596,97798
La Ameca-11-02,0,0,0,0,0,0,0,0,0,0,0
La Ameca-11-03,0,0,0,0,0,0,0,0,0,0,0
La Ameca-11-04,324.6,341.2,349,210,914,0,0,0,0,184376,92188
La Ameca-11-05,1280.8,892,1676,606,3488,0,0,0,0,471809.27,235904.64
La Ameca-11-06,681.3,1299,883,603,3003,0,0,0,0,317063,135982
La Ameca-11-07,323,3027,2820,2184,3690,0,0,0,0,391192,195596
La Ameca-11-08,280,4840,3460,3370,3462,0,0,0,0,391192,195596
La Ameca-11-09,140,2394,1864,2000,0,0,0,0,0,391192,195596
La Ameca-11-10,0,595,240,886,0,12350,1400,0,0,391192,195596
La Ameca-11-11,0,515,0,1260,0,49400,5600,0,0,391192,195596
La Ameca-11-12,0,315,0,400,0,49400,5600,0,0,391192,195596
La Ameca-12-01,0,450,0,510,0,49550,0,0,0,0,0
La Ameca-12-02,78,270,0,306,42,39640,0,0,0,90400,45200
La Ameca-12-03,135.85,0,300.5,42,465,39640,0,0,0,382324,191162
La Ameca-12-04,47,0,219.5,93,1421,9910,0,0,0,28546,14273
La Ameca-12-05,0,0,0,0,0,0,0,0,0,0,0
La Ameca-12-06,247,518.75,300,600,1000,12350,1400,0,0,91096,45548
La Ameca-12-07,270,1820.25,1585,1390,1643,59158,4200,0,0,268618,134309
La Ameca-12-08,0,1965,2030,5460,2571,96646,5600,0,0,36342,18171
La Ameca-12-09,0,451.75,200,477,300,24414,1400,0,0,0,0
La Ameca-12-10,0,451,52,574,540,29730,0,0,0,0,0
La Ameca-12-11,0,360,0,408,0,39640,0,0,0,0,0
La Ameca-12-12,0,450,0,510,0,49550,0,0,0,0,0
La Ameca-13-01,0,0,0,0,0,0,0,0,0,0,0
La Ameca-13-02,0,0,0,0,0,0,0,0,0,0,0
La Ameca-13-03,16.5,0,385,0,456.5,22400,1640,0,0,380482,190241
La Ameca-13-04,164.95,0,2129,985,1775.05,40930,820,0,0,258472,129236
La Ameca-13-05,668.55,0,3912,3367.5,3390,39640,0,0,0,379228,189614
La Ameca-13-06,695.05,0,2872,2700,2420,49550,0,0,0,469306,234653
La Ameca-13-07,140.55,0,1390,1974,1895,39640,0,0,0,386042,193021
La Ameca-13-08,77.08,0,1560,544075,1677,39640,0,0,0,350942,175361
La Ameca-13-09,0,0,2341.88,3108,3059.76,39640,0,0,0,213166,106363
La Ameca-13-10,0,0,0,0,0,0,0,0,0,0,0
La Ameca-13-11,0,0,0,0,0,0,0,0,0,0,0
La Ameca-13-12,0,0,0,0,0,0,0,0,0,0,0
La Ameca-14-01,0,0,0,300,0,58248,25080,0,0,0,0
La Ameca-14-02,8.5,0,0,0,5.5,58248,25080,0,0,0,0
La Ameca-14-03,99.4,0,199,48,263,72810,31350,0,0,417840,208920
La Ameca-14-04,50.75,0,1208,435.5,803,48162,8730,0,0,266248,133124
La Ameca-14-05,64.6,0,803,740,1454,44800,3280,0,0,378976,189488
La Ameca-14-06,405.55,0,2748,3200,2544,56000,4100,0,0,483224,241612
La Ameca-14-07,237.31,0,1879,1585,2236.16,44800,3280,0,0,395400,197427
La Ameca-14-08,0,0,1783.36,2094,2429.16,56000,4100,0,0,410222,204656
La Ameca-14-09,0,0,935.64,1608,610,44800,3280,0,0,180784,90028
La Ameca-14-10,0,0,289,700,0,0,0,0,0,0,0
La Ameca-14-11,0,0,270,810,500,42486,18810,0,0,0,0
La Ameca-14-12,0,0,0,300,0,43686,18810,0,0,0,0
La Ameca-15-01,0,0,0,0,0,12794,1265,0,0,0,0
La Ameca-15-02,0,0,0,0,0,0,0,0,0,0,0
La Ameca-15-03,17.05,26,22,0,108,25588,2530,0,0,65784,32892
La Ameca-15-04,243,0,753,586,1398.7,45144,20340,0,0,290724,144762
La Ameca-15-05,628,0,2875,2317,2624,78792,39000,0,0,487300,239165
La Ameca-15-06,330,0,1990,2925,2307,79251,16795,0,0,314124,154692
La Ameca-15-07,0,0,1700,1980,1753,88080,19660,0,0,389264,194332
La Ameca-15-08,0,0,2365,1853,2153,130650,24575,0,0,480740,240220
La Ameca-15-09,0,0,1602,1512,620,108456,19660,0,0,78300,39150
La Ameca-15-10,0,2394.6,43,280,12,51176,5060,0,0,0,0
La Ameca-15-11,0,923,0,220,0,12794,1265,0,0,0,0
La Ameca-15-12,0,0,0,0,0,0,0,0,0,0,0
La Ameca-16-01,0,0,0,0,0,66900,7800,0,0,0,0
La Ameca-16-02,3.5,401.5,0,400,12,53520,6240,0,0,93798,46899
La Ameca-16-03,82.11,1278,373,1212,525.72,53520,6240,0,0,368974,184487
La Ameca-16-04,29.46,25,258,12,193.72,13380,1560,0,0,96128,48064
La Ameca-16-05,0,0,0,0,0,0,0,0,0,0,0
La Ameca-16-06,0,0,0,0,0,0,0,0,0,0,0
La Ameca-16-07,0,0,0,0,0,0,0,0,0,0,0
La Ameca-16-08,0,0,0,0,0,0,0,0,0,0,0
La Ameca-16-09,0,0,0,0,0,0,0,0,0,0,0
La Ameca-16-10,0,1556.92,0,1760,0,53520,6240,0,0,0,0
La Ameca-16-11,0,780,0,650,0,53520,6240,0,0,0,0
La Ameca-16-12,0,0,0,0,0,53520,6240,0,0,0,0
La Ameca-17-01,0,0,0,200,0,72600,7125,0,0,0,0
La Ameca-17-02,12,6,0,0,15,58080,5700,0,0,0,0
La Ameca-17-03,45,23,46,2,446,58080,5700,0,0,295693,146984
La Ameca-17-04,340.06,243,1272,279,2745.85,68040,7665,0,0,480434,239902
La Ameca-17-05,610.61,709,1910,975,3032,68520,6240,0,0,396130,198065
La Ameca-17-06,515,1551,2460,1690,2195,68520,6240,0,0,389152,194576
La Ameca-17-07,200,3033.75,3139.6,1714,2366.62,85650,7800,0,0,459846,229923
La Ameca-17-08,0,2629,1420,1475,1840,68520,6240,0,0,118614,59307
La Ameca-17-09,0,1564,896,1445,750,68520,6240,0,0,0,0
La Ameca-17-10,0,1660,330,1860,40,75210,7260,0,0,0,0
La Ameca-17-11,0,1220,0,2332,0,58080,5700,0,0,0,0
La Ameca-17-12,0,379,0,770,0,58080,5700,0,0,0,0
La Ameca-18-01,0,0,0,765,0,53000,9640,100,0,0,0
La Ameca-18-02,0,0,0,83,0,53000,9640,100,0,0,0
La Ameca-18-03,12,31,120,0,182,53000,9640,100,0,148096.36,74048.18
La Ameca-18-04,224.65,237.82,1066.92,101,1671.99,70060,9095,50,0,487100,242605
La Ameca-18-05,633.22,577.49,1799.58,383,2200.13,58080,5700,0,0,408474.3,199438
La Ameca-18-06,692.35,1735.68,2489.47,609,2660.47,64480,6400,0,0,413258.95,201125
La Ameca-18-07,400.2,2701.91,3002.17,785,2815.56,108200,10625,0,0,469096.05,231612
La Ameca-18-08,75.8,2164.74,2072.75,685,2068.62,93280,8800,0,0,192381.86,95620.93
La Ameca-18-09,0,2130,582,1351,810,124800,12375,42,0,0,0
La Ameca-18-10,0,1751.28,234,965,0,67250,10065,96,0,0,0
La Ameca-18-11,0,1520,0,905,0,53000,9640,100,0,0,0
La Ameca-18-12,0,560,0,1857,0,66250,12050,125,0,0,0
La Ameca-19-01,0,130,0,320,0,50244,23400,100,40,0,0
La Ameca-19-02,6,6,0,60,4,50244,23400,100,40,0,0
La Ameca-19-03,16,18,38,23,251,62805,29250,125,50,208167.28,103921.14
La Ameca-19-04,129.11,322,1096,55,1520.9,52311,13080,100,10,364384.21,181673.03
La Ameca-19-05,446.82,509,1879.6,197,2430,60830,9640,100,0,434875.2,213231
La Ameca-19-06,739.14,1560,2423,1595,4510,87196,12350,125,0,541956.1,265433
La Ameca-19-07,210.22,1720,1693.74,1614,1494.4,81568,10740,100,0,412220.2,203732
La Ameca-19-08,0,1985,1922,1968,1381.14,92652,12830,100,0,383767.6,188678
La Ameca-19-09,0,2431.12,2740,2577,1703,124250,25100,125,0,91876,45938
La Ameca-19-10,0,2290,48,1322,0,62533,22730,100,30,0,0
La Ameca-19-11,0,1175,0,797,0,50244,23400,100,40,0,0
La Ameca-19-12,0,560,0,780,0,62805,29250,125,50,0,0
La Ameca-20-01,0,0,0,0,0,0,0,0,0,0,0
La Ameca-20-02,0,0,0,0,0,0,0,0,0,0,0
La Ameca-20-03,0,0,0,0,0,0,0,0,0,0,0
La Ameca-20-04,67.18,88,135,41,838.7,37683,17550,75,30,222530.95,110901.85
La Ameca-20-05,274.96,238.14,2303.99,328.39,2079.34,62805,29250,125,50,413866.88,204871.24
La Ameca-20-06,320.66,754.59,1624.08,470.13,1534.55,37683,17550,75,30,316630.24,155794.52
La Ameca-20-07,114.4,819.6,1243.76,389.38,974.79,25122,11700,50,20,208502.82,103393.41
La Ameca-20-08,19.2,2317.46,2101.81,2345.41,2260.37,62805,29250,125,50,519661.38,259686.69
La Ameca-20-09,0,0,0,0,0,0,0,0,0,0,0
La Ameca-20-10,0,0,0,0,0,0,0,0,0,0,0
La Ameca-20-11,0,0,0,0,0,0,0,0,0,0,0
La Ameca-20-12,0,0,0,0,0,0,0,0,0,0,0
La Ameca-21-01,0,0,0,0,0,0,0,0,0,0,0
La Ameca-21-02,0,0,0,0,0,0,0,0,0,0,0
La Ameca-21-03,0,0,0,0,0,0,0,0,0,0,0
La Ameca-21-04,0,0,0,0,0,0,0,0,0,0,0
La Ameca-21-05,0,0,0,0,0,0,0,0,0,0,0
La Ameca-21-06,0,0,0,0,0,0,0,0,0,0,0
La Ameca-21-07,0,0,0,0,0,0,0,0,0,0,0
La Ameca-21-08,0,0,0,0,0,0,0,0,0,0,0
La Ameca-21-09,0,0,0,0,0,0,0,0,0,0,0
La Ameca-21-10,0,0,0,0,0,0,0,0,0,0,0
La Ameca-21-11,0,0,0,0,0,0,0,0,0,0,0
La Ameca-21-12,0,0,0,0,0,0,0,0,0,0,0
La Ameca-22-01,0,0,0,0,0,0,0,0,0,0,0
La Ameca-22-02,0,0,0,0,0,0,0,0,0,0,0
La Ameca-22-03,0,0,0,0,0,0,0,0,0,0,0
La Ameca-22-04,0,0,0,0,0,0,0,0,0,0,0
La Ameca-22-05,0,0,0,0,0,0,0,0,0,0,0
