Name-Year-Month,Siembra,Fertilizacion,Cultivos,Limpias,Riegos,Plagas Controlables,Plagas No Controlables,Enfermedades Controlables,Enfermedades No Controlables,Total Cosechado,Total Molido
San Jose-10-11,0,0,0,0,0,0,0,0,0,0,0
San Jose-10-12,0,0,0,0,0,0,0,0,0,0,0
San Jose-11-01,0,0,0,0,0,0,0,0,0,0,0
San Jose-11-02,0,0,0,0,0,0,0,0,0,0,0
San Jose-11-03,0,0,0,0,0,0,0,0,0,0,0
San Jose-11-04,0,0,0,0,0,0,0,0,0,0,0
San Jose-11-05,0,0,0,0,0,0,0,0,0,0,0
San Jose-11-06,0,0,0,0,0,0,0,0,0,0,0
San Jose-11-07,0,0,0,0,0,0,0,0,0,0,0
San Jose-11-08,0,0,0,0,0,0,0,0,0,0,0
San Jose-11-09,0,0,0,0,0,0,0,0,0,0,0
San Jose-11-10,0,0,0,0,0,0,0,0,0,0,0
San Jose-11-11,0,0,0,0,0,0,0,0,0,0,0
San Jose-11-12,0,0,0,0,0,0,0,0,0,0,0
San Jose-12-01,0,0,0,0,0,0,0,0,0,0,0
San Jose-12-02,0,0,0,0,0,0,0,0,0,0,0
San Jose-12-03,0,0,0,0,0,0,0,0,0,0,0
San Jose-12-04,0,0,0,0,0,0,0,0,0,0,0
San Jose-12-05,0,0,0,0,0,0,0,0,0,0,0
San Jose-12-06,0,0,0,0,0,0,0,0,0,0,0
San Jose-12-07,0,0,0,0,0,0,0,0,0,0,0
San Jose-12-08,0,0,0,0,0,0,0,0,0,0,0
San Jose-12-09,0,0,0,0,0,0,0,0,0,0,0
San Jose-12-10,0,0,0,0,0,0,0,0,0,0,0
San Jose-12-11,0,0,0,0,0,0,0,0,0,0,0
San Jose-12-12,0,0,0,0,0,0,0,0,0,0,0
San Jose-13-01,0,0,0,0,0,0,0,0,0,0,0
San Jose-13-02,0,0,0,0,0,0,0,0,0,0,0
San Jose-13-03,0,0,0,0,0,0,0,0,0,0,0
San Jose-13-04,0,0,0,0,0,0,0,0,0,0,0
San Jose-13-05,0,0,0,0,0,0,0,0,0,0,0
San Jose-13-06,0,0,0,0,0,0,0,0,0,0,0
San Jose-13-07,0,0,0,0,0,0,0,0,0,0,0
San Jose-13-08,0,0,0,0,0,0,0,0,0,0,0
San Jose-13-09,0,0,0,0,0,0,0,0,0,0,0
San Jose-13-10,0,0,0,0,0,0,0,0,0,0,0
San Jose-13-11,0,0,0,0,0,0,0,0,0,0,0
San Jose-13-12,0,0,0,0,0,0,0,0,0,0,0
San Jose-14-01,0,0,0,0,0,0,0,0,0,0,0
San Jose-14-02,0,0,0,0,0,0,0,0,0,0,0
San Jose-14-03,0,0,0,0,0,0,0,0,0,0,0
San Jose-14-04,0,0,0,0,0,0,0,0,0,0,0
San Jose-14-05,0,0,0,0,0,0,0,0,0,0,0
