Name-Year-Month,Siembra,Fertilizacion,Cultivos,Limpias,Riegos,Plagas Controlables,Plagas No Controlables,Enfermedades Controlables,Enfermedades No Controlables,Total Cosechado,Total Molido
El Naranjo-10-11,811,811,0,2007,0,296117.25,42870.75,0,0,0,0
El Naranjo-10-12,1089,1089,0,1099,0,329232.75,45180.75,0,0,0,0
El Naranjo-11-01,0,8160,6314,6118.4,405.6,529396,61039,0,0,185190.26,130654.6
El Naranjo-11-02,0,0,0,0,0,0,0,0,0,0,0
El Naranjo-11-03,0,0,0,0,0,0,0,0,0,0,0
El Naranjo-11-04,0,1556,3339,11,426,413182.5,56655.5,0,0,291195.37,159157.46
El Naranjo-11-05,0,4364,6684,0,750,722823,102981,0,0,583363.25,301500.74
El Naranjo-11-06,0,3606,4618,795,666,630532,91777.5,0,0,403681.02,229777.12
El Naranjo-11-07,0,3861,5949,1417,1855,793276.25,99871.5,0,0,376597.58,216844.63
El Naranjo-11-08,0,3841,4664,238,579,768844,99842.5,0,0,386048.84,269143.36
El Naranjo-11-09,0,4861,5725,313,374,406203,50550,0,0,144207.26,110163.1
El Naranjo-11-10,0,4080,3157,3059.2,202.8,217890.5,26319.5,0,0,92595.13,65327.3
El Naranjo-11-11,0,12240,9471,9177.6,608.4,715255.75,80968.5,0,0,277785.39,195981.9
El Naranjo-11-12,0,16320,12628,12236.8,811.2,1031442,114768,0,0,370380.52,261309.2
El Naranjo-12-01,0,0,0,0,0,0,0,0,0,0,0
El Naranjo-12-02,0,0,0,0,0,0,0,0,0,0,0
El Naranjo-12-03,0,0,0,0,0,0,0,0,0,0,0
El Naranjo-12-04,0,0,0,0,0,0,0,0,0,0,0
El Naranjo-12-05,0,0,0,0,0,0,0,0,0,0,0
El Naranjo-12-06,0,0,0,0,0,0,0,0,0,0,0
El Naranjo-12-07,0,0,0,0,0,0,0,0,0,0,0
El Naranjo-12-08,0,0,0,0,0,0,0,0,0,0,0
El Naranjo-12-09,0,0,0,0,0,0,0,0,0,0,0
El Naranjo-12-10,0,0,0,0,0,0,0,0,0,0,0
El Naranjo-12-11,0,0,0,0,0,0,0,0,0,0,0
El Naranjo-12-12,0,0,0,0,0,0,0,0,0,0,0
El Naranjo-13-01,0,0,0,0,0,0,0,0,0,0,0
El Naranjo-13-02,0,0,0,0,0,0,0,0,0,0,0
El Naranjo-13-03,0,0,0,0,0,0,0,0,0,0,0
El Naranjo-13-04,0,0,0,0,0,0,0,0,0,0,0
El Naranjo-13-05,0,0,0,0,0,0,0,0,0,0,0
El Naranjo-13-06,0,0,0,0,0,0,0,0,0,0,0
El Naranjo-13-07,0,0,0,0,0,0,0,0,0,0,0
El Naranjo-13-08,0,0,0,0,0,0,0,0,0,0,0
El Naranjo-13-09,0,0,0,0,0,0,0,0,0,0,0
El Naranjo-13-10,0,0,0,0,0,0,0,0,0,0,0
El Naranjo-13-11,0,0,0,0,0,0,0,0,0,0,0
El Naranjo-13-12,0,0,0,0,0,0,0,0,0,0,0
El Naranjo-14-01,0,0,0,364.92,0,2227529.75,173900,0,0,0,0
El Naranjo-14-02,79.88,0,340.89,0,64.58,2366811,175200,0,0,436589.5,218294.75
El Naranjo-14-03,74.83,0,2515.06,22.95,176.85,3049458,219000,0,0,529126,264563
El Naranjo-14-04,0,0,533.54,1.57,4.67,634599,43800,0,0,108681.8,54340.9
El Naranjo-14-05,0,0,0,0,0,0,0,0,0,0,0
El Naranjo-14-06,0,0,586.38,129.25,169.72,1012058.5,65630,0,0,115849.08,64658.61
El Naranjo-14-07,0,0,2091.88,491.1,771.11,2958947,212760,0,0,431575.36,261396.28
El Naranjo-14-08,0,0,1476.44,1305.88,481.57,1339925.25,122250,0,0,289088.5,186336.67
El Naranjo-14-09,0,0,1921.03,3327.79,315.74,1949937,170000,0,0,234747.66,143651.92
El Naranjo-14-10,0,0,2891.11,5121.92,165.4,1949937,170000,0,0,0,0
El Naranjo-14-11,0,0,2941.52,3703.83,18.38,2437421.25,212500,0,0,0,0
El Naranjo-14-12,0,0,10.31,2872.63,4.26,1949937,170000,0,0,0,0
El Naranjo-15-01,0,0,0,0,0,0,0,0,0,0,0
El Naranjo-15-02,0,0,0,0,0,0,0,0,0,0,0
El Naranjo-15-03,0,0,0,0,0,0,0,0,0,0,0
El Naranjo-15-04,0,0,1577.29,278.15,130.16,1885967.75,131400,0,0,262588.12,131294.06
El Naranjo-15-05,0,0,3076.23,871.67,399.53,3305687.75,219000,0,0,600554.26,300277.13
El Naranjo-15-06,0,0,2195.23,1070.24,285.65,5402413.5,175200,0,0,330769.18,165384.59
El Naranjo-15-07,0,0,2129.36,2882,1224.09,7488,2276.5,0,0,430412.87,215206.43
El Naranjo-15-08,0,0,836.53,2578.55,191.35,6090,2565,0,0,276812.86,138406.43
El Naranjo-15-09,0,0,1479.94,5648.37,64.69,8760,3792,0,0,263234.04,131617.02
El Naranjo-15-10,0,0,0,0,0,0,0,0,0,0,0
El Naranjo-15-11,0,0,0,0,0,0,0,0,0,0,0
El Naranjo-15-12,0,0,0,0,0,0,0,0,0,0,0
El Naranjo-16-01,2498.47,2520.89,0,2618.45,0,36531,16426,0,0,27483.17,0
El Naranjo-16-02,269.51,244.85,0,254.27,0,29740,13700,0,0,216375.23,106657.46
El Naranjo-16-03,0,93.38,1966.45,0,30.72,30068,14293,0,0,491197.34,245598.67
El Naranjo-16-04,1.95,33.52,533.16,8.29,33.93,7569,3641,0,0,103836.76,51918.38
El Naranjo-16-05,0,0,0,0,0,0,0,0,0,0,0
El Naranjo-16-06,0,0,0,0,0,0,0,0,0,0,0
El Naranjo-16-07,0,0,0,0,0,0,0,0,0,0,0
El Naranjo-16-08,0,0,0,0,0,0,0,0,0,0,0
El Naranjo-16-09,0,0,0,0,0,0,0,0,0,0,0
El Naranjo-16-10,0,12051.37,2966.93,9113.84,199.86,24225,10890,0,0,0,0
El Naranjo-16-11,49.14,3288.72,760.09,4086.08,28.86,26290,11460,0,0,540.54,0
El Naranjo-16-12,1028.31,2140.35,10.93,3102.64,52.54,28565,12302,0,0,11311.41,0
El Naranjo-17-01,1313.67,1338.02,0,1453.01,0,44180,28015,0,0,14450.37,0
El Naranjo-17-02,1239.1,1236.88,8.6,1214.19,0,35130,24065,0,0,211674.68,99022.29
El Naranjo-17-03,33.59,259.15,2059.56,30.78,46.01,35755,25253,0,0,529955.11,264792.81
El Naranjo-17-04,2.4,1610.49,3494.49,16.58,372.35,39983,21609,0,0,653583.44,326791.72
El Naranjo-17-05,0,3070.25,3359.72,32.59,0,32020,15663,0,0,512660.84,256330.42
El Naranjo-17-06,0,3747.9,3197.16,281.49,0,32555,16228,0,0,498242.72,249121.36
El Naranjo-17-07,0,6863.63,4121.45,380.19,0,41115,21050,0,0,572626.36,286313.18
El Naranjo-17-08,0,6308.87,2647.09,594.86,0,33500,17605,0,0,431895.28,215947.64
El Naranjo-17-09,0,5200.96,2005.65,969.95,0,34210,18385,0,0,341214.55,170607.28
El Naranjo-17-10,0,10451.34,3984.78,4840.43,0,43355,24263,0,0,0,0
El Naranjo-17-11,41.89,4829.74,63.11,7451.1,0,35010,20005,0,0,460.79,0
El Naranjo-17-12,1295.95,2528.39,46.39,3084.81,0,35170,20965,0,0,14255.45,0
El Naranjo-18-01,1702.09,2107.7,40.32,1814.49,14.18,107560.24,56286.48,0,0,11770.77,0
El Naranjo-18-02,2236.33,2306,0,2311.13,0,107405.24,59026.48,0,0,24599.63,0
El Naranjo-18-03,1107.44,186.65,732.79,184.8,0,108315.99,60966.48,0,0,538595.1,263134.25
El Naranjo-18-04,113.24,922.37,3730.95,78.41,449.17,83082.62,52458.24,0,0,679304.36,338884.6
El Naranjo-18-05,0,1704.69,3663.43,7.96,861.62,38500,30770,0,0,487673.5,243836.75
El Naranjo-18-06,0,2570.86,3728.98,371,797.49,39190,31090,0,0,475441.2,237720.6
El Naranjo-18-07,0,2742.28,4007.5,2211.05,655.61,50660,39660,0,0,505419.9,252709.95
El Naranjo-18-08,0,6222.52,2696.9,4288.66,455.85,41490,32990,0,0,367438.44,183719.22
El Naranjo-18-09,18.36,5590.02,3432.38,7453.4,144.4,53090,42725,0,0,356955.86,178477.93
El Naranjo-18-10,0,2387.36,1008.78,2612.24,36.4,42925,35510,0,0,0,0
El Naranjo-18-11,0,4161.32,21.82,6514.73,17.77,75032.62,43864.24,0,0,0,0
El Naranjo-18-12,551.93,4767.32,389.58,4542.34,7.68,133791.55,67863.6,0,0,0,0
El Naranjo-19-01,1977.9,3134.03,0,2573.96,0,73506,86852,0,0,21756.9,0
El Naranjo-19-02,2000.36,2874.39,0,2161.08,0,73672,87069,0,0,22003.96,0
El Naranjo-19-03,424.67,430.91,0,424.36,0,92388,109156,0,0,258837.13,127082.88
El Naranjo-19-04,0,211.37,2968.79,0,132.11,101742.68,68643.86,0,0,554085.64,276825.68
El Naranjo-19-05,0,2206.68,3998.51,21.91,1231.66,113232.24,65245.73,0,0,558062.26,278741.61
El Naranjo-19-06,7.8,2579.58,3795.88,137.25,621.57,144626.55,84889.1,0,0,652088.08,325840.43
El Naranjo-19-07,9.12,1609.94,2036.03,485.76,387.3,118730.99,71488.23,0,0,482261.32,246892.38
El Naranjo-19-08,0,1024.94,1700.36,814.06,65.26,121348.49,74499.98,0,0,311050.19,216861.95
El Naranjo-19-09,0,7995.91,4561.41,13168.28,284.75,153860.05,96320.85,0,0,0,0
El Naranjo-19-10,0,6080.48,1125.41,12911.16,85.57,78556.31,71569.12,0,0,0,0
El Naranjo-19-11,0,2655.2,229.87,4750.81,0,64200,72380,0,0,0,0
El Naranjo-19-12,0,2174.79,103.34,2379.88,87.72,85366,104813,0,0,0,0
El Naranjo-20-01,1912.71,309.17,0,318.31,0,89423,67917,0,0,24865.23,0
El Naranjo-20-02,1478.01,575.7,0,580.94,0,119522,86971,0,0,97296.75,55763.21
El Naranjo-20-03,0,0,490.2,0,52.36,150004,109280,0,0,407514.04,327488.39
El Naranjo-20-04,12.29,83.58,1703.93,29.7,121.76,55930,65834,0,0,378198.11,189031.46
El Naranjo-20-05,0,2071.17,5508.66,3.08,873.99,94341,110748,0,0,627610.12,313805.06
El Naranjo-20-06,0,804.25,2882.16,21.69,408.45,78109,89841,0,0,440684.74,220342.37
El Naranjo-20-07,0,302.9,879.06,0,183.95,20490,22615,0,0,0,0
El Naranjo-20-08,0,5311.08,6155.34,3487.71,376.49,100451,114881,0,0,0,0
El Naranjo-20-09,0,5007.12,1183.74,6756.35,291.01,79386,92862,0,0,0,0
El Naranjo-20-10,0,6102.84,577.75,12447.53,38.8,20233,23286,0,0,0,0
El Naranjo-20-11,770.05,10787.35,438.41,9111.73,141.52,30655,23511,0,0,0,0
El Naranjo-20-12,698.04,1473.45,41.03,1189.11,0,149358,116814,0,0,9074.52,0
El Naranjo-21-01,2619.64,2524.91,74.05,2360.41,474.6,796,630.96,0,0,34055.32,0
El Naranjo-21-02,1823.29,1565.84,0,1451.46,0,590,600,0,0,23702.77,0
El Naranjo-21-03,65.4,55,339.29,128.48,62.34,406.5,736,0,0,481482.9,240559.31
El Naranjo-21-04,0,285.36,1972.25,0,234.46,60356.75,44030.75,0,0,424372.92,274587.83
El Naranjo-21-05,0,135.58,2933.6,17.5,178.33,480,480.55,0,0,500342.26,352134.44
El Naranjo-21-06,0,280.5,2357.75,0,218.23,698,752,0,0,430522.44,264057.59
