Name-Year-Month,Siembra,Fertilizacion,Cultivos,Limpias,Riegos,Plagas Controlables,Plagas No Controlables,Enfermedades Controlables,Enfermedades No Controlables,Total Cosechado,Total Molido
San Pedro-10-11,75.0,17.5,3.5,576.46,0.0,4284.0,26899.08,0.0,0.0,750.0,0.0
San Pedro-10-12,46.19,17.75,0.0,103.5,0.0,5712.0,35865.44,0.0,0.0,461.9,0.0
San Pedro-11-01,0,0,0,0,0,0,0,0,0,0,0
San Pedro-11-02,0,0,0,0,0,0,0,0,0,0,0
San Pedro-11-03,0,0,0,0,0,0,0,0,0,0,0
San Pedro-11-04,346.86,43.95,84.0,402.45,0.0,4284.0,28399.08,0.0,0.0,73468.6,35321.35
San Pedro-11-05,279.51,1118.29,1489.85,704.86,0.0,7140.0,47331.8,0.0,0.0,424697.76,211049.36
San Pedro-11-06,30.95,2124.11,2827.02,703.56,0.0,5712.0,37865.44,0.0,0.0,395122.08,212068.01
San Pedro-11-07,7.0,1251.24,1894.38,459.5,0.0,7140.0,47331.8,0.0,0.0,319970.16,171375.94
San Pedro-11-08,48.5,3753.37,5284.18,6752.2,0.0,5712.0,37865.44,0.0,0.0,0,0
San Pedro-11-09,23.0,748.73,425.22,897.64,0.0,5712.0,37865.44,0.0,0.0,0,0
San Pedro-11-10,0.0,2509.35,450.27,1414.63,0.0,7140.0,47331.8,0.0,0.0,0,0
San Pedro-11-11,0.0,136.15,1.0,375.75,0.0,525.0,312.45,0.0,0.0,0,0
San Pedro-11-12,0,0,0,0,0,0,0,0,0,0,0
San Pedro-12-01,0,0,0,0,0,0,0,0,0,0,0
San Pedro-12-02,0,0,0,0,0,0,0,0,0,0,0
San Pedro-12-03,0,0,0,0,0,0,0,0,0,0,0
San Pedro-12-04,0,0,0,0,0,0,0,0,0,0,0
San Pedro-12-05,0,0,0,0,0,0,0,0,0,0,0
San Pedro-12-06,50.35,613.38,848.51,447.92,0.0,525.0,312.45,0.0,0.0,77573.8,41369.16
San Pedro-12-07,0,0,0,0,0,0,0,0,0,0,0
San Pedro-12-08,0,0,0,0,0,0,0,0,0,0,0
San Pedro-12-09,12.3,3245.37,2700.3,4486.33,0.0,2100.0,1249.8,0.0,0.0,22441.99,10300.65
San Pedro-12-10,0,0,0,0,0,0,0,0,0,0,0
San Pedro-12-11,0,0,0,0,0,0,0,0,0,0,0
