Name-Year-Month,Siembra,Fertilizacion,Cultivos,Limpias,Riegos,Plagas Controlables,Plagas No Controlables,Enfermedades Controlables,Enfermedades No Controlables,Total Cosechado,Total Molido
Pucte-10-11,0,0,0,0,0,92535.0,0.0,0.0,0.0,0,0
Pucte-10-12,0,0,0,0,0,123380.0,0.0,0.0,0.0,0.0,0.0
Pucte-11-01,0.0,0.0,0.0,44.0,0.0,61690.0,0.0,0.0,0.0,0,0
Pucte-11-02,0,0,0,0,0,0,0,0,0,0,0
Pucte-11-03,0,0,0,0,0,0,0,0,0,0,0
Pucte-11-04,0.0,0.0,2100.0,0.0,0.0,92535.0,0.0,0.0,0.0,347454.78,173727.39
Pucte-11-05,0.0,0.0,2922.0,0.0,22.0,154225.0,0.0,0.0,0.0,537796.0,268898.0
Pucte-11-06,0.0,963.0,3905.0,1384.0,44.0,123380.0,0.0,0.0,0.0,370480.7,165215.94
Pucte-11-07,0.0,4802.0,4438.0,3237.0,0.0,154225.0,0.0,0.0,0.0,588673.46,294336.73
Pucte-11-08,0.0,3183.0,4573.0,1531.0,232.0,123380.0,0.0,0.0,0.0,268192.66,134096.33
Pucte-11-09,0.0,168.0,1627.0,2835.0,34.0,123380.0,0.0,0.0,0.0,0,0
Pucte-11-10,0.0,162.0,234.0,2513.0,0.0,154225.0,0.0,0.0,0.0,0,0
Pucte-11-11,0.0,634.0,0.0,1397.0,0.0,123380.0,0.0,0.0,0.0,0,0
Pucte-11-12,0.0,0.0,0.0,88.0,0.0,123380.0,0.0,0.0,0.0,0,0
Pucte-12-01,1967.6,1871.9,0.0,1855.25,0.0,415000.0,52500.0,0.0,0.0,126208.38,63104.19
Pucte-12-02,660.3,620.05,0.0,612.75,0.0,332000.0,42000.0,0.0,0.0,446096.04,223048.02
Pucte-12-03,475.85,0.0,633.45,561.55,0.0,74664.0,27416.0,0.0,0.0,461462.84,230731.42
Pucte-12-04,3.0,0.0,723.5,3.0,0.0,18666.0,6854.0,0.0,0.0,135404.08,67702.04
Pucte-12-05,0,0,0,0,0,0,0,0,0,0,0
Pucte-12-06,0,0,0,0,0,0,0,0,0,0,0
Pucte-12-07,0.0,2618.0,2325.0,1048.0,468.0,0,0,0,0,357388.72,178694.36
Pucte-12-08,0.0,1780.0,1862.0,1450.0,168.0,0,0,0,0,234579.48,117289.74
Pucte-12-09,0,0,0,0,0,0,0,0,0,0,0
Pucte-12-10,0.0,275.0,544.0,3403.0,0.0,332000.0,42000.0,0.0,0.0,0,0
Pucte-12-11,376.0,334.0,0.0,2217.0,0.0,332000.0,42000.0,0.0,0.0,0,0
Pucte-12-12,1670.0,1740.0,0.0,1197.0,0.0,415000.0,52500.0,0.0,0.0,0,0
Pucte-13-01,794.64,0.0,0.0,768.4,0.0,162400.0,20000.0,0.0,0.0,0,0
Pucte-13-02,253.15,0.0,0.0,251.75,0.0,121800.0,15000.0,0.0,0.0,98707.18,49353.59
Pucte-13-03,192.4,0.0,0.0,190.4,0.0,162400.0,20000.0,0.0,0.0,341060.54,170530.27
Pucte-13-04,192.1,0.0,1233.0,212.7,0.0,96598.0,25562.0,0.0,0.0,384982.1,192491.05
Pucte-13-05,12.0,0.0,2151.2,172.7,0.0,74664.0,27416.0,0.0,0.0,474480.26,237240.13
Pucte-13-06,15.0,0.0,3840.1,1650.3,0.0,93330.0,34270.0,0.0,0.0,637996.06,318998.03
Pucte-13-07,12.0,0.0,2898.1,1131.9,0.0,74664.0,27416.0,0.0,0.0,451965.16,225982.58
Pucte-13-08,12.0,0.0,2563.15,676.95,23.0,74664.0,27416.0,0.0,0.0,458772.02,229386.01
Pucte-13-09,15.0,0.0,1759.0,1439.65,36.3,93330.0,34270.0,0.0,0.0,257595.08,128797.54
Pucte-13-10,0.0,0.0,850.55,1766.85,0.0,162400.0,20000.0,0.0,0.0,0,0
Pucte-13-11,0.0,0.0,367.8,1388.6,0.0,162400.0,20000.0,0.0,0.0,0,0
Pucte-13-12,210.9,0.0,6.5,256.65,0.0,162400.0,20000.0,0.0,0.0,0,0
Pucte-14-01,221.09,0.0,68.98,171.22,0.0,162400.0,20000.0,0.0,0.0,0,0
Pucte-14-02,569.77,0.0,51.95,507.17,0.0,162400.0,20000.0,0.0,0.0,0,0
Pucte-14-03,187.86,0.0,0.0,133.4,0.0,203000.0,25000.0,0.0,0.0,354803.76,177401.88
Pucte-14-04,18.0,0.0,0.0,18.0,0.0,162400.0,20000.0,0.0,0.0,430817.84,215408.92
Pucte-14-05,257.9,0.0,0.0,76.6,0.0,162400.0,20000.0,0.0,0.0,504907.74,252453.87
Pucte-14-06,227.4,0.0,2904.43,90.19,0.0,203000.0,25000.0,0.0,0.0,555712.18,277856.09
Pucte-14-07,0.0,0.0,2492.0,22.63,0.0,162400.0,20000.0,0.0,0.0,459949.6,230075.36
Pucte-14-08,0.0,0.0,1848.51,982.46,0.0,121800.0,15000.0,0.0,0.0,261029.34,130514.67
Pucte-14-09,0.0,0.0,614.14,634.28,0.0,81200.0,10000.0,0.0,0.0,69129.3,34773.6
Pucte-14-10,0.0,0.0,2127.32,11384.98,0.0,162400.0,20000.0,0.0,0.0,0,0
Pucte-14-11,111.94,0.0,2542.68,9431.08,0.0,162400.0,20000.0,0.0,0.0,0,0
Pucte-14-12,432.2,0.0,463.69,1626.12,75.76,162400.0,20000.0,0.0,0.0,0,0
Pucte-15-01,0,0,0,0,0,0,0,0,0,0,0
Pucte-15-02,0,0,0,0,0,0,0,0,0,0,0
Pucte-15-03,0,0,0,0,0,0,0,0,0,0,0
Pucte-15-04,0,0,0,0,0,121800.0,15000.0,0.0,0.0,287231.98,143615.99
Pucte-15-05,0.0,0.0,526.8,35.29,0.0,203000.0,25000.0,0.0,0.0,580092.62,290046.31
Pucte-15-06,0.0,0.0,783.46,41.24,0.0,121800.0,15000.0,0.0,0.0,384044.54,192022.27
Pucte-15-07,0.0,0.0,1429.83,279.62,0.0,162400.0,20000.0,0.0,0.0,363230.58,181615.29
Pucte-15-08,0.0,0.0,1926.2,785.13,0.0,203000.0,25000.0,0.0,0.0,505646.18,252823.09
Pucte-15-09,0.0,0.0,815.8,536.75,0.0,121800.0,15000.0,0.0,0.0,119625.76,59812.88
Pucte-15-10,0.0,4996.71,4657.88,10263.58,0.0,120000.0,15000.0,0.0,0.0,0,0
Pucte-15-11,82.8,4690.2,4348.83,6380.49,0.0,200000.0,25000.0,0.0,0.0,0,0
Pucte-15-12,370.62,705.34,266.28,1095.5,0.0,160000.0,20000.0,0.0,0.0,0,0
Pucte-16-01,1275.64,1143.11,0.0,1057.67,10.0,180000.0,15000.0,0.0,0.0,0,0
Pucte-16-02,1578.01,1399.8,0.0,1520.9,4.0,144000.0,12000.0,0.0,0.0,0,0
Pucte-16-03,449.17,436.22,432.4,398.75,0.0,144000.0,12000.0,0.0,0.0,299151.3,149575.65
Pucte-16-04,175.79,0.0,249.0,1138.11,0.0,36000.0,3000.0,0.0,0.0,100379.26,50189.63
Pucte-16-05,0,0,0,0,0,0,0,0,0,0,0
Pucte-16-06,0,0,0,0,0,0,0,0,0,0,0
Pucte-16-07,0,0,0,0,0,0,0,0,0,0,0
Pucte-16-08,0,0,0,0,0,0,0,0,0,0,0
Pucte-16-09,0,0,0,0,0,0,0,0,0,0,0
Pucte-16-10,0.0,4705.8,4131.12,10346.46,65.0,144000.0,12000.0,0.0,0.0,0,0
Pucte-16-11,43.81,1909.5,1382.8,1952.03,34.69,144000.0,12000.0,0.0,0.0,0,0
Pucte-16-12,699.54,420.82,0.0,621.96,0.0,144000.0,12000.0,0.0,0.0,0,0
Pucte-17-01,1557.48,1129.4,0.0,1734.71,0.0,180000.0,15000.0,0.0,0.0,0,0
Pucte-17-02,1301.07,1405.71,523.16,1607.48,0.0,144000.0,12000.0,0.0,0.0,0,0
Pucte-17-03,1185.88,1262.1,1073.64,1628.1,0.0,144000.0,12000.0,0.0,0.0,0,0
