Name-Year-Month,Siembra,Fertilizacion,Cultivos,Limpias,Riegos,Plagas Controlables,Plagas No Controlables,Enfermedades Controlables,Enfermedades No Controlables,Total Cosechado,Total Molido
St Rosalia-10-11,568.3,712.6,44.8,2358.3,0.0,11400.0,27000.0,0.0,0.0,0,0
St Rosalia-10-12,126.7,116.7,154.1,1511.35,0.0,16020.58,35747.47,0.0,0.0,0,0
St Rosalia-11-01,106.04,197.93,0.0,1000.0,0.0,13000.0,23148.58,0.0,0.0,0,0
St Rosalia-11-02,0,0,0,0,0,0,0,0,0,0,0
St Rosalia-11-03,0,0,0,0,0,0,0,0,0,0,0
St Rosalia-11-04,506.91,194.0,137.25,187.31,0.0,11400.0,27000.0,0.0,0.0,0,0
St Rosalia-11-05,311.1,338.04,45.0,434.56,0.0,19000.0,45000.0,0.0,0.0,0,0
St Rosalia-11-06,0,0,0,0,0,0,0,0,0,0,0
St Rosalia-11-07,0.0,872.0,1395.0,197.48,0.0,15200.0,36000.0,0.0,0.0,190408.0,108925.3
St Rosalia-11-08,0.0,1330.12,962.0,238.0,0.0,11400.0,27000.0,0.0,0.0,165920.0,93278.51
St Rosalia-11-09,0.0,2324.0,2047.0,559.0,0.0,15200.0,36000.0,0.0,0.0,263463.42,135519.65
St Rosalia-11-10,415.05,1749.5,1307.0,588.1,0.0,15200.0,36000.0,0.0,0.0,0,0
St Rosalia-11-11,329.24,1102.51,400.0,1715.92,0.0,7600.0,18000.0,0.0,0.0,0,0
St Rosalia-11-12,221.83,603.8,115.0,925.0,0.0,26000.0,46297.16,0.0,0.0,0,0
St Rosalia-12-01,319.25,595.0,0.0,606.0,0.0,22235.0,63160.0,0.0,0.0,0,0
St Rosalia-12-02,1044.1,0.0,0.0,666.05,0.0,17788.0,50528.0,0.0,0.0,0,0
St Rosalia-12-03,0,0,0,0,0,0,0,0,0,0,0
St Rosalia-12-04,30.68,0.0,307.71,18.71,0.0,4447.0,12632.0,0.0,0.0,51108.6,21963.0
St Rosalia-12-05,0,0,0,0,0,0,0,0,0,0,0
St Rosalia-12-06,61.37,1013.0,581.0,840.0,0.0,13000.0,23148.58,0.0,0.0,116062.0,67410.46
St Rosalia-12-07,0.0,1218.0,1177.0,976.0,0.0,19500.0,34722.87,0.0,0.0,168274.0,98378.69
St Rosalia-12-08,0.0,1607.0,1729.0,1329.0,0.0,26000.0,46297.16,0.0,0.0,257726.0,138387.27
St Rosalia-12-09,0.0,399.0,439.0,352.0,0.0,13000.0,23148.58,0.0,0.0,70449.61,36197.18
St Rosalia-12-10,0.0,1865.0,1029.0,842.0,0.0,4447.0,12632.0,0.0,0.0,0,0
St Rosalia-12-11,0.0,603.0,68.0,79.0,0.0,17788.0,50528.0,0.0,0.0,0,0
St Rosalia-12-12,510.0,95.0,17.0,187.0,0.0,8894.0,25264.0,0.0,0.0,0,0
St Rosalia-13-01,200.66,0.0,35.0,200.19,0.0,0,0,0,0,0,0
St Rosalia-13-02,42.7,0.0,69.1,48.5,0.0,0,0,0,0,0,0
St Rosalia-13-03,37.51,0.0,19.7,31.73,0.0,0,0,0,0,0,0
St Rosalia-13-04,67.87,0.0,604.84,422.35,0.0,13341.0,37896.0,0.0,0.0,125868.0,64962.68
St Rosalia-13-05,0.0,0.0,1164.28,1399.78,0.0,17788.0,50528.0,0.0,0.0,245314.56,136259.29
St Rosalia-13-06,0.0,0.0,2085.53,1951.66,0.0,22235.0,63160.0,0.0,0.0,330448.0,207471.92
St Rosalia-13-07,0.0,0.0,1899.93,3974.58,0.0,17788.0,50528.0,0.0,0.0,273902.0,151835.27
St Rosalia-13-08,0.0,0.0,1626.28,3299.79,0.0,13341.0,37896.0,0.0,0.0,181624.0,92622.94
St Rosalia-13-09,0.0,0.0,1340.21,2944.95,0.0,17788.0,50528.0,0.0,0.0,0,0
St Rosalia-13-10,100.5,0.0,73.99,526.73,0.0,0,0,0,0,0,0
St Rosalia-13-11,127.0,0.0,0.0,748.41,0.0,0,0,0,0,0,0
St Rosalia-13-12,281.0,0.0,49.48,178.26,0.0,0,0,0,0,0,0
St Rosalia-14-01,13.98,0.0,97.9,597.4,0.0,20080.0,48580.0,0.0,0.0,0,0
St Rosalia-14-02,0.0,0.0,75.3,0.0,0.0,20080.0,48580.0,0.0,0.0,0,0
St Rosalia-14-03,81.11,0.0,91.6,100.09,0.0,25100.0,60725.0,0.0,0.0,0,0
St Rosalia-14-04,0.0,0.0,0.0,0.0,0.0,5020.0,12145.0,0.0,0.0,94072.0,46883.77
St Rosalia-14-05,0.0,0.0,289.31,162.06,0.0,0,0,0,0,240777.3,139899.05
St Rosalia-14-06,0.0,0.0,1718.46,1925.24,0.0,0,0,0,0,352392.0,207311.87
St Rosalia-14-07,0.0,0.0,2017.0,2411.11,0.0,0,0,0,0,316382.0,176602.11
