Name-Year-Month,Siembra,Fertilizacion,Cultivos,Limpias,Riegos,Plagas Controlables,Plagas No Controlables,Enfermedades Controlables,Enfermedades No Controlables,Total Cosechado,Total Molido
Eldorado-10-11,0,0,0,0,0,0,0,0,0,0,0
Eldorado-10-12,0.0,9.8,9.8,11.4,0.0,4790.0,4070.0,0.0,0.0,0,0
Eldorado-11-01,0,0,0,0,0,0,0,0,0,0,0
Eldorado-11-02,0,0,0,0,0,0,0,0,0,0,0
Eldorado-11-03,0,0,0,0,0,0,0,0,0,0,0
Eldorado-11-04,0.0,197.9,238.1,387.53,242.5,0,0,0,0,0,0
Eldorado-11-05,0.0,192.15,172.0,290.93,211.0,0,0,0,0,0,0
Eldorado-11-06,0.0,483.6,492.7,405.63,484.0,0,0,0,0,0,0
Eldorado-11-07,0,0,0,0,0,0,0,0,0,0,0
Eldorado-11-08,0,0,0,0,0,0,0,0,0,0,0
Eldorado-11-09,0,0,0,0,0,0,0,0,0,0,0
Eldorado-11-10,0,0,0,0,0,0,0,0,0,0,0
Eldorado-11-11,0,0,0,0,0,0,0,0,0,0,0
Eldorado-11-12,0,0,0,0,0,0,0,0,0,0,0
Eldorado-12-01,0,0,0,0,0,0,0,0,0,0,0
Eldorado-12-02,0,0,0,0,0,0,0,0,0,0,0
Eldorado-12-03,0,0,0,0,0,0,0,0,0,0,0
Eldorado-12-04,0,0,0,0,0,0,0,0,0,0,0
Eldorado-12-05,0,0,0,0,0,0,0,0,0,0,0
Eldorado-12-06,0.0,251.1,295.0,135.0,152.3,0,0,0,0,50851.52,25425.76
Eldorado-12-07,0,0,0,0,0,0,0,0,0,0,0
Eldorado-12-08,0,0,0,0,0,0,0,0,0,0,0
Eldorado-12-09,0.0,180.7,228.5,334.0,223.5,0,0,0,0,0.0,0.0
Eldorado-12-10,0,0,0,0,0,0,0,0,0,0,0
Eldorado-12-11,0,0,0,0,0,0,0,0,0,0,0
Eldorado-12-12,0,0,0,0,0,0,0,0,0,0,0
Eldorado-13-01,0,0,0,0,0,0,0,0,0,0,0
Eldorado-13-02,0,0,0,0,0,0,0,0,0,0,0
Eldorado-13-03,0,0,0,0,0,0,0,0,0,0,0
Eldorado-13-04,0,0,0,0,0,0,0,0,0,0,0
Eldorado-13-05,0,0,0,0,0,0,0,0,0,0,0
Eldorado-13-06,0.0,0.0,43.9,41.1,65.9,0,0,0,0,52546.0,26273.0
Eldorado-13-07,0,0,0,0,0,0,0,0,0,0,0
Eldorado-13-08,0,0,0,0,0,0,0,0,0,0,0
Eldorado-13-09,0,0,0,0,0,0,0,0,0,0,0
Eldorado-13-10,0,0,0,0,0,0,0,0,0,0,0
Eldorado-13-11,0,0,0,0,0,0,0,0,0,0,0
Eldorado-13-12,0.0,4.5,4.5,12.6,9.5,0,0,0,0,137684.52,68842.26
Eldorado-14-01,0,0,0,0,0,0,0,0,0,0,0
Eldorado-14-02,0.0,36.0,36.0,32.0,416.0,0,0,0,0,0,0
Eldorado-14-03,0.0,0.0,2696.7,2287.2,1993.0,0,0,0,0,0,0
Eldorado-14-04,0,0,0,0,0,0,0,0,0,0,0
Eldorado-14-05,0,0,0,0,0,0,0,0,0,0,0
Eldorado-14-06,0.0,250.0,81.0,79.0,336.0,0,0,0,0,112004.22,56002.11
Eldorado-14-07,0.0,180.0,183.0,18.0,286.0,0,0,0,0,104645.9,52322.95
Eldorado-14-08,0.0,185.0,141.0,56.0,473.0,0,0,0,0,0,0
Eldorado-14-09,0.0,152.0,107.0,108.0,457.0,0,0,0,0,0,0
Eldorado-14-10,21.0,13.0,2.0,52.0,218.0,0,0,0,0,0,0
Eldorado-14-11,0,0,0,0,0,0,0,0,0,0,0
Eldorado-14-12,0,0,0,0,0,0,0,0,0,0,0
Eldorado-15-01,0.0,16.0,89.0,101.0,104.0,7324.0,2091.2,1902.8,7326.8,0,0
Eldorado-15-02,0.0,171.0,205.0,80.0,375.0,7324.0,2091.2,1902.8,7326.8,0,0
Eldorado-15-03,0.0,65.0,89.0,76.0,493.0,5542.0,7249.6,1902.8,7326.8,0,0
Eldorado-15-04,0.0,21.0,39.0,61.0,52.0,940.0,3102.0,475.7,1831.7,0,0
Eldorado-15-05,0.0,0.0,209.0,133.0,1012.0,8908.0,7933.6,940.0,7078.0,158285.2,79142.6
Eldorado-15-06,0.0,0.0,52.0,59.0,251.0,14202.0,12185.4,1410.0,10617.0,171214.84,85607.42
Eldorado-15-07,0.0,0.0,135.0,75.0,816.0,9468.0,8123.6,940.0,7078.0,25809.28,12904.64
Eldorado-15-08,0.0,0.0,570.0,184.0,1336.0,23670.0,20309.0,2350.0,17695.0,0,0
Eldorado-15-09,0.0,0.0,131.0,31.0,473.0,4734.0,4061.8,470.0,3539.0,0,0
Eldorado-15-10,0.0,56.0,34.0,150.0,739.0,7324.0,2091.2,1902.8,7326.8,0,0
Eldorado-15-11,0.0,0.0,1610.0,275.0,1061.0,9155.0,2614.0,2378.5,9158.5,0,0
Eldorado-15-12,0.0,0.0,49.0,47.0,486.0,7324.0,2091.2,1902.8,7326.8,0,0
Eldorado-16-01,448.0,46.0,86.0,557.0,1258.0,10200.0,19310.0,0.0,0.0,0,0
Eldorado-16-02,346.0,674.0,838.0,1446.0,1420.0,8160.0,15448.0,0.0,0.0,0,0
Eldorado-16-03,0.0,195.0,571.0,591.0,741.0,8160.0,15448.0,0.0,0.0,0,0
Eldorado-16-04,0.0,80.0,140.0,55.0,398.0,4860.0,13168.0,1427.1,5495.1,0,0
Eldorado-16-05,0.0,7.0,88.0,33.0,135.0,4700.0,15510.0,2378.5,9158.5,0.0,0.0
Eldorado-16-06,0.0,23.0,93.0,31.0,221.0,940.0,3102.0,475.7,1831.7,58440.0,29220.0
Eldorado-16-07,0.0,444.0,607.0,116.0,1095.0,3760.0,12408.0,1902.8,7326.8,94745.58,47372.79
Eldorado-16-08,0.0,1825.0,1433.0,937.0,1402.0,3760.0,12408.0,1902.8,7326.8,0,0
Eldorado-16-09,0.0,674.0,1580.0,808.0,1427.0,940.0,3102.0,475.7,1831.7,0,0
Eldorado-16-10,285.0,229.0,886.0,1313.0,2067.0,4080.0,7724.0,0.0,0.0,0,0
Eldorado-16-11,463.0,295.0,186.0,579.0,401.0,8160.0,15448.0,0.0,0.0,0,0
Eldorado-16-12,855.0,882.0,936.0,293.0,1208.0,8160.0,15448.0,0.0,0.0,0,0
Eldorado-17-01,511.4,497.0,312.0,606.0,829.0,0.0,22778.2,0.0,0.0,0,0
Eldorado-17-02,172.0,808.0,1764.0,1675.0,1251.0,0.0,18222.56,0.0,0.0,0,0
Eldorado-17-03,0.0,1020.0,1208.0,1480.0,1244.0,0.0,18222.56,0.0,0.0,79200.0,39600.0
Eldorado-17-04,0.0,0.0,531.0,437.0,1151.0,8160.0,20003.64,0.0,0.0,87080.0,43540.0
Eldorado-17-05,0.0,0.0,151.0,91.0,312.0,8160.0,32136.0,0.0,0.0,168160.0,84080.0
Eldorado-17-06,0.0,0.0,447.0,471.0,712.0,8160.0,32136.0,0.0,0.0,203900.0,101950.0
Eldorado-17-07,0.0,862.0,1199.0,1402.0,2253.0,10200.0,40170.0,0.0,0.0,154746.02,77373.01
Eldorado-17-08,0.0,488.0,517.0,567.0,2211.0,8160.0,32136.0,0.0,0.0,0,0
Eldorado-17-09,0.0,524.0,543.0,575.0,2349.0,8160.0,32136.0,0.0,0.0,0,0
Eldorado-17-10,353.4,1011.0,634.0,704.0,2738.0,2040.0,26256.56,0.0,0.0,0,0
Eldorado-17-11,383.0,686.0,298.0,655.0,1267.0,0.0,18222.56,0.0,0.0,0,0
Eldorado-17-12,111.0,254.0,176.0,394.0,686.0,0.0,18222.56,0.0,0.0,0,0
Eldorado-18-01,232.0,0.0,158.0,387.0,358.0,0,0,0,0,0,0
Eldorado-18-02,601.0,0.0,59.0,182.0,253.0,0,0,0,0,0,0
Eldorado-18-03,107.0,0.0,0.0,152.0,285.0,0,0,0,0,0,0
Eldorado-18-04,0.0,0.0,42.0,307.0,466.0,0.0,13666.92,0.0,0.0,79200.0,39600.0
Eldorado-18-05,0.0,0.0,120.0,356.0,462.0,0.0,18222.56,0.0,0.0,211460.0,105730.0
Eldorado-18-06,0.0,0.0,141.0,509.0,634.0,0.0,18222.56,0.0,0.0,197480.0,98740.0
Eldorado-18-07,0.0,0.0,170.0,662.0,846.0,0.0,22778.2,0.0,0.0,216780.0,108390.0
Eldorado-18-08,0.0,0.0,245.0,575.0,666.0,0.0,18222.56,0.0,0.0,103924.16,51962.08
Eldorado-18-09,0.0,0.0,34.0,861.0,1149.0,0.0,22778.2,0.0,0.0,0,0
Eldorado-18-10,16.0,0.0,217.0,652.0,1018.0,0.0,4555.64,0.0,0.0,0,0
Eldorado-18-11,249.0,0.0,386.0,551.0,978.0,0,0,0,0,0,0
Eldorado-18-12,0.0,0.0,608.0,523.0,996.0,0,0,0,0,0,0
