Name-Year-Month,Siembra,Fertilizacion,Cultivos,Limpias,Riegos,Plagas Controlables,Plagas No Controlables,Enfermedades Controlables,Enfermedades No Controlables,Total Cosechado,Total Molido
Tamazula-10-11,0,0,0,0,0,0,0,0,0,0,0
Tamazula-10-12,0,0,0,0,0,0,0,0,0,0,0
Tamazula-11-01,0,0,0,0,0,0,0,0,0,0,0
Tamazula-11-02,0,0,0,0,0,0,0,0,0,0,0
Tamazula-11-03,0,0,0,0,0,0,0,0,0,0,0
Tamazula-11-04,122.76,620.52,1517.25,1312.02,1504.97,76549.67,76549.67,0,0,295764.74,147882.37
Tamazula-11-05,0,1457.81,2025.7,2117.35,2496.84,128822.9,128822.9,0,0,468879.9,234439.95
Tamazula-11-06,0,2124.32,2119.32,1123.53,4866.1,104296.6,104296.6,0,0,361224.8,180612.4
Tamazula-11-07,0,1085.37,1085.37,1163.55,4253.23,52148.3,52148.3,0,0,181353.18,90676.59
Tamazula-11-08,0,0,0,0,0,0,0,0,0,0,0
Tamazula-11-09,0,507.22,507.22,727,347,26074.15,26074.15,0,0,137850.18,68925.09
Tamazula-11-10,0,0,0,0,0,0,0,0,0,0,0
Tamazula-11-11,0,0,0,0,0,0,0,0,0,0,0
Tamazula-11-12,0,0,0,0,0,0,0,0,0,0,0
Tamazula-12-01,0,0,0,0,0,0,0,0,0,0,0
Tamazula-12-02,0,0,0,0,0,0,0,0,0,0,0
Tamazula-12-03,0,0,0,0,0,0,0,0,0,0,0
Tamazula-12-04,0,0,0,0,0,0,0,0,0,0,0
Tamazula-12-05,0,0,0,0,0,0,0,0,0,0,0
Tamazula-12-06,0,0,0,0,0,0,0,0,0,0,0
Tamazula-12-07,0,0,0,0,0,0,0,0,0,0,0
Tamazula-12-08,0,0,0,0,0,0,0,0,0,0,0
Tamazula-12-09,0,0,0,0,0,0,0,0,0,0,0
Tamazula-12-10,0,0,0,0,0,0,0,0,0,0,0
Tamazula-12-11,0,0,0,0,0,0,0,0,0,0,0
Tamazula-12-12,0,0,0,0,0,0,0,0,0,0,0
Tamazula-13-01,0,0,0,0,0,0,0,0,0,0,0
Tamazula-13-02,0,0,0,0,0,0,0,0,0,0,0
Tamazula-13-03,0,0,0,0,0,0,0,0,0,0,0
Tamazula-13-04,0,0,0,0,0,0,0,0,0,0,0
Tamazula-13-05,8286.2,0,277.35,221.28,1105.88,39444.2,43765.96,0,0,199016.46,99508.23
Tamazula-13-06,20715.5,0,1482.65,1040.72,4221.07,114129.22,114129.22,0,0,478688.42,239344.21
Tamazula-13-07,16572.4,0,1651.2,1133.72,8309.22,96236.74,96236.74,0,0,282434.14,138333.35
Tamazula-13-08,16572.4,0,1412.68,1133.59,5665.02,290171.73,290171.73,0,0,353065.32,175590.8
Tamazula-13-09,12429.3,0,578.49,578.49,2419.11,81028.76,81028.76,0,0,337494.6,168747.3
Tamazula-13-10,0,0,0,0,0,0,0,0,0,0,0
Tamazula-13-11,0,0,0,0,0,0,0,0,0,0,0
Tamazula-13-12,0,0,0,0,0,0,0,0,0,0,0
Tamazula-14-01,7314.32,0,0,0,0,0,0,0,0,0,0
Tamazula-14-02,8297.42,0,2797.61,2797.61,3047.53,0,0,0,0,163715.68,61647.62
Tamazula-14-03,9215.11,0,16764.21,16015.8,15491.92,0,0,0,0,708726.18,264063.15
Tamazula-14-04,1876.7,0,4292.4,3754.46,4601.7,0,0,0,0,126271.04,49083.4
Tamazula-14-05,3270.4,0,0,0,0,1232,0,0,0,236624.04,106023.33
Tamazula-14-06,6540.8,0,0,0,0,5192,6884,0,0,433209.28,188649.12
Tamazula-14-07,6540.8,0,0,0,0,8632,32534,0,0,444686.48,198280.53
Tamazula-14-08,6540.8,0,0,0,0,9556,41744,0,0,389333.2,158288.99
Tamazula-14-09,7314.32,0,0,0,0,5262,34608,0,0,191931.18,95965.59
Tamazula-14-10,7314.32,0,0,0,0,0,0,0,0,0,0
Tamazula-14-11,9142.9,0,0,0,0,0,0,0,0,0,0
Tamazula-14-12,7314.32,0,0,0,0,0,0,0,0,0,0
Tamazula-15-01,17.6,50,52664.56,46720.41,58879.16,0,0,0,0,0,0
Tamazula-15-02,19,180,52510.08,46307.2,59149.16,0,0,0,0,0,0
Tamazula-15-03,78.36,205,65148.39,57366.83,74018.95,0,0,0,0,0,0
Tamazula-15-04,5568.91,50,25811.99,22059.62,31090.22,0,0,0,0,417768.29,167078.19
Tamazula-15-05,9142.9,0,27072.08,21958.16,32150.54,0,0,0,0,619063.39,228576.8
