Name-Year-Month,Siembra,Fertilizacion,Cultivos,Limpias,Riegos,Plagas Controlables,Plagas No Controlables,Enfermedades Controlables,Enfermedades No Controlables,Total Cosechado,Total Molido
Tres Valles-10-11,0,0,0,0,0,0,0,0,0,0,0
Tres Valles-10-12,0,0,0,0,0,0,0,0,0,0,0
Tres Valles-11-01,0,0,0,0,0,0,0,0,0,0,0
Tres Valles-11-02,0,0,0,0,0,0,0,0,0,0,0
Tres Valles-11-03,0,0,0,0,0,0,0,0,0,0,0
Tres Valles-11-04,401.23,2353.25,786.33,555.37,0.0,804.0,0.0,0.0,0.0,490791.99,222542.77
Tres Valles-11-05,394.05,5983.27,2396.76,1902.45,0.0,1340.0,0.0,0.0,0.0,753136.2,297188.11
Tres Valles-11-06,0.0,2477.0,1037.64,1003.23,0.0,1072.0,0.0,0.0,0.0,623659.53,273318.73
Tres Valles-11-07,0.0,2899.37,1584.23,1731.71,0.0,1340.0,0.0,0.0,0.0,798066.9,350347.41
Tres Valles-11-08,0.0,291.69,86.5,103.56,0.0,268.0,0.0,0.0,0.0,171847.25,66015.11
Tres Valles-11-09,0,0,0,0,0,0,0,0,0,0,0
Tres Valles-11-10,0,0,0,0,0,0,0,0,0,0,0
Tres Valles-11-11,0,0,0,0,0,0,0,0,0,0,0
Tres Valles-11-12,0,0,0,0,0,0,0,0,0,0,0
Tres Valles-12-01,0,0,0,0,0,0,0,0,0,0,0
Tres Valles-12-02,293.13,39.74,19.89,50.45,0.0,0,0,0,0,328792.16,164093.69
Tres Valles-12-03,1414.71,0.0,281.87,792.16,0.0,0,0,0,0,586239.65,292162.95
Tres Valles-12-04,0.0,0.0,233.63,305.2,0.0,0,0,0,0,163122.86,74944.86
Tres Valles-12-05,0,0,0,0,0,0,0,0,0,0,0
Tres Valles-12-06,48.99,666.24,234.17,549.71,0.0,0,0,0,0,191867.38,80389.19
Tres Valles-12-07,98.32,1944.96,203.74,1672.24,0.0,0,0,0,0,296755.66,118422.13
Tres Valles-12-08,69.86,2338.98,664.93,1508.46,0.0,0,0,0,0,808093.75,290501.79
Tres Valles-12-09,0,0,0,0,0,0,0,0,0,0,0
Tres Valles-12-10,0,0,0,0,0,0,0,0,0,0,0
Tres Valles-12-11,0,0,0,0,0,0,0,0,0,0,0
Tres Valles-12-12,0,0,0,0,0,0,0,0,0,0,0
Tres Valles-13-01,0,0,0,0,0,0,0,0,0,0,0
Tres Valles-13-02,348.97,0.0,0.0,0.0,0.0,0,0,0,0,211790.72,105125.0
Tres Valles-13-03,1870.84,0.0,50.0,185.8,0.0,0,0,0,0,792774.76,391829.0
Tres Valles-13-04,590.41,0.0,1071.91,1291.75,0.0,0,0,0,0,633620.52,312190.37
Tres Valles-13-05,0.0,0.0,2042.51,2192.07,0.0,0,0,0,0,634895.04,310823.02
Tres Valles-13-06,5.39,0.0,1182.85,2523.59,0.0,0,0,0,0,876772.06,412893.0
Tres Valles-13-07,5.5,0.0,388.9,1195.54,0.0,0,0,0,0,727314.7,318724.0
Tres Valles-13-08,0.0,0.0,251.74,319.45,0.0,0,0,0,0,1017834.76,316173.0
Tres Valles-13-09,0.0,0.0,101.82,64.05,0.0,0,0,0,0,416131.82,158631.02
Tres Valles-13-10,0.0,0.0,1748.61,24578.49,0.0,0,0,0,0,0,0
Tres Valles-13-11,0.0,0.0,165.63,3816.84,0.0,0,0,0,0,0,0
