Name-Year-Month,Siembra,Fertilizacion,Cultivos,Limpias,Riegos,Plagas Controlables,Plagas No Controlables,Enfermedades Controlables,Enfermedades No Controlables,Max Wind,Min Wind,Dewpoint,Cloud,Max Temp,Min Temp,Precip,Humedad,Total Cosechado,Total Molido
Bellavista-10-11,0,0,0,0,0,0,0,0,0,12.6,0.4,7.134201388888887,9.026041666666668,768.9000000000001,285.90000000000003,0.0,1810.0,0,0
Bellavista-10-12,0,0,0,0,0,0,0,0,0,15.1,0.0,3.6671875000000003,3.0989583333333335,774.4000000000001,230.19999999999996,0.0,1723.0,0,0
Bellavista-11-01,0,0,0,150,557,612.2,322.98,0,0,20.5,0.7,3.0421874999999994,10.6875,796.3000000000002,240.50000000000006,0.1,1557.0,0,0
Bellavista-11-02,0,0,0,0,0,0,0,0,0,21.2,0.4,4.553472222222222,6.885416666666667,776.9999999999999,270.6,0.9,1417.0,0,0
Bellavista-11-03,0,0,0,0,0,0,0,0,0,22.0,0.4,3.1734375,15.027777777777777,937.1,339.59999999999997,0.0,1346.0,0,0
Bellavista-11-04,0,0,140,0,304.75,530.7,27.04,4.2,0,23.0,0.7,5.878125,7.048611111111112,980.1000000000001,390.70000000000005,0.7999999999999999,1376.0,79696,51836.05
Bellavista-11-05,0,0,240,0,555.4,535.4,27.04,4.2,0,21.6,0.4,9.7375,10.781250000000002,1048.2,506.7,11.13,1329.0,86211.8,45778.96
Bellavista-11-06,0,0,0,0,0,0,0,0,0,21.2,0.4,17.89201388888889,37.208333333333336,906.1,552.6999999999999,89.77,1974.0,0,0
Bellavista-11-07,0,307.5,2738.8,1155.6,2455.15,1091.1,54.08,8.4,0,12.6,0.7,21.255729166666665,65.92881944444444,777.7000000000002,504.0,286.24,2638.0,0,0
Bellavista-11-08,0,271,305,437.7,527,575.45,13.52,2.1,0,14.0,0.4,21.872569444444448,62.71180555555557,794.5,514.3,138.14,2699.0,0,0
Bellavista-11-09,0,216.7,73.75,140,897.8,575.45,13.52,2.1,0,15.1,0.4,19.04861111111111,38.517361111111114,767.5999999999999,473.2,94.3,2504.0,0,0
Bellavista-11-10,0,1830.6,241.05,183.6,0,1726.35,363.54,6.3,0,18.0,0.4,16.84548611111111,34.70833333333333,787.8000000000004,437.0,84.64999999999999,2411.0,0,0
