Name-Year-Month,Siembra,Fertilizacion,Cultivos,Limpias,Riegos,Plagas Controlables,Plagas No Controlables,Enfermedades Controlables,Enfermedades No Controlables,Max Wind,Min Wind,Dewpoint,Cloud,Max Temp,Min Temp,Precip,Humedad,Total Cosechado,Total Molido
Potrero-10-11,0,0,0,0,0,0,0,0,0,17.3,0.4,14.444270833333334,28.659722222222225,636.3000000000001,382.2,25.26,2282.0,0,0
Potrero-10-12,8.75,896.1,113.4,967.9,20.0,2069.78,4500.0,0.0,0.0,19.1,0.4,12.499652777777776,42.239583333333336,579.2000000000002,328.0,48.800000000000004,2374.0,87.5,0.0
Potrero-11-01,220.05,2749.05,57.8,1117.3,209.0,3700.14,0.0,0.0,0.0,17.3,0.4,14.713715277777778,42.46875000000001,643.5,385.1,73.0,2362.0,2200.5,0.0
Potrero-11-02,0,0,0,0,0,0,0,0,0,19.8,0.4,13.652777777777779,36.607638888888886,599.1,342.19999999999993,56.900000000000006,2151.0,0,0
Potrero-11-03,0,0,0,0,0,0,0,0,0,19.8,0.7,15.410937500000001,23.913194444444446,709.8,422.6000000000001,57.370000000000005,2208.0,0,0
Potrero-11-04,108.77,6.55,96.0,72.4,332.5,4022.07,4500.0,0.0,0.0,18.1,0.7,17.918229166666666,16.255208333333332,793.2,511.5000000000001,34.73,2004.0,416068.46,224281.04
Potrero-11-05,59.7,327.45,1362.0,505.95,1650.2,6703.45,7500.0,0.0,0.0,17.3,0.4,19.2078125,21.215277777777775,811.6,559.5000000000001,55.48,2106.0,766728.76,404674.19
Potrero-11-06,61.35,271.7,2082.45,1682.75,2189.75,5376.76,6000.0,0.0,0.0,14.8,0.4,19.948090277777776,48.56423611111111,692.5999999999999,502.70000000000005,345.2,2483.0,527262.58,253223.67
Potrero-11-07,62.2,396.0,1415.7,1156.85,1586.5,4253.07,4500.0,0.0,0.0,15.1,0.4,19.60416666666666,52.600694444444436,682.1999999999999,495.99999999999983,281.79,2546.0,428830.34,224403.04
Potrero-11-08,112.16,643.0,1920.35,2558.5,3710.0,6203.76,6000.0,0.0,0.0,14.0,0.4,20.641319444444445,43.192708333333336,767.6000000000003,516.3,167.08,2480.0,3052.0,0.0
Potrero-11-09,0.0,3025.15,2398.65,5275.0,1750.0,6898.76,6000.0,0.0,0.0,14.4,0.4,19.801215277777775,47.49479166666668,724.1999999999999,487.70000000000005,210.16000000000003,2487.0,0,0
Potrero-11-10,20.4,14659.15,650.9,13522.56,585.0,8456.76,6000.0,0.0,0.0,15.1,0.4,18.92222222222222,45.177083333333336,711.1999999999998,448.79999999999995,98.93,2611.0,0,0
Potrero-11-11,95.65,6237.45,402.43,5720.21,205.0,4516.2,0.0,0.0,0.0,14.8,0.4,17.069270833333338,38.56423611111111,661.9999999999999,396.4,92.27000000000001,2469.0,0,0
Potrero-11-12,430.21,3895.29,563.85,2937.89,244.7,7460.57,0.0,0.0,0.0,14.4,0.7,15.69809027777778,38.91493055555555,627.0,365.6,48.599999999999994,2552.0,0,0
Potrero-12-01,58.35,1620.35,255.15,1574.22,445.0,7887.0,6190.0,0.0,0.0,18.4,0.4,16.129513888888887,44.06250000000001,633.7,397.09999999999997,45.1,2514.0,583.5,0.0
Potrero-12-02,247.3,25.35,0.0,110.6,48.0,6321.6,8604.0,0.0,0.0,17.3,0.4,15.895486111111111,40.39756944444445,616.0000000000001,390.7000000000001,79.58,2341.0,2473.0,0.0
Potrero-12-03,77.5,0.0,175.95,0.0,173.55,6321.6,16682.0,0.0,0.0,16.9,0.4,15.654513888888888,23.142361111111114,692.6000000000001,441.80000000000007,25.07,2251.0,580119.82,293774.87
Potrero-12-04,14.6,5.0,80.9,38.5,71.0,1580.4,4787.0,0.0,0.0,17.3,0.4,16.598611111111108,31.168402777777782,721.4000000000001,473.60000000000014,116.13000000000001,2085.0,150792.59,76587.91
Potrero-12-05,0,0,0,0,0,0,0,0,0,15.8,0.0,20.053125,34.96354166666667,741.4999999999999,531.1000000000001,77.05,2402.0,0,0
Potrero-12-06,14.75,247.0,561.1,492.85,688.0,3724.94,0.0,0.0,0.0,14.8,0.4,19.975347222222222,51.598958333333336,705.1,509.1,389.6600000000001,2429.0,157210.8,80636.22
Potrero-12-07,4.0,1396.05,1014.6,2108.7,886.58,7807.28,8.0,0.0,0.0,15.5,1.1,18.256423611111117,44.010416666666664,688.1999999999998,481.29999999999995,160.77,2417.0,273922.12,137854.06
Potrero-12-08,0.6,2501.85,1881.6,5904.6,2716.05,15913.56,46.0,0.0,0.0,21.2,0.4,20.801388888888894,54.93402777777779,724.6999999999999,508.69999999999993,385.60999999999996,2604.0,0,0
Potrero-12-09,0.2,1011.1,589.8,1968.1,280.0,8223.28,1148.0,0.0,0.0,15.1,0.7,20.41371527777778,48.682291666666664,745.0000000000001,488.9000000000001,183.80000000000004,2484.0,0,0
Potrero-12-10,578.65,11063.72,1063.95,8375.87,793.71,2237.1,3736.0,0.0,0.0,15.8,0.4,20.208159722222224,47.64930555555555,764.1,491.9,132.96999999999997,2540.0,47.0,0.0
Potrero-12-11,43.0,7119.1,713.71,6134.41,794.5,3359.4,3736.0,0.0,0.0,17.3,0.4,16.72482638888889,49.85069444444445,644.6999999999998,396.6000000000001,98.80000000000003,2505.0,430.0,0.0
Potrero-12-12,0.0,4900.15,218.7,3550.83,180.5,6177.15,4670.0,0.0,0.0,19.2,0.0,16.2765625,26.99479166666666,710.7,408.69999999999993,36.300000000000004,2366.0,0,0
Potrero-13-01,43.04,0.0,101.94,1962.11,41.0,6351.46,4579.8,0.0,0.0,17.0,0.7,15.474826388888893,45.48437500000001,632.1999999999999,389.4999999999999,46.800000000000004,2482.0,0,0
Potrero-13-02,95.52,0.0,981.32,1777.8,32.43,6434.96,4670.37,0.0,0.0,17.3,0.4,15.265624999999998,32.041666666666664,669.1999999999999,395.3,91.0,2026.0,1801.44,0.0
Potrero-13-03,21.03,0.0,17.15,34.37,81.28,8048.7,5861.95,0.0,0.0,20.2,0.0,12.986631944444445,34.63368055555555,679.2999999999998,397.5999999999999,71.3,2070.0,362070.24,185519.15
Potrero-13-04,9.6,98.4,624.06,107.2,501.86,6398.94,19763.8,0.0,0.0,17.3,0.4,17.714583333333334,29.057291666666668,756.4999999999999,505.3,57.87000000000001,2044.0,566848.45,293849.64
Potrero-13-05,38.85,212.3,1237.7,679.4,1168.95,6404.6,26650.72,0.0,0.0,16.9,0.4,19.449826388888894,38.072916666666664,757.0000000000001,531.7,83.9,2242.0,593657.07,328778.86
Potrero-13-06,55.35,621.55,911.65,2163.7,3757.99,8081.8,32772.15,0.0,0.0,15.5,0.4,19.02552083333333,46.48958333333334,702.5,503.69999999999993,305.97999999999996,2299.0,719686.22,400567.97
Potrero-13-07,0.0,322.8,1335.2,2018.15,2459.55,6757.65,24421.72,0.0,0.0,15.8,0.7,18.292534722222225,46.102430555555564,725.7,493.5,201.67999999999998,2293.0,582336.59,309073.17
Potrero-13-08,0.0,737.03,1298.33,2463.67,2291.65,7032.05,24421.72,0.0,0.0,16.2,0.4,19.15295138888889,48.95312500000001,752.3000000000001,501.3,227.2,2383.0,489427.27,258116.31
Potrero-13-09,165.52,3892.24,1978.98,5810.77,1394.47,7846.6,24421.72,0.0,0.0,14.9,0.4,21.544097222222224,67.59722222222221,708.3,507.80000000000007,568.8400000000001,2615.0,1693.42,19.11
Potrero-13-10,11.86,0.0,1774.41,7619.85,432.14,3010.8,2784.85,0.0,0.0,14.8,0.4,21.128819444444446,53.619791666666664,771.9999999999999,503.1,197.61,2582.0,0,0
Potrero-13-11,21.01,0.0,643.32,6070.17,227.3,3899.3,4157.08,0.0,0.0,14.8,0.4,17.586631944444445,50.72048611111112,657.1,426.19999999999993,135.96,2512.0,0,0
Potrero-13-12,28.73,0.0,384.0,4905.23,363.3,6573.72,5352.39,0.0,0.0,16.2,0.4,17.00173611111111,42.58854166666666,674.7000000000002,411.2,67.29999999999998,2487.0,0,0
Potrero-14-01,28.93,0.0,10.0,1271.24,1207.57,13469.34,670.05,0.0,0.0,19.8,0.4,13.313888888888892,32.57118055555555,599.3000000000001,311.2,41.6,2464.0,0,0
Potrero-14-02,121.21,0.0,26.44,626.1,131.5,13500.24,716.04,0.0,0.0,16.9,0.0,14.672222222222219,30.41666666666666,612.5999999999998,371.4,60.50000000000001,2166.0,0,0
Potrero-14-03,7.26,0.0,22.34,160.89,37.23,16875.3,932.0,0.0,0.0,18.7,0.7,17.25538194444444,36.93402777777778,724.9,457.9000000000001,89.58000000000001,2267.0,484206.8,240923.9
Potrero-14-04,7.98,0.0,351.82,144.75,725.51,8217.28,3711.64,0.0,0.0,17.3,0.4,16.874131944444446,27.987847222222218,760.9,488.6,139.65999999999997,1969.0,584433.24,307083.72
Potrero-14-05,32.73,0.0,820.73,525.75,1100.45,6477.51,4705.64,0.0,0.0,15.8,0.4,20.000694444444445,52.13715277777778,699.3,510.4,291.2699999999999,2471.0,592278.84,311248.83
Potrero-14-06,15.13,0.0,816.07,1541.36,1737.54,8619.36,5888.7,0.0,0.0,15.5,0.4,20.37256944444444,59.82986111111111,689.9999999999998,511.3,335.1700000000001,2456.0,722395.89,371760.46
Potrero-14-07,32.6,0.0,1037.94,2999.15,4612.17,7948.74,4710.96,0.0,0.0,15.5,0.4,18.370138888888885,37.26388888888889,737.2,493.90000000000003,122.11000000000003,2311.0,555687.0,286972.98
Potrero-14-08,96.34,0.0,1108.13,6769.03,2729.68,11104.86,6081.65,0.0,0.0,16.2,0.4,18.745659722222225,36.65451388888889,793.6000000000001,505.90000000000003,107.14000000000001,2251.0,433292.39,212077.33
Potrero-14-09,0.55,0.0,1712.81,9537.08,1126.75,10058.83,4927.64,0.0,0.0,14.6,0.4,20.846354166666668,61.46701388888891,740.5999999999998,504.6,424.24,2480.0,0,0
Potrero-14-10,2.86,0.0,3231.16,8090.89,1766.2,4269.54,484.6,0.0,0.0,15.1,0.4,20.59201388888889,55.64583333333332,752.5000000000002,499.6,236.04000000000005,2555.0,0,0
Potrero-14-11,27.65,0.0,26.27,6661.72,2905.98,8754.56,654.29,0.0,0.0,15.8,0.4,17.0109375,54.62673611111111,634.1000000000001,396.19999999999993,237.09999999999997,2507.0,0,0
Potrero-14-12,50.48,0.0,13.82,3448.24,393.79,12927.01,617.51,0.0,0.0,15.1,0.4,15.67586805555556,52.53645833333334,621.6999999999999,358.0000000000001,63.9,2572.0,0,0
Potrero-15-01,218.35,1324.55,112.25,976.67,49.94,12848.52,5875.74,0.0,0.0,16.6,0.7,15.12795138888889,48.81944444444445,582.9000000000001,359.0,60.90000000000001,2521.0,1421.3,0.0
Potrero-15-02,86.36,43.07,17.55,149.69,2.04,12927.48,7494.56,0.0,0.0,15.1,0.4,14.548611111111109,58.93055555555554,557.9999999999999,347.99999999999994,105.13999999999999,2321.0,863.6,0.0
Potrero-15-03,64.84,66.78,105.68,87.86,252.94,16159.35,9518.69,0.0,0.0,15.8,0.4,17.314583333333328,59.40798611111109,669.4,434.49999999999994,265.13,2406.0,428933.49,216144.86
Potrero-15-04,96.89,7.91,333.57,258.65,679.28,13362.95,2467.24,0.0,0.0,15.5,0.4,18.85486111111111,41.027777777777786,756.3000000000001,520.3,129.31,2164.0,494476.7,248389.74
Potrero-15-05,71.06,0.0,1153.84,1420.8,1347.61,16950.2,932.0,0.0,0.0,16.1,0.0,20.022569444444446,44.41666666666668,743.5000000000001,545.9999999999999,125.03,2293.0,725788.92,365510.59
Potrero-15-06,46.1,0.0,1123.68,2799.07,1512.84,13681.95,745.6,0.0,0.0,14.0,0.4,19.988715277777775,60.82118055555554,688.5,515.1999999999999,271.7800000000001,2398.0,506570.76,254857.86
Potrero-15-07,36.4,0.0,1418.95,4491.85,2375.08,13690.52,745.6,0.0,0.0,14.9,0.4,18.308159722222218,40.95833333333333,738.8,507.9999999999999,114.8,2227.0,518869.24,258443.79
Potrero-15-08,28.32,0.0,1627.25,6358.86,2887.18,18210.74,932.0,0.0,0.0,15.1,0.7,19.399652777777778,39.817708333333336,783.5999999999998,515.9999999999999,189.73999999999998,2264.0,482313.47,254835.1
Potrero-15-09,93.37,0.0,1072.04,6616.45,1116.11,15495.69,745.6,0.0,0.0,14.0,0.4,21.366840277777783,63.34375,748.9999999999999,527.9,238.93000000000004,2482.0,5761.41,0.0
Potrero-15-10,31.43,7916.28,1735.38,8873.45,1625.33,4728.84,339.12,0.0,0.0,13.3,0.4,21.800520833333337,62.317708333333314,755.6,531.5999999999999,261.16,2613.0,0,0
Potrero-15-11,25.28,10191.5,479.52,10765.86,3990.77,10034.49,502.96,0.0,0.0,11.6,0.4,19.540972222222226,58.38541666666668,683.4000000000001,493.6999999999999,216.10999999999999,2504.0,11.3,0.0
Potrero-15-12,50.12,6778.73,40.63,5770.32,373.72,11736.91,2577.01,0.0,0.0,12.8,0.4,18.71475694444444,47.998263888888886,705.3,458.69999999999993,54.99999999999999,2489.0,501.2,0.0
Potrero-16-01,44.28,135.87,2.4,163.6,13.47,20729.15,493.5,0.0,0.0,15.5,0.4,15.114062500000001,55.13541666666666,607.6,375.90000000000015,58.800000000000004,2487.0,0,0
Potrero-16-02,32.63,100.12,1.77,120.55,9.92,16583.32,394.8,0.0,0.0,14.4,0.4,12.97638888888889,47.92534722222222,566.0000000000001,334.4,45.1,2276.0,1060.8,0.0
Potrero-16-03,39.62,121.57,2.15,146.38,12.05,16583.32,394.8,0.0,0.0,26.2,0.0,17.290624999999995,35.527777777777764,743.5999999999999,475.6,91.13,2181.0,200188.92,68142.68
Potrero-16-04,76.82,164.37,525.87,233.33,775.56,13859.68,5839.22,0.0,0.0,15.5,0.7,18.339930555555558,50.78298611111111,749.2999999999998,496.29999999999995,104.51000000000002,2100.0,552046.33,277026.56
