Name-Year-Month,Siembra,Fertilizacion,Cultivos,Limpias,Riegos,Plagas Controlables,Plagas No Controlables,Enfermedades Controlables,Enfermedades No Controlables,Max Wind,Min Wind,Dewpoint,Cloud,Max Temp,Min Temp,Precip,Humedad,Total Cosechado,Total Molido
Providencia-10-11,0,0,0,0,0,0,0,0,0,17.3,0.4,14.444270833333334,28.659722222222225,636.3000000000001,382.2,25.26,2282.0,0,0
Providencia-10-12,0.0,838.26,2343.28,1155.79,0.0,1072.0,1200.0,40.0,500.0,19.1,0.4,12.499652777777776,42.239583333333336,579.2000000000002,328.0,48.800000000000004,2374.0,0,0
Providencia-11-01,0,0,0,0,0,490.0,300.0,10.0,125.0,17.3,0.4,14.713715277777778,42.46875000000001,643.5,385.1,73.0,2362.0,0,0
Providencia-11-02,0,0,0,0,0,0,0,0,0,19.8,0.4,13.652777777777779,36.607638888888886,599.1,342.19999999999993,56.900000000000006,2151.0,0,0
Providencia-11-03,0,0,0,0,0,0,0,0,0,19.8,0.7,15.410937500000001,23.913194444444446,709.8,422.6000000000001,57.370000000000005,2208.0,0,0
Providencia-11-04,0.0,0.0,80.0,50.0,0.0,804.0,900.0,30.0,375.0,18.1,0.7,17.918229166666666,16.255208333333332,793.2,511.5000000000001,34.73,2004.0,225067.23,127752.0
Providencia-11-05,11.0,40.0,1372.0,20.0,733.19,1340.0,1500.0,50.0,625.0,17.3,0.4,19.2078125,21.215277777777775,811.6,559.5000000000001,55.48,2106.0,404369.44,204228.36
Providencia-11-06,0.0,0.0,1219.51,80.42,691.99,1072.0,1200.0,40.0,500.0,14.8,0.4,19.948090277777776,48.56423611111111,692.5999999999999,502.70000000000005,345.2,2483.0,276768.1,121227.96
Providencia-11-07,0.0,300.0,1080.66,448.18,231.47,804.0,900.0,30.0,375.0,15.1,0.4,19.60416666666666,52.600694444444436,682.1999999999999,495.99999999999983,281.79,2546.0,182138.29,86407.64
Providencia-11-08,0.0,207.26,643.44,737.01,1219.61,1072.0,1200.0,40.0,500.0,14.0,0.4,20.641319444444445,43.192708333333336,767.6000000000003,516.3,167.08,2480.0,0,0
Providencia-11-09,0.0,1288.35,429.81,1233.51,0.0,1072.0,1200.0,40.0,500.0,14.4,0.4,19.801215277777775,47.49479166666668,724.1999999999999,487.70000000000005,210.16000000000003,2487.0,0,0
Providencia-11-10,208.2,10097.27,3821.72,8377.65,0.0,2006.0,1500.0,50.0,625.0,15.1,0.4,18.92222222222222,45.177083333333336,711.1999999999998,448.79999999999995,98.93,2611.0,0,0
Providencia-11-11,106.4,960.73,527.5,533.35,0.0,1960.0,1200.0,40.0,500.0,14.8,0.4,17.069270833333338,38.56423611111111,661.9999999999999,396.4,92.27000000000001,2469.0,0,0
