Name-Year-Month,Siembra,Fertilizacion,Cultivos,Limpias,Riegos,Plagas Controlables,Plagas No Controlables,Enfermedades Controlables,Enfermedades No Controlables,Max Wind,Min Wind,Dewpoint,Cloud,Max Temp,Min Temp,Precip,Humedad,Total Cosechado,Total Molido
Higo-10-11,0,0,0,0,0,0,0,0,0,20.5,0.7,17.36666666666667,31.390624999999996,832.1999999999999,465.29999999999995,5.1,2124.0,0,0
Higo-10-12,0,0,0,0,0,0,0,0,0,13.7,0.4,16.192013888888884,36.79861111111111,785.6000000000003,411.0999999999999,7.800000000000001,2299.0,0,0
Higo-11-01,960.96,59.95,111.5,296.9,705.95,8910.0,25697.9,0.0,0.0,17.5,0.4,18.70833333333333,62.74826388888889,773.0999999999999,455.70000000000005,43.85,2466.0,0,0
Higo-11-02,0,0,0,0,0,0,0,0,0,21.2,0.7,15.037152777777777,55.08333333333332,701.0000000000001,387.6,12.6,2110.0,0,0
Higo-11-03,0,0,0,0,0,0,0,0,0,22.7,0.4,21.10538194444445,40.35416666666666,977.6000000000004,533.4999999999999,24.200000000000006,2191.0,0,0
Higo-11-04,0.0,799.02,1683.03,1436.69,2297.75,9812.55,45706.92,0.0,0.0,27.0,0.0,23.011631944444442,27.248263888888882,1103.6999999999998,649.1999999999998,22.93,1943.0,275087.88,137543.94
Higo-11-05,0.0,3347.52,2581.77,1463.4,1492.42,16354.25,76178.2,0.0,0.0,21.2,0.4,25.58072916666667,29.274305555555557,1135.0,712.3000000000001,35.2,1994.0,536496.12,268248.06
Higo-11-06,0.0,1366.88,1487.66,1263.74,1605.2,9812.55,45706.92,0.0,0.0,27.2,0.7,25.722916666666666,45.39409722222223,1029.2,692.3000000000001,350.93,2137.0,259381.9,104658.95
Higo-11-07,0.0,2117.05,2264.54,1928.67,1944.24,16354.25,76178.2,0.0,0.0,15.6,0.4,27.951388888888882,49.03125,986.2000000000002,685.9,235.51999999999995,2411.0,483210.12,241605.06
Higo-11-08,0.0,949.22,818.93,1219.63,1049.33,9812.55,45706.92,0.0,0.0,16.2,0.7,28.28229166666667,40.170138888888886,1042.9,708.7,83.47999999999999,2253.0,280063.88,140031.94
Higo-11-09,0.0,2452.85,2543.6,2511.13,3250.45,13083.4,60942.56,0.0,0.0,15.5,0.7,24.787847222222226,29.77604166666666,996.4,648.3000000000002,102.47999999999998,2117.0,449150.32,224575.16
Higo-11-10,0.0,3022.53,2423.53,2851.66,2389.9,17183.4,71153.56,0.0,0.0,24.1,0.7,21.100520833333334,26.534722222222225,965.8999999999999,574.5000000000001,34.99999999999999,2149.0,479104.32,239552.16
Higo-11-11,581.48,0.0,0.0,85.74,10.0,11130.85,49213.8,0.0,0.0,22.9,0.4,18.41076388888889,34.36805555555555,841.1999999999999,488.20000000000005,66.7,2150.0,119776.08,59888.04
Higo-11-12,1311.94,302.03,214.75,782.52,945.38,11848.0,51271.3,0.0,0.0,14.0,0.4,18.425868055555554,55.170138888888886,781.6999999999999,461.40000000000003,27.1,2430.0,0,0
