Name-Year-Month,Siembra,Fertilizacion,Cultivos,Limpias,Riegos,Plagas Controlables,Plagas No Controlables,Enfermedades Controlables,Enfermedades No Controlables,Max Wind,Min Wind,Dewpoint,Cloud,Max Temp,Min Temp,Precip,Humedad,Total Cosechado,Total Molido
Cardenas-10-11,0,0,0,0,0,0,0,0,0,19.8,0.0,9.068055555555555,8.310763888888888,708.0000000000002,271.59999999999997,15.759999999999998,1936.0,0,0
Cardenas-10-12,0.0,1.5,0.0,2.1,70.0,300.0,0.0,0.0,0.0,18.0,0.4,4.016319444444444,3.123263888888889,723.7,225.60000000000002,0.0,1606.0,0,0
Cardenas-11-01,16.9,19.4,1.1,13.5,1715.1,862.0,0.0,0.0,0.0,18.0,0.4,4.236284722222223,8.305555555555555,717.9,230.79999999999998,0.6000000000000001,1613.0,0,0
Cardenas-11-02,0,0,0,0,0,0,0,0,0,19.1,0.4,7.40677083333333,8.89583333333333,679.2999999999998,241.7,0.2,1676.0,0,0
Cardenas-11-03,0,0,0,0,0,0,0,0,0,16.6,0.4,8.111458333333333,10.493055555555557,823.1999999999999,304.30000000000007,6.03,1667.0,0,0
Cardenas-11-04,36.4,0.0,0.0,12.2,744.5,900.0,0.0,0.0,0.0,18.4,0.0,11.166840277777778,11.251736111111112,836.7999999999998,369.49999999999994,15.47,1704.0,89661.2,44099.6
Cardenas-11-05,63.85,73.95,0.0,40.0,1860.0,1500.0,0.0,0.0,0.0,16.9,0.4,15.859374999999998,22.940972222222225,868.6999999999999,446.8999999999999,75.84,1959.0,152033.4,75674.2
Cardenas-11-06,58.2,130.0,0.0,0.0,1560.0,900.0,0.0,0.0,0.0,15.8,0.4,17.904340277777777,52.553819444444436,758.8000000000002,446.89999999999986,386.44,2313.0,96409.0,46707.5
Cardenas-11-07,15.0,15.0,0.0,0.0,24.0,900.0,0.0,0.0,0.0,11.6,0.4,19.549479166666664,76.76388888888887,681.6999999999999,426.8999999999999,943.9600000000002,2795.0,118046.4,54850.2
Cardenas-11-08,5.0,1.7,0.0,0.0,2415.0,1200.0,0.0,0.0,0.0,12.6,0.4,20.026215277777776,73.63368055555556,719.7,419.7,681.21,2776.0,157395.2,73133.6
Cardenas-11-09,6.9,668.1,141.9,619.95,4888.3,1200.0,0.0,0.0,0.0,15.5,0.0,18.463368055555552,61.47222222222222,719.9999999999999,400.40000000000003,501.46000000000004,2574.0,157395.2,73133.6
Cardenas-11-10,10.55,349.8,0.0,447.2,620.0,900.0,0.0,0.0,0.0,14.8,0.0,15.397222222222219,38.67013888888889,734.4000000000001,361.8,180.22000000000003,2340.0,118046.4,54850.2
Cardenas-11-11,14.15,8.55,0.0,50.85,353.7,0,0,0,0,18.4,0.4,11.952777777777781,15.680555555555557,698.6999999999997,310.40000000000003,16.580000000000002,2091.0,0,0
Cardenas-11-12,118.65,47.6,18.6,137.2,1590.5,1724.0,0.0,0.0,0.0,14.0,0.4,10.063715277777778,6.998263888888888,701.0000000000001,283.3,0.0,2034.0,0,0
Cardenas-12-01,0,0,0,0,0,0,0,0,0,19.1,0.4,9.014236111111112,19.34201388888889,672.3,274.69999999999993,31.25,1988.0,0,0
Cardenas-12-02,29.65,19.2,14.7,13.7,2320.0,4715.5,139.0,0.0,0.0,16.6,0.0,10.36076388888889,30.227430555555554,598.4000000000001,281.29999999999995,77.29999999999998,2021.0,0,0
Cardenas-12-03,43.55,0.0,36.15,61.9,4284.0,9431.0,278.0,0.0,0.0,15.5,0.0,10.522916666666669,9.407986111111114,756.0000000000001,328.1000000000001,24.279999999999998,1846.0,124922.0,59827.58
Cardenas-12-04,11.35,0.0,46.1,11.3,1193.8,2494.25,92.35,0.0,0.0,17.9,0.4,6.163888888888888,5.3211805555555545,800.0000000000002,328.4999999999999,0.0,1335.0,26800.0,13160.0
