Name-Year-Month,Siembra,Fertilizacion,Cultivos,Limpias,Riegos,Plagas Controlables,Plagas No Controlables,Enfermedades Controlables,Enfermedades No Controlables,Max Wind,Min Wind,Dewpoint,Cloud,Max Temp,Min Temp,Precip,Humedad,Total Cosechado,Total Molido
Ayala-10-11,0,0,0,0,0,0,0,0,0,17.3,0.4,14.689756944444445,14.381944444444443,825.4000000000001,426.6,1.8000000000000003,1991.0,0,0
Ayala-10-12,91.94,17.76,0.0,533.04,0.0,0,0,0,0,16.9,0.4,13.281944444444443,18.135416666666664,789.0,372.40000000000003,7.8,2114.0,0,0
Ayala-11-01,0.0,176.22,2.5,631.44,2.25,1056.58,0.0,0.0,0.0,16.6,0.4,16.636458333333334,37.56423611111111,783.2000000000002,432.1,25.799999999999994,2259.0,0,0
Ayala-11-02,0,0,0,0,0,0,0,0,0,24.8,0.7,13.01267361111111,34.55208333333334,711.3999999999997,370.7,5.0,1893.0,0,0
Ayala-11-03,0,0,0,0,0,0,0,0,0,25.2,0.4,19.22743055555555,26.871527777777782,989.2000000000002,536.3000000000001,4.3,2010.0,0,0
Ayala-11-04,0.0,16.6,133.16,10.3,133.22,488.48,0.0,0.0,0.0,26.3,0.7,20.51892361111111,18.098958333333332,1107.1999999999998,648.5999999999999,23.000000000000004,1742.0,179394.11,89955.43
Ayala-11-05,0.0,514.87,1679.59,300.53,533.37,488.48,0.0,0.0,0.0,22.1,0.0,24.603645833333328,29.409722222222218,1128.1,713.4,36.1,1905.0,187117.01,88666.51
Ayala-11-06,0,0,0,0,0,0,0,0,0,28.1,0.4,24.890451388888895,42.61284722222222,1017.6000000000001,677.1,356.27,2081.0,0,0
Ayala-11-07,0.0,371.37,2022.82,88.01,437.43,2314.19,0.0,0.0,0.0,14.5,0.4,27.374131944444443,48.380208333333336,964.8,669.6999999999999,320.8299999999999,2433.0,317195.0,155119.45
Ayala-11-08,0.0,359.09,923.94,922.39,448.01,1429.47,0.0,0.0,0.0,15.5,0.7,27.612499999999997,33.96180555555555,1023.6,693.5,107.2,2262.0,9165.73,4582.86
Ayala-11-09,0.0,57.75,118.16,13.76,155.7,770.03,0.0,0.0,0.0,16.9,0.4,23.809375000000003,27.020833333333332,985.2000000000004,629.4999999999999,98.89999999999999,2074.0,0,0
Ayala-11-10,0.0,1359.29,104.49,270.59,0.0,2317.59,0.0,0.0,0.0,24.1,0.4,19.860243055555557,22.199652777777775,941.4,553.6999999999999,40.0,2116.0,0,0
Ayala-11-11,0.0,383.5,200.89,3520.18,0.0,1584.87,0.0,0.0,0.0,18.7,0.7,16.430381944444445,24.302083333333332,835.4999999999999,460.00000000000006,33.1,2030.0,0,0
Ayala-11-12,0.0,570.5,103.69,1052.75,5.25,2113.16,0.0,0.0,0.0,16.9,0.7,16.586458333333333,35.267361111111114,765.4999999999998,442.0,26.46,2303.0,0,0
