Name-Year-Month,Siembra,Fertilizacion,Cultivos,Limpias,Riegos,Plagas Controlables,Plagas No Controlables,Enfermedades Controlables,Enfermedades No Controlables,Max Wind,Min Wind,Dewpoint,Cloud,Max Temp,Min Temp,Precip,Humedad,Total Cosechado,Total Molido
San Luis-10-11,0,0,0,0,0,0,0,0,0,17.3,0.4,14.689756944444445,14.381944444444443,825.4000000000001,426.6,1.8000000000000003,1991.0,0,0
San Luis-10-12,152.75,133.75,126.0,491.5,0.0,15245.75,0.0,0.0,0.0,16.9,0.4,13.281944444444443,18.135416666666664,789.0,372.40000000000003,7.8,2114.0,1527.5,0.0
San Luis-11-01,39.5,42.0,0.0,0.0,0.0,10467.25,0.0,0.0,0.0,16.6,0.4,16.636458333333334,37.56423611111111,783.2000000000002,432.1,25.799999999999994,2259.0,395.0,0.0
San Luis-11-02,0,0,0,0,0,0,0,0,0,24.8,0.7,13.01267361111111,34.55208333333334,711.3999999999997,370.7,5.0,1893.0,0,0
San Luis-11-03,0,0,0,0,0,0,0,0,0,25.2,0.4,19.22743055555555,26.871527777777782,989.2000000000002,536.3000000000001,4.3,2010.0,0,0
San Luis-11-04,32.0,15.25,614.0,241.0,11.0,13176.0,0.0,0.0,0.0,26.3,0.7,20.51892361111111,18.098958333333332,1107.1999999999998,648.5999999999999,23.000000000000004,1742.0,279140.0,142642.5
San Luis-11-05,60.5,157.75,1482.5,444.5,101.75,21960.0,0.0,0.0,0.0,22.1,0.0,24.603645833333328,29.409722222222218,1128.1,713.4,36.1,1905.0,503579.98,253988.74
San Luis-11-06,0.0,43.0,1355.0,954.0,368.0,17568.0,0.0,0.0,0.0,28.1,0.4,24.890451388888895,42.61284722222222,1017.6000000000001,677.1,356.27,2081.0,354180.0,152118.75
San Luis-11-07,0.0,25.0,947.0,244.0,90.0,13176.0,0.0,0.0,0.0,14.5,0.4,27.374131944444443,48.380208333333336,964.8,669.6999999999999,320.8299999999999,2433.0,279722.5,140266.25
San Luis-11-08,0.0,0.0,2417.0,836.0,304.0,17568.0,0.0,0.0,0.0,15.5,0.7,27.612499999999997,33.96180555555555,1023.6,693.5,107.2,2262.0,129994.86,63734.93
San Luis-11-09,0.0,623.0,1812.5,621.75,392.5,17568.0,0.0,0.0,0.0,16.9,0.4,23.809375000000003,27.020833333333332,985.2000000000004,629.4999999999999,98.89999999999999,2074.0,0,0
San Luis-11-10,0.0,2845.5,1163.75,1490.25,0.0,23765.0,0.0,0.0,0.0,24.1,0.4,19.860243055555557,22.199652777777775,941.4,553.6999999999999,40.0,2116.0,0,0
San Luis-11-11,0.0,3746.25,1859.5,3702.25,240.0,29186.5,0.0,0.0,0.0,18.7,0.7,16.430381944444445,24.302083333333332,835.4999999999999,460.00000000000006,33.1,2030.0,0,0
San Luis-11-12,61.75,721.75,519.5,871.5,33.0,28635.0,0.0,0.0,0.0,16.9,0.7,16.586458333333333,35.267361111111114,765.4999999999998,442.0,26.46,2303.0,617.5,0.0
San Luis-12-01,728.0,335.25,55.0,21.0,0.0,54380.0,0.0,0.0,0.0,20.2,0.4,16.20625,34.810763888888886,796.3000000000002,451.0999999999999,47.6,2172.0,5824.0,0.0
San Luis-12-02,495.75,281.0,345.0,280.0,0.0,43504.0,0.0,0.0,0.0,28.8,0.4,17.757118055555555,44.78819444444446,764.1000000000001,466.4,74.70000000000002,2125.0,136801.0,66522.5
San Luis-12-03,63.25,8.25,947.75,349.25,0.0,43504.0,0.0,0.0,0.0,29.2,0.4,20.331770833333334,27.670138888888896,955.9000000000002,563.1,10.6,2064.0,365296.0,184125.0
San Luis-12-04,0.0,75.0,200.75,144.0,0.0,10876.0,0.0,0.0,0.0,16.6,0.4,20.819097222222222,30.116319444444443,1007.1,623.0999999999999,57.40000000000001,1780.0,57950.0,28950.0
San Luis-12-05,0,0,0,0,0,0,0,0,0,18.4,0.4,24.737326388888892,34.30381944444445,1063.3999999999999,681.9000000000001,100.19999999999999,1991.0,0,0
