Name-Year-Month,Siembra,Fertilizacion,Cultivos,Limpias,Riegos,Plagas Controlables,Plagas No Controlables,Enfermedades Controlables,Enfermedades No Controlables,Max Wind,Min Wind,Dewpoint,Cloud,Max Temp,Min Temp,Precip,Humedad,Total Cosechado,Total Molido
Queseria-10-11,104,84,50,100,60,99570,23100,0,0,15.1,0.0,13.724999999999996,21.23784722222222,873.7,408.2,4.8999999999999995,1939.0,0,0
Queseria-10-12,88,18,60,23,30,125933.5,30490,0,0,14.8,0.0,10.849826388888886,7.314236111111113,865.8,381.4,0.6,1832.0,0,0
Queseria-11-01,0,0,0,0,0,0,0,0,0,16.2,1.1,7.306944444444444,9.592013888888891,877.0999999999998,376.00000000000006,0.7,1571.0,0,0
Queseria-11-02,0,0,0,0,0,0,0,0,0,17.6,1.4,11.604166666666666,15.5625,817.2000000000002,367.9,0.2,1740.0,0,0
Queseria-11-03,0,0,0,0,0,0,0,0,0,17.3,1.1,12.764930555555553,18.366319444444446,964.5999999999999,445.40000000000003,5.3,1731.0,0,0
Queseria-11-04,537,500,321,325,273,99570,23100,0,0,18.0,0.4,15.072395833333333,13.526041666666666,983.0999999999999,461.5,4.33,1727.0,245767.84,122883.92
Queseria-11-05,243,1775,2563,1834,1397,165950,38500,0,0,18.6,0.4,20.628993055555554,20.836805555555554,1039.3,554.6000000000001,25.49,2004.0,425854.67,206700.14
Queseria-11-06,118,370,554,446,310,66380,15400,0,0,17.9,0.0,22.008680555555554,50.40277777777779,902.8000000000002,559.8,236.34999999999997,2218.0,164793.5,81468.46
Queseria-11-07,189,704,1580,727,732,132760,30800,0,0,11.9,0.0,23.433506944444442,66.02777777777779,870.6999999999998,535.9000000000001,411.81999999999994,2548.0,296452.43,147738.84
Queseria-11-08,169,1040,1710,781,974,99570,23100,0,0,13.0,0.7,23.6765625,69.71875,892.7,531.4,295.9200000000001,2590.0,91268.8,38461.37
Queseria-11-09,86,1202,1453,829,621,132760,30800,0,0,11.5,0.4,22.45868055555556,58.92534722222221,870.1,513.4,280.57,2462.0,0,0
Queseria-11-10,0,190,1459,8613,149,165950,38500,0,0,18.4,0.4,21.248958333333334,58.798611111111114,888.3999999999999,507.0999999999999,343.24999999999994,2449.0,0,0
Queseria-11-11,0,0,0,4,0,132760,30800,0,0,14.4,1.1,15.167881944444446,13.51041666666667,887.9000000000003,448.7999999999999,8.7,1914.0,0,0
Queseria-11-12,0,0,0,0,0,66380,15400,0,0,14.4,0.0,12.831076388888889,8.637152777777779,883.9,423.20000000000016,0.8,1852.0,0,0
Queseria-12-01,0,0,0,0,0,0,0,0,0,15.5,0.4,10.796701388888884,15.406249999999998,874.6000000000001,410.19999999999993,0.7,1755.0,0,0
Queseria-12-02,0,0,0,0,0,113135,36270,0,0,16.9,0.4,12.764756944444448,25.812500000000004,802.6000000000001,403.6000000000001,67.73,1796.0,359014.42,174893.54
Queseria-12-03,267.5,0,252.5,106,297,46755,20870,0,0,18.7,0.4,13.181597222222218,8.18923611111111,966.0000000000001,449.09999999999997,2.3,1696.0,102190.08,51095.04
Queseria-12-04,36,0,161,232.5,224.5,46755,20870,0,0,18.4,0.4,9.514756944444445,4.704861111111112,982.2000000000002,440.5,3.0,1299.0,71861.03,35344.54
Queseria-12-05,0,0,0,0,0,0,0,0,0,17.3,0.0,18.704687500000006,19.250000000000004,1028.8000000000002,553.6000000000001,36.46000000000001,1811.0,0,0
Queseria-12-06,0,0,0,0,0,0,0,0,0,16.6,0.4,20.98350694444444,50.14756944444445,893.5000000000002,529.7999999999998,378.25999999999993,2178.0,0,0
Queseria-12-07,0,0,0,0,0,99570,23100,0,0,12.6,0.4,22.757118055555555,50.921875,899.0999999999999,528.7,218.0,2468.0,260921.3,130284.8
Queseria-12-08,0,0,0,0,0,132760,30800,0,0,13.3,0.7,23.521354166666665,70.90972222222221,881.8000000000001,528.1,306.34,2585.0,348313.04,169746.51
Queseria-12-09,0,0,0,0,0,33190,7700,0,0,12.5,0.4,21.915451388888886,57.197916666666664,869.9,505.5000000000001,141.4,2419.0,68178.75,30380.35
Queseria-12-10,0,0,0,0,0,0,0,0,0,13.7,0.4,22.951909722222222,57.00347222222222,917.2,546.3999999999999,103.91,2451.0,0,0
Queseria-12-11,0,0,0,0,0,0,0,0,0,12.4,0.7,18.740625000000005,31.192708333333332,850.3000000000002,482.5,36.22,2219.0,0,0
Queseria-12-12,0,0,0,0,0,18880,4750,0,0,13.0,0.0,14.730034722222227,17.625,869.6000000000003,443.8999999999999,9.7,2000.0,0,0
Queseria-13-01,0,0,0,0,0,187020,83480,0,0,13.0,0.4,14.034548611111111,15.10590277777778,852.2000000000002,438.6000000000001,48.19,1976.0,0,0
Queseria-13-02,139.6,0,0,50,0,87077.04,14120,0,0,16.6,0.7,10.834722222222224,3.9340277777777772,853.7,380.80000000000007,0.0,1590.0,0,0
Queseria-13-03,255.5,0,0,87.1,31,109117.6,17650,0,0,18.7,0.4,10.412673611111112,10.690972222222223,985.7,449.30000000000007,9.580000000000002,1511.0,449650.36,222825.18
Queseria-13-04,92.5,0,1790.5,1228.3,1410.7,162088.52,66140,0,0,18.0,0.4,11.193750000000001,10.359375,983.3,449.49999999999994,0.0,1495.0,324405.26,162202.63
Queseria-13-05,51.5,0,1135.6,629.1,1067.6,187020,83480,0,0,16.9,0.4,16.39895833333333,15.100694444444443,1027.1999999999998,510.20000000000005,12.299999999999999,1704.0,398232.62,197532.73
Queseria-13-06,24,0,1925.3,685.5,1167.2,233775,104350,0,0,14.4,0.4,22.47829861111111,46.00347222222222,933.0,554.8000000000001,157.85000000000002,2193.0,468963.2,233907.31
Queseria-13-07,100,0,1737.85,1380.4,839.95,187020,83480,0,0,11.9,0.4,23.118576388888894,59.42881944444445,896.9999999999999,527.0999999999999,224.12999999999997,2462.0,371372.77,184396.12
Queseria-13-08,71.3,0,1442.55,651.65,827.35,187020,83480,0,0,12.6,0.4,22.981944444444448,57.88541666666666,911.3999999999999,519.1,186.3,2489.0,354641.53,177203.02
Queseria-13-09,12,0,1213.2,612,774.4,233775,104350,0,0,14.8,0.0,22.621354166666666,74.05034722222223,820.9000000000001,508.2,774.9599999999999,2576.0,418267.01,209133.51
Queseria-13-10,0,0,530.25,657.75,427.75,187020,83480,0,0,11.9,0.0,22.171701388888888,51.90798611111109,901.3,524.6,125.27999999999997,2474.0,63449.59,30101.13
Queseria-13-11,0,0,89,871.5,159,93510,41740,0,0,14.4,0.4,18.277604166666663,31.10416666666666,859.1000000000001,473.9000000000001,33.91,2188.0,0,0
Queseria-13-12,10,0,0,10,0,93510,41740,0,0,13.3,0.4,17.018749999999997,26.947916666666668,863.4,481.2000000000001,10.9,2121.0,0,0
Queseria-14-01,103.12,0,0,52.94,0,73000,16400,0,0,14.4,0.4,12.93090277777778,13.109374999999995,872.0000000000001,428.4,4.609999999999999,1863.0,0,0
Queseria-14-02,92.14,0,0,54.73,15.29,73000,16400,0,0,16.2,0.7,12.594791666666666,7.010416666666668,859.4999999999999,399.5,0.0,1681.0,20360.5,20340.1
Queseria-14-03,38.8,0,0,51.6,202.03,91250,20500,0,0,18.0,0.7,11.489756944444446,11.954861111111109,969.5999999999999,442.3,0.7,1622.0,369833.5,224988.48
Queseria-14-04,26.3,0,0,19.8,0,83720.56,14690,0,0,17.6,0.4,15.279340277777777,12.003472222222221,993.1000000000001,504.6000000000001,12.0,1607.0,414323.54,211747.73
Queseria-14-05,72.37,0,2127.42,1087.47,1909.02,94728.58,21764,0,0,16.3,0.4,21.7765625,40.33680555555556,975.7,574.6,99.37,2081.0,422334.7,211167.35
Queseria-14-06,0,0,2142.39,1326.41,3236.52,126755.1,30390,0,0,13.7,0.4,23.550347222222218,64.89236111111113,886.1999999999999,556.0000000000001,415.9100000000001,2317.0,516491.2,258245.6
Queseria-14-07,0,0,939.91,404.67,524.56,101404.08,24312,0,0,12.2,0.0,23.222222222222225,46.864583333333336,941.0,542.8000000000001,175.45999999999998,2379.0,371745.34,185872.67
Queseria-14-08,21.1,0,1575.33,506.06,791.07,126755.1,30390,0,0,11.5,0.7,23.28697916666667,60.036458333333336,922.6999999999998,525.0000000000001,165.56,2509.0,431438.24,215719.12
Queseria-14-09,0,0,974.11,831.65,588.51,76053.06,18234,0,0,13.3,0.7,22.40902777777778,65.56597222222221,843.8000000000001,512.5999999999999,367.92999999999995,2511.0,168450.92,84225.46
Queseria-14-10,4,0,1318.78,3148.77,854.69,73000,16400,0,0,11.9,0.4,22.394270833333334,56.786458333333336,907.1999999999999,521.9,141.04000000000002,2523.0,0,0
Queseria-14-11,7.62,0,421.9,454.28,403.43,91250,20500,0,0,14.0,0.4,16.65347222222222,29.991319444444446,835.8,463.0,86.72,2068.0,0,0
