Name-Year-Month,Siembra,Fertilizacion,Cultivos,Limpias,Riegos,Plagas Controlables,Plagas No Controlables,Enfermedades Controlables,Enfermedades No Controlables,Max Wind,Min Wind,Dewpoint,Cloud,Max Temp,Min Temp,Precip,Humedad,Total Cosechado,Total Molido
La Ameca-10-11,0,0,0,0,0,0,0,0,0,12.6,0.4,7.134201388888887,9.026041666666668,768.9000000000001,285.90000000000003,0.0,1810.0,0,0
La Ameca-10-12,0,0,0,0,0,0,0,0,0,15.1,0.0,3.6671875000000003,3.0989583333333335,774.4000000000001,230.19999999999996,0.0,1723.0,0,0
La Ameca-11-01,0,157.5,0,200,0,24700,2800,0,0,20.5,0.7,3.0421874999999994,10.6875,796.3000000000002,240.50000000000006,0.1,1557.0,195596,97798
La Ameca-11-02,0,0,0,0,0,0,0,0,0,21.2,0.4,4.553472222222222,6.885416666666667,776.9999999999999,270.6,0.9,1417.0,0,0
La Ameca-11-03,0,0,0,0,0,0,0,0,0,22.0,0.4,3.1734375,15.027777777777777,937.1,339.59999999999997,0.0,1346.0,0,0
La Ameca-11-04,324.6,341.2,349,210,914,0,0,0,0,23.0,0.7,5.878125,7.048611111111112,980.1000000000001,390.70000000000005,0.7999999999999999,1376.0,184376,92188
La Ameca-11-05,1280.8,892,1676,606,3488,0,0,0,0,21.6,0.4,9.7375,10.781250000000002,1048.2,506.7,11.13,1329.0,471809.27,235904.64
La Ameca-11-06,681.3,1299,883,603,3003,0,0,0,0,21.2,0.4,17.89201388888889,37.208333333333336,906.1,552.6999999999999,89.77,1974.0,317063,135982
La Ameca-11-07,323,3027,2820,2184,3690,0,0,0,0,12.6,0.7,21.255729166666665,65.92881944444444,777.7000000000002,504.0,286.24,2638.0,391192,195596
La Ameca-11-08,280,4840,3460,3370,3462,0,0,0,0,14.0,0.4,21.872569444444448,62.71180555555557,794.5,514.3,138.14,2699.0,391192,195596
La Ameca-11-09,140,2394,1864,2000,0,0,0,0,0,15.1,0.4,19.04861111111111,38.517361111111114,767.5999999999999,473.2,94.3,2504.0,391192,195596
La Ameca-11-10,0,595,240,886,0,12350,1400,0,0,18.0,0.4,16.84548611111111,34.70833333333333,787.8000000000004,437.0,84.64999999999999,2411.0,391192,195596
La Ameca-11-11,0,515,0,1260,0,49400,5600,0,0,13.7,0.4,11.535590277777784,12.637152777777779,785.2000000000002,353.0999999999999,0.0,1964.0,391192,195596
La Ameca-11-12,0,315,0,400,0,49400,5600,0,0,14.4,0.0,10.554166666666665,8.996527777777777,823.5999999999999,326.29999999999995,0.0,1896.0,391192,195596
La Ameca-12-01,0,450,0,510,0,49550,0,0,0,14.4,0.4,7.203298611111111,17.98611111111111,806.5,321.6,0.2,1669.0,0,0
La Ameca-12-02,78,270,0,306,42,39640,0,0,0,17.3,0.7,9.171701388888888,30.317708333333332,703.1999999999999,342.0,50.269999999999996,1690.0,90400,45200
La Ameca-12-03,135.85,0,300.5,42,465,39640,0,0,0,19.1,0.4,6.999479166666664,10.177083333333334,917.1999999999998,409.0,1.2,1280.0,382324,191162
La Ameca-12-04,47,0,219.5,93,1421,9910,0,0,0,16.6,0.4,2.953298611111111,7.435763888888889,947.1999999999999,396.3,0.0,976.0,28546,14273
La Ameca-12-05,0,0,0,0,0,0,0,0,0,15.1,1.1,10.958854166666669,12.947916666666666,1001.8,515.3,14.140000000000002,1406.0,0,0
La Ameca-12-06,247,518.75,300,600,1000,12350,1400,0,0,15.5,0.4,17.19027777777777,36.611111111111114,894.6999999999998,535.3000000000001,106.14999999999999,1936.0,91096,45548
La Ameca-12-07,270,1820.25,1585,1390,1643,59158,4200,0,0,9.7,0.7,21.035069444444442,65.05729166666669,792.3999999999999,501.30000000000007,177.89,2645.0,268618,134309
