Name-Year-Month,Siembra,Fertilizacion,Cultivos,Limpias,Riegos,Plagas Controlables,Plagas No Controlables,Enfermedades Controlables,Enfermedades No Controlables,Max Wind,Min Wind,Dewpoint,Cloud,Max Temp,Min Temp,Precip,Humedad,Total Cosechado,Total Molido
San Pedro-10-11,75.0,17.5,3.5,576.46,0.0,4284.0,26899.08,0.0,0.0,43.2,0.7,22.464930555555554,50.57986111111112,779.3999999999999,557.3999999999997,83.06,2534.0,750.0,0.0
San Pedro-10-12,46.19,17.75,0.0,103.5,0.0,5712.0,35865.44,0.0,0.0,35.0,1.1,20.363888888888884,50.94965277777779,729.3999999999999,496.00000000000006,88.68,2633.0,461.9,0.0
San Pedro-11-01,0,0,0,0,0,0,0,0,0,33.5,0.4,22.250000000000004,61.83159722222221,766.6000000000001,533.5999999999999,313.61999999999995,2699.0,0,0
San Pedro-11-02,0,0,0,0,0,0,0,0,0,34.9,0.4,19.794791666666665,57.92013888888889,719.0000000000001,491.79999999999995,93.2,2358.0,0,0
San Pedro-11-03,0,0,0,0,0,0,0,0,0,34.6,0.4,22.889930555555562,39.755208333333336,893.9000000000001,574.9000000000001,76.53,2400.0,0,0
San Pedro-11-04,346.86,43.95,84.0,402.45,0.0,4284.0,28399.08,0.0,0.0,36.6,1.1,25.415625000000002,28.27083333333334,1002.8000000000001,672.3000000000001,44.39,2175.0,73468.6,35321.35
San Pedro-11-05,279.51,1118.29,1489.85,704.86,0.0,7140.0,47331.8,0.0,0.0,37.8,1.4,26.135243055555563,26.90624999999999,1059.1000000000001,734.5999999999999,67.63999999999999,2101.0,424697.76,211049.36
San Pedro-11-06,30.95,2124.11,2827.02,703.56,0.0,5712.0,37865.44,0.0,0.0,21.8,1.1,26.480381944444446,53.145833333333336,912.6999999999999,686.7999999999998,176.68999999999997,2375.0,395122.08,212068.01
San Pedro-11-07,7.0,1251.24,1894.38,459.5,0.0,7140.0,47331.8,0.0,0.0,20.5,0.4,28.15069444444445,74.51041666666667,904.1999999999999,694.1,375.24,2644.0,319970.16,171375.94
San Pedro-11-08,48.5,3753.37,5284.18,6752.2,0.0,5712.0,37865.44,0.0,0.0,17.3,0.7,28.185763888888886,58.70138888888889,945.1000000000001,691.1000000000001,245.69,2572.0,0,0
San Pedro-11-09,23.0,748.73,425.22,897.64,0.0,5712.0,37865.44,0.0,0.0,36.7,0.4,26.389930555555555,67.07638888888889,861.5000000000001,650.5999999999999,378.7200000000001,2552.0,0,0
San Pedro-11-10,0.0,2509.35,450.27,1414.63,0.0,7140.0,47331.8,0.0,0.0,31.3,0.4,24.71770833333333,57.01041666666668,834.0000000000002,615.5999999999999,258.15,2608.0,0,0
San Pedro-11-11,0.0,136.15,1.0,375.75,0.0,525.0,312.45,0.0,0.0,46.2,0.7,22.90052083333333,54.56597222222223,775.8999999999999,559.6,191.9,2565.0,0,0
San Pedro-11-12,0,0,0,0,0,0,0,0,0,31.7,0.4,23.00607638888889,74.86805555555556,736.2,541.6000000000001,153.73000000000002,2764.0,0,0
San Pedro-12-01,0,0,0,0,0,0,0,0,0,35.3,0.7,22.472569444444442,69.57291666666667,746.1000000000003,540.3000000000001,244.38000000000002,2721.0,0,0
San Pedro-12-02,0,0,0,0,0,0,0,0,0,35.0,0.0,21.738368055555558,56.317708333333336,750.6,530.8999999999999,90.24,2470.0,0,0
San Pedro-12-03,0,0,0,0,0,0,0,0,0,33.1,1.4,23.664236111111112,43.32638888888889,888.4000000000001,595.2999999999998,36.88,2453.0,0,0
San Pedro-12-04,0,0,0,0,0,0,0,0,0,26.2,0.4,22.534895833333337,23.07986111111111,943.5999999999999,628.0,57.529999999999994,2072.0,0,0
San Pedro-12-05,0,0,0,0,0,0,0,0,0,23.0,1.1,26.5564236111111,41.41145833333332,971.9000000000002,708.1,138.15999999999997,2300.0,0,0
San Pedro-12-06,50.35,613.38,848.51,447.92,0.0,525.0,312.45,0.0,0.0,17.3,0.7,27.131770833333338,65.765625,919.4,704.2000000000003,305.45000000000005,2369.0,77573.8,41369.16
San Pedro-12-07,0,0,0,0,0,0,0,0,0,16.2,0.7,27.74965277777778,70.42187499999999,907.5000000000002,689.2,256.59,2595.0,0,0
San Pedro-12-08,0,0,0,0,0,0,0,0,0,51.8,0.0,27.960590277777772,66.87847222222221,924.1000000000001,689.4999999999999,434.11000000000024,2589.0,0,0
San Pedro-12-09,12.3,3245.37,2700.3,4486.33,0.0,2100.0,1249.8,0.0,0.0,19.8,0.7,26.910069444444435,64.59027777777777,861.6999999999999,660.7,458.21999999999997,2590.0,22441.99,10300.65
San Pedro-12-10,0,0,0,0,0,0,0,0,0,22.3,0.0,26.097395833333334,58.711805555555564,862.3000000000001,639.9000000000001,321.92999999999995,2644.0,0,0
San Pedro-12-11,0,0,0,0,0,0,0,0,0,23.4,0.4,22.482118055555556,61.05034722222222,758.1999999999999,547.9,139.48,2550.0,0,0
San Pedro-12-12,0,0,0,0,0,0,0,0,0,44.4,0.4,23.48194444444444,48.642361111111114,803.0,570.5999999999999,130.98,2660.0,0,0
San Pedro-13-01,0,0,0,0,0,0,0,0,0,35.5,0.7,22.688541666666666,82.36631944444446,733.5,559.3000000000001,139.5,2725.0,0,0
San Pedro-13-02,0,0,0,0,0,0,0,0,0,26.6,0.7,20.436111111111114,39.453125,769.7000000000002,520.0999999999999,58.730000000000004,2253.0,0,0
San Pedro-13-03,56.25,0.0,119.85,40.15,0.0,1350.0,33814.77,0.0,0.0,33.8,0.7,21.324305555555558,42.78993055555555,856.8,558.4,81.25000000000001,2350.0,155481.05,79277.21
San Pedro-13-04,11.46,0.0,73.8,1.75,0.0,450.0,11271.59,0.0,0.0,41.0,1.1,23.017013888888886,31.152777777777775,957.6,636.3,42.64,2099.0,87278.6,44697.23
San Pedro-13-05,0,0,0,0,0,0,0,0,0,31.7,0.7,25.73958333333334,47.40104166666666,983.7,712.2,228.77999999999997,2219.0,0,0
