Name-Year-Month,Siembra,Fertilizacion,Cultivos,Limpias,Riegos,Plagas Controlables,Plagas No Controlables,Enfermedades Controlables,Enfermedades No Controlables,Max Wind,Min Wind,Dewpoint,Cloud,Max Temp,Min Temp,Precip,Humedad,Total Cosechado,Total Molido
Pucte-10-11,0,0,0,0,0,92535.0,0.0,0.0,0.0,18.9,1.4,23.793402777777775,47.41666666666668,852.6999999999998,610.2000000000003,75.73999999999998,2445.0,0,0
Pucte-10-12,0,0,0,0,0,123380.0,0.0,0.0,0.0,22.3,0.7,20.06371527777778,37.84375000000001,823.8000000000001,536.1000000000001,10.899999999999999,2396.0,0.0,0.0
Pucte-11-01,0.0,0.0,0.0,44.0,0.0,61690.0,0.0,0.0,0.0,20.7,1.1,23.920486111111114,53.88888888888888,864.5999999999999,611.8,17.599999999999998,2542.0,0,0
Pucte-11-02,0,0,0,0,0,0,0,0,0,19.8,1.4,22.344618055555554,44.91319444444446,782.1000000000001,571.6999999999999,34.089999999999996,2325.0,0,0
Pucte-11-03,0,0,0,0,0,0,0,0,0,19.3,0.4,24.64878472222222,49.29861111111111,909.0,657.2,32.5,2395.0,0,0
Pucte-11-04,0.0,0.0,2100.0,0.0,0.0,92535.0,0.0,0.0,0.0,20.6,4.3,25.66631944444445,41.65625,953.6,694.9,10.200000000000001,2243.0,347454.78,173727.39
Pucte-11-05,0.0,0.0,2922.0,0.0,22.0,154225.0,0.0,0.0,0.0,21.6,1.1,27.508680555555546,44.428819444444436,1006.6,741.2,28.6,2298.0,537796.0,268898.0
Pucte-11-06,0.0,963.0,3905.0,1384.0,44.0,123380.0,0.0,0.0,0.0,23.3,1.1,28.214409722222218,60.34722222222222,919.6999999999999,732.8000000000001,193.45,2464.0,370480.7,165215.94
Pucte-11-07,0.0,4802.0,4438.0,3237.0,0.0,154225.0,0.0,0.0,0.0,18.4,2.2,29.18194444444445,66.55902777777779,946.9000000000003,748.0999999999999,253.98,2530.0,588673.46,294336.73
Pucte-11-08,0.0,3183.0,4573.0,1531.0,232.0,123380.0,0.0,0.0,0.0,21.6,0.4,29.71579861111111,57.61631944444445,968.1000000000001,756.1,221.88000000000002,2541.0,268192.66,134096.33
Pucte-11-09,0.0,168.0,1627.0,2835.0,34.0,123380.0,0.0,0.0,0.0,15.1,0.7,28.369097222222226,56.920138888888886,937.1999999999999,721.1,220.21000000000004,2447.0,0,0
Pucte-11-10,0.0,162.0,234.0,2513.0,0.0,154225.0,0.0,0.0,0.0,20.5,1.4,26.74114583333333,66.79166666666667,903.4,670.8000000000001,217.80999999999997,2562.0,0,0
Pucte-11-11,0.0,634.0,0.0,1397.0,0.0,123380.0,0.0,0.0,0.0,20.4,2.5,24.361111111111114,45.30729166666668,846.3999999999997,614.0999999999999,68.55999999999999,2461.0,0,0
