Name-Year-Month,Siembra,Fertilizacion,Cultivos,Limpias,Riegos,Plagas Controlables,Plagas No Controlables,Enfermedades Controlables,Enfermedades No Controlables,Max Wind,Min Wind,Dewpoint,Cloud,Max Temp,Min Temp,Precip,Humedad,Total Cosechado,Total Molido
St Clara-10-11,146.05,3473.57,455.3,2281.49,196.85,15900.0,13160.0,0.0,3490.0,20.2,0.0,5.303993055555556,6.034722222222222,725.7,246.60000000000002,0.0,1793.0,0,0
St Clara-10-12,0.0,2388.31,11.6,2216.05,34.8,11600.0,11200.0,0.0,3040.0,19.8,0.4,0.6730902777777775,3.4583333333333335,714.2,198.79999999999995,0.1,1602.0,0,0
St Clara-11-01,0,0,0,0,0,7200.0,4760.0,0.0,1210.0,24.5,0.4,1.3897569444444444,9.857638888888886,731.6999999999999,237.70000000000002,0.2,1506.0,0,0
St Clara-11-02,0,0,0,0,0,0,0,0,0,28.4,0.4,5.241840277777778,9.239583333333334,720.7000000000002,259.79999999999995,0.30000000000000004,1552.0,0,0
St Clara-11-03,0,0,0,0,0,0,0,0,0,15.5,0.4,4.368055555555555,9.097222222222223,866.4999999999999,334.79999999999995,0.30000000000000004,1470.0,0,0
St Clara-11-04,207.73,35.65,1.0,226.0,266.79,8850.0,8400.0,0.0,2280.0,19.4,0.4,7.162500000000001,5.260416666666665,918.6,397.20000000000005,0.30000000000000004,1329.0,191793.32,95896.66
St Clara-11-05,564.89,130.0,265.4,192.0,895.45,14750.0,14000.0,0.0,3800.0,20.2,0.7,12.321006944444443,12.552083333333336,974.0999999999999,498.09999999999997,7.300000000000001,1506.0,277750.54,135733.77
St Clara-11-06,232.37,796.9,1179.0,709.0,1374.37,10850.0,8600.0,0.0,2280.0,19.1,0.4,15.837326388888888,30.84375,844.3000000000001,483.8,64.66,1962.0,179018.0,86802.0
St Clara-11-07,51.0,2662.0,1994.0,2471.0,4824.0,29250.0,15000.0,0.0,3800.0,14.4,0.4,19.730381944444446,59.930555555555564,722.2000000000002,463.40000000000003,256.96999999999997,2668.0,3816.0,0.0
St Clara-11-08,0.0,190.0,357.0,0.0,584.0,11000.0,12115.0,0.0,1210.0,13.5,0.7,19.475694444444443,47.56597222222222,733.7000000000002,440.0999999999999,148.23000000000002,2702.0,66178.0,35046.18
St Clara-11-09,0.0,1535.0,967.0,2996.0,1699.0,28800.0,13960.0,0.0,4840.0,15.5,0.4,16.010590277777776,28.157986111111114,706.8999999999999,383.80000000000007,59.07000000000001,2510.0,0,0
St Clara-11-10,0,0,0,0,0,0,0,0,0,13.7,0.7,12.409375000000004,23.33854166666667,719.2999999999998,333.7000000000001,65.03,2271.0,0,0
St Clara-11-11,0.0,749.0,503.0,1272.0,283.0,21600.0,14280.0,0.0,3630.0,18.0,0.0,9.052430555555556,11.744791666666666,703.0,289.4,0.0,2026.0,0,0
St Clara-11-12,0,0,0,0,0,0,0,0,0,18.7,0.7,7.907291666666667,7.614583333333335,739.2000000000003,292.90000000000003,0.8,1921.0,0,0
St Clara-12-01,0,0,0,0,0,0,0,0,0,22.3,0.4,6.446701388888889,16.506944444444443,701.3000000000001,282.79999999999995,2.0,1815.0,0,0
St Clara-12-02,0,0,0,0,0,1515.0,3820.0,0.0,685.0,18.7,0.4,9.584027777777775,28.078125,621.6000000000001,298.79999999999995,54.42000000000001,1924.0,0,0
St Clara-12-03,0,0,0,0,0,6060.0,15280.0,0.0,2740.0,17.6,0.4,7.722048611111112,8.810763888888888,809.8999999999999,346.7999999999999,5.1,1597.0,107479.08,53739.54
St Clara-12-04,0,0,0,0,0,1515.0,3820.0,0.0,685.0,19.6,0.4,2.5901041666666664,5.32638888888889,867.9000000000001,364.0,1.9,1058.0,28254.7,14127.35
St Clara-12-05,0,0,0,0,0,0,0,0,0,18.4,0.7,11.201388888888891,14.210069444444445,920.0999999999998,481.4,17.3,1456.0,0,0
St Clara-12-06,0,0,0,0,0,0,0,0,0,20.9,0.7,15.574826388888889,34.583333333333336,830.4,481.99999999999994,98.40999999999998,1918.0,0,0
St Clara-12-07,70.0,295.0,235.0,155.0,550.0,21600.0,17580.0,0.0,4350.0,9.7,0.0,18.993402777777778,51.008680555555564,735.5,450.29999999999995,104.04,2598.0,176523.98,88261.99
St Clara-12-08,0.0,235.0,229.0,250.0,245.0,28950.0,27160.0,0.0,6100.0,16.6,0.0,18.967013888888893,57.74652777777778,714.6,431.40000000000003,141.29999999999998,2692.0,70209.6,35104.8
