Name-Year-Month,Siembra,Fertilizacion,Cultivos,Limpias,Riegos,Plagas Controlables,Plagas No Controlables,Enfermedades Controlables,Enfermedades No Controlables,Max Wind,Min Wind,Dewpoint,Cloud,Max Temp,Min Temp,Precip,Humedad,Total Cosechado,Total Molido
Eldorado-10-11,0,0,0,0,0,0,0,0,0,18.4,0.7,10.18628472222222,2.6475694444444446,939.3999999999999,415.09999999999997,0.0,1464.0,0,0
Eldorado-10-12,0.0,9.8,9.8,11.4,0.0,4790.0,4070.0,0.0,0.0,17.3,0.7,11.152777777777777,5.317708333333333,898.3999999999997,386.9,0.3,1703.0,0,0
Eldorado-11-01,0,0,0,0,0,0,0,0,0,18.7,0.4,7.724652777777777,13.623263888888888,874.5999999999999,345.49999999999994,0.1,1522.0,0,0
Eldorado-11-02,0,0,0,0,0,0,0,0,0,21.7,1.1,4.9484375,8.586805555555555,813.3,287.0,0.0,1228.0,0,0
Eldorado-11-03,0,0,0,0,0,0,0,0,0,25.6,0.7,7.9312499999999995,11.736111111111112,1022.0999999999999,448.70000000000005,0.0,1174.0,0,0
Eldorado-11-04,0.0,197.9,238.1,387.53,242.5,0,0,0,0,23.6,0.4,12.30989583333333,10.059027777777777,1015.5,476.2,0.0,1339.0,0,0
Eldorado-11-05,0.0,192.15,172.0,290.93,211.0,0,0,0,0,23.4,0.4,14.457638888888887,13.090277777777777,1107.2,618.4,0.0,1228.0,0,0
Eldorado-11-06,0.0,483.6,492.7,405.63,484.0,0,0,0,0,22.0,0.7,24.37951388888889,19.673611111111114,1039.7,753.1999999999999,0.0,1784.0,0,0
Eldorado-11-07,0,0,0,0,0,0,0,0,0,20.5,0.4,29.560243055555556,58.10763888888891,1036.1,791.1,243.26000000000002,2249.0,0,0
Eldorado-11-08,0,0,0,0,0,0,0,0,0,18.4,0.4,30.367013888888895,59.90104166666668,1006.7,768.2000000000002,249.25,2461.0,0,0
