Name-Year-Month,Siembra,Fertilizacion,Cultivos,Limpias,Riegos,Plagas Controlables,Plagas No Controlables,Enfermedades Controlables,Enfermedades No Controlables,Max Wind,Min Wind,Dewpoint,Cloud,Max Temp,Min Temp,Precip,Humedad,Total Cosechado,Total Molido
Tres Valles-10-11,0,0,0,0,0,0,0,0,0,24.5,0.0,20.8375,32.725694444444436,803.7,540.2,32.43,2379.0,0,0
Tres Valles-10-12,0,0,0,0,0,0,0,0,0,17.2,0.4,19.152256944444446,44.164930555555564,757.7,483.09999999999997,6.3,2547.0,0,0
Tres Valles-11-01,0,0,0,0,0,0,0,0,0,16.2,0.4,21.855729166666666,59.37152777777777,800.8000000000001,534.8,62.809999999999995,2637.0,0,0
Tres Valles-11-02,0,0,0,0,0,0,0,0,0,19.1,0.0,19.284722222222225,45.664930555555564,756.0,481.7,12.9,2298.0,0,0
Tres Valles-11-03,0,0,0,0,0,0,0,0,0,14.5,0.4,21.716493055555556,25.463541666666657,959.0000000000002,581.5000000000001,19.61,2213.0,0,0
Tres Valles-11-04,401.23,2353.25,786.33,555.37,0.0,804.0,0.0,0.0,0.0,21.6,0.4,23.29670138888889,17.038194444444446,1095.3999999999999,685.6999999999999,24.5,1884.0,490791.99,222542.77
Tres Valles-11-05,394.05,5983.27,2396.76,1902.45,0.0,1340.0,0.0,0.0,0.0,23.0,1.1,23.933854166666666,24.015624999999996,1140.8999999999999,747.3,29.6,1778.0,753136.2,297188.11
Tres Valles-11-06,0.0,2477.0,1037.64,1003.23,0.0,1072.0,0.0,0.0,0.0,17.3,1.1,25.70069444444444,48.06423611111111,958.0000000000001,671.0,283.12,2263.0,623659.53,273318.73
Tres Valles-11-07,0.0,2899.37,1584.23,1731.71,0.0,1340.0,0.0,0.0,0.0,14.8,0.0,27.097569444444446,69.21180555555556,912.6999999999999,673.6999999999998,658.4799999999999,2553.0,798066.9,350347.41
Tres Valles-11-08,0.0,291.69,86.5,103.56,0.0,268.0,0.0,0.0,0.0,14.2,0.4,27.309722222222224,51.25520833333334,966.4999999999997,684.0,429.09999999999997,2433.0,171847.25,66015.11
Tres Valles-11-09,0,0,0,0,0,0,0,0,0,14.4,0.4,25.41215277777778,51.57812499999999,898.4,647.2,258.34000000000003,2388.0,0,0
Tres Valles-11-10,0,0,0,0,0,0,0,0,0,13.7,0.4,23.490451388888882,43.46701388888889,845.5999999999999,602.1,118.70000000000002,2484.0,0,0
Tres Valles-11-11,0,0,0,0,0,0,0,0,0,18.1,0.4,21.939062499999995,44.161458333333336,790.3000000000001,549.6,102.81000000000002,2467.0,0,0
Tres Valles-11-12,0,0,0,0,0,0,0,0,0,13.3,0.7,21.850173611111106,50.73958333333334,776.6,528.4,66.1,2635.0,0,0
